seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,breastw,iforest,mean,0.9840964843237572,0.9922505689304107,0.0459295252761278,False
1,breastw,loda,mean,0.9601845355822628,0.9834650856389986,0.0579457036243721,False
1,breastw,inne,mean,0.935436062254244,0.9735357527847648,0.23805276322133,False
1,breastw,hbos,mean,0.9768545091272364,0.9892561983471074,0.0454500520090426,False
1,breastw,copod,mean,0.9844262051080234,0.9926128877709904,0.0539186831714916,True
1,breastw,ecod,mean,0.9844262051080234,0.9926128877709904,0.0561223099673746,False
2,breastw,iforest,mean,0.9935419126328217,0.9963828003353696,0.0359912229760414,True
2,breastw,loda,mean,0.9606084067447704,0.9861540304228053,0.0598271903257826,False
2,breastw,inne,mean,0.9319847261324532,0.9709066954126244,0.2603418442542456,False
2,breastw,hbos,mean,0.9831172362990545,0.9921487603305784,0.0383065024556491,False
2,breastw,copod,mean,0.9889631580540672,0.993852557192478,0.0433029261462456,False
2,breastw,ecod,mean,0.9889631580540672,0.993852557192478,0.0452543422587807,False
3,breastw,iforest,mean,0.9873334872198508,0.9935411426518146,0.042355340512058,False
3,breastw,loda,mean,0.9446192023464752,0.9789136423523777,0.0638786896530432,False
3,breastw,inne,mean,0.9279627190990828,0.9696730147323032,0.2432288647555248,False
3,breastw,hbos,mean,0.977886545272909,0.99033716612768,0.0404673497661602,False
3,breastw,copod,mean,0.9878410856819948,0.9939543657923104,0.0474320644853474,False
3,breastw,ecod,mean,0.9889774493183584,0.9943675889328064,0.0493091623016159,True
4,breastw,iforest,mean,0.9854056423374604,0.991837345789915,0.0438308605054353,False
4,breastw,loda,mean,0.9746704284772466,0.9879596358845372,0.0587312872489436,False
4,breastw,inne,mean,0.9207112529973492,0.969855671337885,0.2328409088906665,False
4,breastw,hbos,mean,0.9714911351274989,0.9897203257875196,0.0463937711070756,False
4,breastw,copod,mean,0.9862739028648118,0.9934902383518984,0.0500111025616002,True
4,breastw,ecod,mean,0.9860657776566868,0.9934393340519824,0.0514808982062253,False
5,breastw,iforest,mean,0.9892759744464288,0.9959126841537908,0.036160541412362,True
5,breastw,loda,mean,0.9679611276770368,0.9879536471433704,0.0601092517944155,False
5,breastw,inne,mean,0.9503481808595444,0.9792535034135824,0.2415499947791778,False
5,breastw,hbos,mean,0.9854758351917444,0.9938974727512276,0.0409999887685573,False
5,breastw,copod,mean,0.9876093077797624,0.995086237872799,0.0431863149521824,False
5,breastw,ecod,mean,0.9876093077797624,0.995086237872799,0.0448794194706833,False
6,breastw,iforest,mean,0.9893785255148893,0.9954545454545456,0.0441171275670851,True
6,breastw,loda,mean,0.95560027094118,0.9831596598395016,0.0554064336215989,False
6,breastw,inne,mean,0.9511099758827032,0.9798478859743682,0.2347095353107614,False
6,breastw,hbos,mean,0.9681562629289902,0.9884297520661156,0.0463567409906842,False
6,breastw,copod,mean,0.9836521306975852,0.993388429752066,0.0478047975247066,False
6,breastw,ecod,mean,0.9836521306975852,0.993388429752066,0.0496957181460075,False
7,breastw,iforest,mean,0.9894950756314392,0.9950922266139658,0.039870282369656,True
7,breastw,loda,mean,0.9394316394884576,0.982066714576596,0.0645370935844427,False
7,breastw,inne,mean,0.9305568325020196,0.9742753623188404,0.2324145516185772,False
7,breastw,hbos,mean,0.9708631562040652,0.99033716612768,0.0417579439825565,False
7,breastw,copod,mean,0.9838763887627524,0.9931788238112348,0.0482023945331959,False
7,breastw,ecod,mean,0.984709722096086,0.9935411426518146,0.0500897574959497,False
8,breastw,iforest,mean,0.99599173553719,0.9979338842975206,0.040270897972406,True
8,breastw,loda,mean,0.9687571014843742,0.98765421008504,0.0519037205862738,False
8,breastw,inne,mean,0.9700502527775254,0.9886333692657802,0.2409224408162431,False
8,breastw,hbos,mean,0.9859304962714054,0.9934902383518984,0.0406096067954692,False
8,breastw,copod,mean,0.9921155612064704,0.9959186728949574,0.0425851069251007,False
8,breastw,ecod,mean,0.994034753125662,0.9967451191759492,0.0443632880406577,False
9,breastw,iforest,mean,0.99064800098891,0.995194035213798,0.0424782104692707,True
9,breastw,loda,mean,0.9553767171380808,0.9818630973769312,0.056485623330695,False
9,breastw,inne,mean,0.9353688146869964,0.9729249011857708,0.2371084976898,False
9,breastw,hbos,mean,0.9807942856806492,0.9915768355491676,0.0436405127085341,False
9,breastw,copod,mean,0.9891833545242636,0.9948317163732184,0.0460889178284317,False
9,breastw,ecod,mean,0.9891833545242636,0.9948317163732184,0.0475603523533509,False
10,breastw,iforest,mean,0.991273263773264,0.995499461013295,0.0395509283542366,False
10,breastw,loda,mean,0.965141169857079,0.9870762965624624,0.0538908524166497,False
10,breastw,inne,mean,0.8980372909918366,0.9585159899389148,0.2180553722055817,False
10,breastw,hbos,mean,0.9874011825716372,0.9937447598514793,0.0394009633591014,False
10,breastw,copod,mean,0.9919745952700498,0.9957599712540424,0.0462132086511852,False
10,breastw,ecod,mean,0.9925240458195004,0.9961731943945382,0.0479524446356087,True
11,breastw,iforest,mean,0.9937764003673096,0.9971074380165288,0.03621882124091,True
11,breastw,loda,mean,0.9564558148080876,0.9821745119175948,0.0606927323449673,False
11,breastw,inne,mean,0.9317606846015936,0.972454785004192,0.2344698297292522,False
11,breastw,hbos,mean,0.9862350570305116,0.9945203018325548,0.0393079507017041,False
11,breastw,copod,mean,0.9898124981079526,0.995607258354294,0.0478485400966275,False
11,breastw,ecod,mean,0.9898124981079526,0.995607258354294,0.0498868744580297,False
12,breastw,iforest,mean,0.988008866133866,0.993840579710145,0.0413282219208427,True
12,breastw,loda,mean,0.9414875822830368,0.9817373338124328,0.0543668170877631,False
12,breastw,inne,mean,0.9122075020938658,0.9669077134986226,0.2404639327227876,False
