seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,cardio,iforest,mean,0.7231312787252189,0.9605880840434912,0.0978670256775171,False
1,cardio,loda,mean,0.6883313334841973,0.947566485454011,0.0729337768020769,False
1,cardio,inne,mean,0.7651217136907926,0.965453276520717,0.24878605335086273,True
1,cardio,hbos,mean,0.5541182892626647,0.8376046870408462,0.13396558085937302,False
1,cardio,copod,mean,0.6823112070332046,0.9487859976491333,0.08696388869013116,False
1,cardio,ecod,mean,0.7283979777961976,0.9563601968851014,0.09089744081140275,False
2,cardio,iforest,mean,0.6371192260129934,0.9388884807522775,0.0994476067892242,False
2,cardio,loda,mean,0.6117512363501477,0.9140445930061711,0.07765921152079944,False
2,cardio,inne,mean,0.6661644965567852,0.9414689244784015,0.25101587863209196,False
2,cardio,hbos,mean,0.5128044019085659,0.8346716132823978,0.12897891021225089,False
2,cardio,copod,mean,0.5930641098107344,0.9225260799294741,0.10225873875462115,False
2,cardio,ecod,mean,0.722179647246888,0.9571885101381135,0.09634142089931846,True
3,cardio,iforest,mean,0.7916169571742329,0.9709649573905377,0.08892963419673525,False
3,cardio,loda,mean,0.553537083938793,0.9132603585071996,0.0778431188873679,False
3,cardio,inne,mean,0.7409550294476765,0.9651979870702322,0.23983229307508167,False
3,cardio,hbos,mean,0.5520989106878182,0.8720338671760212,0.12284057952825811,False
3,cardio,copod,mean,0.7004888506559324,0.9537522039377022,0.07924203705764596,False
3,cardio,ecod,mean,0.7991327084830374,0.9715673670290921,0.08350495217828964,True
4,cardio,iforest,mean,0.6953910779148151,0.9469346899794298,0.08554710111721042,False
4,cardio,loda,mean,0.6226860704227464,0.928621804290332,0.09079000229797009,False
4,cardio,inne,mean,0.7312605573306005,0.9563216279753158,0.25571158261047366,False
4,cardio,hbos,mean,0.5411614457096804,0.8566834410813987,0.1236794980415387,False
4,cardio,copod,mean,0.6732925978247186,0.9437995885982957,0.07678350841267165,False
4,cardio,ecod,mean,0.7921219371873397,0.9711412724066999,0.07768296586115017,True
5,cardio,iforest,mean,0.6947094041149768,0.9573868645312957,0.0916234986109721,False
5,cardio,loda,mean,0.5829019571318101,0.9284179400528947,0.07172257563751713,False
5,cardio,inne,mean,0.7499698401014191,0.9678390390831619,0.24861125354524688,False
5,cardio,hbos,mean,0.5385669449271281,0.8502240669997061,0.1236389255327343,False
5,cardio,copod,mean,0.6985208967601155,0.9501836614751689,0.0771113849520378,False
5,cardio,ecod,mean,0.7601958640774431,0.9651447252424331,0.086941795710144,True
6,cardio,iforest,mean,0.7361692004362915,0.9513756244490155,0.08957675087559382,False
