seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,fault,iforest,mean,0.5231059639277758,0.6727205086580087,0.2147728388979688,False
1,fault,loda,mean,0.347632813017122,0.4674189814814815,0.27544063978072,False
1,fault,inne,mean,0.5560892322974984,0.6633440055315056,0.2265607104188653,True
1,fault,hbos,mean,0.5018375533773967,0.6631425865800866,0.2259008042008353,False
1,fault,copod,mean,0.3718466871048337,0.5132741101491101,0.2600380538386357,False
1,fault,ecod,mean,0.3854110342361222,0.5278288840788841,0.2552716638994771,False
2,fault,iforest,mean,0.5267506453522106,0.6681262025012025,0.2158046614694642,False
2,fault,loda,mean,0.3857544727807395,0.5337331649831649,0.2647261405837368,False
2,fault,inne,mean,0.5700969941919622,0.6734510281385282,0.2289021322788039,True
2,fault,hbos,mean,0.4010170645242393,0.5266955266955267,0.2581314077271928,False
2,fault,copod,mean,0.3840904246721365,0.5121422558922559,0.2643381277820631,False
2,fault,ecod,mean,0.3877569079714639,0.5160556457431458,0.2603398764929984,False
3,fault,iforest,mean,0.5006139409267447,0.6598710317460317,0.2209782608191082,False
3,fault,loda,mean,0.375113691220481,0.4987358706108706,0.2700449070925581,False
3,fault,inne,mean,0.5316189614667394,0.629198983886484,0.2409057520234346,True
3,fault,hbos,mean,0.365137312384048,0.4975769600769602,0.2621326835225154,False
3,fault,copod,mean,0.3564672924629081,0.4924993987493987,0.2684135347849356,False
3,fault,ecod,mean,0.3689318168684215,0.5121820887445888,0.2602044619455973,False
4,fault,iforest,mean,0.5229053416472175,0.692650462962963,0.2147435551422523,False
4,fault,loda,mean,0.3702433089080078,0.4792756433381432,0.2749091177643872,False
4,fault,inne,mean,0.5373109762068015,0.6768601190476191,0.2266679391151436,True
4,fault,hbos,mean,0.4939970760544332,0.6403100949975951,0.2252391297200391,False
4,fault,copod,mean,0.3535583537469211,0.4901800745550745,0.275684048447478,False
4,fault,ecod,mean,0.3661842506960541,0.5132598304473305,0.267021747772915,False
5,fault,iforest,mean,0.5347964885040337,0.6729602573352573,0.2171654048125542,False
5,fault,loda,mean,0.3876478105670485,0.5064153439153439,0.269602694066359,False
5,fault,inne,mean,0.5641750158125547,0.6808291245791247,0.2254222814636219,True
5,fault,hbos,mean,0.4803735158291901,0.6023914742664742,0.2329006125082481,False
5,fault,copod,mean,0.3721110969371018,0.5039209054834055,0.2653423676589482,False
5,fault,ecod,mean,0.3680372326620238,0.5094614297739297,0.2618448477982157,False
6,fault,iforest,mean,0.5212289835794609,0.6591841029341029,0.2186228127192254,False
6,fault,loda,mean,0.3599596390044449,0.4865237193362193,0.2784683618587983,False
6,fault,inne,mean,0.5373630449359883,0.6571789321789322,0.2289416456021848,True
6,fault,hbos,mean,0.4752055467839802,0.6223334535834536,0.237095149478994,False
6,fault,copod,mean,0.36178413300349,0.4884807900432901,0.2722235209071298,False
6,fault,ecod,mean,0.3909256274233763,0.5191693722943723,0.2647535849161738,False
7,fault,iforest,mean,0.521166370030641,0.6846515752765752,0.2137335724976442,False
7,fault,loda,mean,0.3903879485955568,0.527371182058682,0.266205078873955,False
7,fault,inne,mean,0.5587478795848632,0.6669537638287638,0.2277500099256734,True
7,fault,hbos,mean,0.5007868301367873,0.6495152417027418,0.2207997634140119,False
7,fault,copod,mean,0.3730201890901111,0.5195489117364118,0.2667402760217492,False
7,fault,ecod,mean,0.3933048969248696,0.5360194203944204,0.257916940094241,False
8,fault,iforest,mean,0.4958929771683887,0.6383214586339586,0.2239226358225193,False
8,fault,loda,mean,0.377145567032546,0.5099815115440116,0.2727856584746794,False
8,fault,inne,mean,0.5149657749761,0.6055878727753727,0.2524116647570196,True
8,fault,hbos,mean,0.3799820103063167,0.5028003246753248,0.2656865233807428,False
8,fault,copod,mean,0.3702816679616823,0.5002825877825877,0.2647659551707233,False
8,fault,ecod,mean,0.3807100302225715,0.51380772005772,0.2607645036921084,False
9,fault,iforest,mean,0.500727835799648,0.6600619288119287,0.2218231264879199,False
9,fault,loda,mean,0.386852400946248,0.5343426827801828,0.2733125168177715,False
9,fault,inne,mean,0.5523230279526988,0.6480076058201059,0.2332286379065951,True
9,fault,hbos,mean,0.4934911401676619,0.6456507034632036,0.2254466060133609,False
9,fault,copod,mean,0.3640402161793581,0.5142015392015391,0.2682617341116848,False
9,fault,ecod,mean,0.3609086683624087,0.4945797258297258,0.2672125000499466,False
10,fault,iforest,mean,0.5196694323569843,0.6603820947570948,0.2184596390984745,False
10,fault,loda,mean,0.3491648928468118,0.475409601972102,0.2827531373842951,False
10,fault,inne,mean,0.5574687966062439,0.6588143338143337,0.2289395969252737,True
10,fault,hbos,mean,0.4953235131145104,0.6301136363636364,0.2276478559354912,False
10,fault,copod,mean,0.3722250333372462,0.4949517496392497,0.2694114021764541,False
10,fault,ecod,mean,0.3798084783862852,0.516800444925445,0.2585570207836649,False
11,fault,iforest,mean,0.5064022564256568,0.6507252585377586,0.21908137292122,False
11,fault,loda,mean,0.3435457551215427,0.4858375420875421,0.2831941816927945,False
11,fault,inne,mean,0.525775036028177,0.6386686808561809,0.2332091733175604,True
11,fault,hbos,mean,0.4843648937358491,0.6397945226070225,0.2296853615531798,False
11,fault,copod,mean,0.3737837377785329,0.5083919552669552,0.2660477790865555,False
11,fault,ecod,mean,0.3798967874542027,0.5175775613275613,0.2604005660842274,False
12,fault,iforest,mean,0.539252020227481,0.6788352272727273,0.2113032532279687,False
12,fault,loda,mean,0.3780756724731054,0.5166674182299182,0.274486068125345,False
12,fault,inne,mean,0.5538808653530173,0.6621422558922558,0.2276976991769459,True
12,fault,hbos,mean,0.5028285929225482,0.6274132696007696,0.2220152178052308,False
12,fault,copod,mean,0.3744784911356632,0.495704816017316,0.2634879100621121,False
12,fault,ecod,mean,0.3968720494093428,0.5281385281385281,0.2564936964969931,False
13,fault,iforest,mean,0.5249494089481369,0.6439814814814815,0.2219002538900708,False
13,fault,loda,mean,0.37885910062316,0.4991687710437711,0.2744675341997988,False
13,fault,inne,mean,0.5257938309721257,0.6271209114959116,0.2389371259485573,True
13,fault,hbos,mean,0.3921263286563706,0.4980534511784511,0.2676696834557491,False
13,fault,copod,mean,0.3669535464238577,0.4795349326599326,0.2648116182131094,False
13,fault,ecod,mean,0.3659339679767489,0.4759402056277056,0.2659977049618008,False
14,fault,iforest,mean,0.4716372156752751,0.6200186387686386,0.2340692012903782,False
14,fault,loda,mean,0.3928746398061948,0.5381846741221741,0.2631040072498186,False
14,fault,inne,mean,0.5009118577596757,0.6138099747474748,0.2486092290747659,True
14,fault,hbos,mean,0.3337574161992019,0.4605459355459356,0.2822629493612801,False
14,fault,copod,mean,0.3490243558793008,0.480935094997595,0.2703002696611965,False
14,fault,ecod,mean,0.3674417940298228,0.4924948893698893,0.2641594730225369,False
15,fault,iforest,mean,0.5181685700498214,0.6469606782106783,0.2184728979213302,False
15,fault,loda,mean,0.3665880302212109,0.5068692881192882,0.2793316602211114,False
15,fault,inne,mean,0.5382967543825508,0.6411465848965849,0.2351428924037203,True
15,fault,hbos,mean,0.4930589557745522,0.631671626984127,0.2272569704325135,False
15,fault,copod,mean,0.3731281083491524,0.4946714165464166,0.2653868346823202,False
15,fault,ecod,mean,0.3901004638270383,0.5107157888407889,0.2587504697223757,False
