seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,hepatitis,iforest,mean,0.8621190476190476,0.7533333333333333,0.2052871180317161,False
1,hepatitis,loda,mean,0.6954206349206349,0.4883333333333333,0.3714274946166406,False
1,hepatitis,inne,mean,0.7856904761904762,0.6833333333333333,0.2376974472208692,False
1,hepatitis,hbos,mean,0.8750714285714286,0.775,0.2123377661703292,False
1,hepatitis,copod,mean,0.8754523809523811,0.7833333333333334,0.2270383513162509,True
1,hepatitis,ecod,mean,0.7926904761904762,0.6666666666666667,0.2612113527630929,False
2,hepatitis,iforest,mean,0.8422380952380953,0.795,0.1654920402113633,True
2,hepatitis,loda,mean,0.8188650793650794,0.6766666666666666,0.2747836440126322,False
2,hepatitis,inne,mean,0.7682857142857143,0.675,0.2175159911860385,False
2,hepatitis,hbos,mean,0.8348809523809523,0.775,0.1870465997607178,False
2,hepatitis,copod,mean,0.7670238095238096,0.6433333333333334,0.2654380918678617,False
2,hepatitis,ecod,mean,0.7524920634920635,0.615,0.2988740168595624,False
3,hepatitis,iforest,mean,0.8710000000000001,0.8033333333333335,0.1910728145786169,False
3,hepatitis,loda,mean,0.709126984126984,0.5266666666666666,0.3305213727860149,False
3,hepatitis,inne,mean,0.9336190476190476,0.8683333333333334,0.1523764289291365,True
3,hepatitis,hbos,mean,0.8878571428571428,0.8166666666666668,0.1898990840640429,False
3,hepatitis,copod,mean,0.9037380952380952,0.8450000000000001,0.2013713419484314,False
3,hepatitis,ecod,mean,0.8830238095238094,0.8133333333333335,0.2319618038708605,False
4,hepatitis,iforest,mean,0.8408095238095239,0.7766666666666667,0.1920267480561147,False
4,hepatitis,loda,mean,0.8557857142857141,0.765,0.2154328696973307,False
4,hepatitis,inne,mean,0.7151428571428572,0.6066666666666667,0.2607865236267085,False
4,hepatitis,hbos,mean,0.919404761904762,0.8616666666666667,0.1506097991452388,True
4,hepatitis,copod,mean,0.9038571428571428,0.8483333333333334,0.1666376955584531,False
4,hepatitis,ecod,mean,0.8109761904761905,0.7150000000000001,0.2394751288565205,False
5,hepatitis,iforest,mean,0.8825,0.8116666666666668,0.1848678543457278,True
5,hepatitis,loda,mean,0.7509285714285714,0.5549999999999999,0.3418506552762251,False
5,hepatitis,inne,mean,0.8467857142857144,0.8066666666666666,0.1761990124194565,False
5,hepatitis,hbos,mean,0.8606190476190477,0.8166666666666667,0.218388741135839,False
5,hepatitis,copod,mean,0.8586904761904762,0.7833333333333334,0.2326962986670595,False
5,hepatitis,ecod,mean,0.8372619047619049,0.7633333333333334,0.2205109026818455,False
6,hepatitis,iforest,mean,0.8940714285714286,0.8283333333333335,0.1732020768975105,False
6,hepatitis,loda,mean,0.7908015873015872,0.6950000000000001,0.2655782227145578,False
6,hepatitis,inne,mean,0.8079047619047619,0.7475,0.2051723017066848,False
6,hepatitis,hbos,mean,0.8839285714285714,0.8266666666666668,0.1860716022964257,False
6,hepatitis,copod,mean,0.9055714285714284,0.8483333333333334,0.1769665214243962,True
6,hepatitis,ecod,mean,0.8751666666666665,0.8183333333333334,0.1839710577030939,False
7,hepatitis,iforest,mean,0.8716666666666667,0.77,0.2250799854503666,False
7,hepatitis,loda,mean,0.7384206349206349,0.5316666666666666,0.3340733995508012,False
7,hepatitis,inne,mean,0.8914761904761905,0.8333333333333333,0.1614337589190638,False
7,hepatitis,hbos,mean,0.8970238095238094,0.8133333333333332,0.1979152432273453,True
7,hepatitis,copod,mean,0.8762142857142857,0.7866666666666667,0.2250920317375348,False
7,hepatitis,ecod,mean,0.8359761904761905,0.7166666666666666,0.2382352813182568,False
8,hepatitis,iforest,mean,0.8071904761904761,0.7166666666666666,0.2515609602377584,False
8,hepatitis,loda,mean,0.7911746031746032,0.6683333333333333,0.2738804199682423,False
8,hepatitis,inne,mean,0.7672619047619048,0.6591666666666667,0.2519546733485714,False
8,hepatitis,hbos,mean,0.8237539682539683,0.7300000000000001,0.2649739986325229,False
8,hepatitis,copod,mean,0.8563095238095239,0.7816666666666667,0.249119498338854,True
8,hepatitis,ecod,mean,0.8370952380952381,0.7200000000000001,0.2790893152639599,False
9,hepatitis,iforest,mean,0.8282380952380954,0.7966666666666667,0.1678299042895935,True
9,hepatitis,loda,mean,0.8085158730158731,0.6833333333333335,0.2607010200286121,False
9,hepatitis,inne,mean,0.7685238095238096,0.675,0.2329248769242605,False
