seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,ionosphere,iforest,mean,0.861005922075001,0.8990625000000001,0.13318686246243622,False
1,ionosphere,loda,mean,0.752157288070117,0.84984375,0.15401242929511447,False
1,ionosphere,inne,mean,0.9543849206349206,0.9669270833333334,0.22328216305005336,True
1,ionosphere,hbos,mean,0.46018613943246295,0.6519270833333334,0.29051772744701043,False
1,ionosphere,mcd,mean,0.920895499516823,0.9355208333333334,0.13774939934980274,False
1,ionosphere,copod,mean,0.731722567561867,0.8077604166666668,0.16309320222113302,False
1,ionosphere,ecod,mean,0.7413294131371725,0.7794270833333334,0.16162846651096754,False
2,ionosphere,iforest,mean,0.8743580092293326,0.9078125,0.13267946392772595,False
2,ionosphere,loda,mean,0.76935639105047,0.8604166666666666,0.14926316057253713,False
2,ionosphere,inne,mean,0.9581562534687535,0.9686458333333334,0.21218430336101948,False
2,ionosphere,hbos,mean,0.4877768319249549,0.6769270833333334,0.27502368317039544,False
2,ionosphere,mcd,mean,0.9585664682539683,0.9647916666666667,0.1424687869892523,True
2,ionosphere,copod,mean,0.7295110146141157,0.8240104166666666,0.16211401252492372,False
2,ionosphere,ecod,mean,0.7775068057909583,0.8279687499999999,0.15660564149483194,False
3,ionosphere,iforest,mean,0.886126518497842,0.9276041666666668,0.12625363340701298,False
3,ionosphere,loda,mean,0.7995954739704739,0.8822916666666666,0.13958277777413142,False
3,ionosphere,inne,mean,0.9690090465090465,0.9786979166666667,0.2252208115883904,True
3,ionosphere,hbos,mean,0.5092734663105213,0.713125,0.26417950204814356,False
3,ionosphere,mcd,mean,0.96785520647653,0.9715625000000001,0.1328825673052853,False
3,ionosphere,copod,mean,0.7376245465061254,0.8432812500000001,0.15655922246503845,False
3,ionosphere,ecod,mean,0.7833152977483472,0.8431770833333333,0.15229746842021832,False
4,ionosphere,iforest,mean,0.8707926448551448,0.9142708333333334,0.12965454958711892,False
4,ionosphere,loda,mean,0.7845326956540193,0.8665104166666666,0.14623437184175703,False
4,ionosphere,inne,mean,0.9585282140245376,0.97109375,0.20554306939563832,False
4,ionosphere,hbos,mean,0.5463906640744876,0.7316145833333334,0.24605150203636916,False
4,ionosphere,mcd,mean,0.9587074383949383,0.9698437500000001,0.13516356706779958,True
4,ionosphere,copod,mean,0.7288683599896835,0.8282291666666666,0.15606370140281248,False
4,ionosphere,ecod,mean,0.7544820913315158,0.8155208333333333,0.15900043296544375,False
5,ionosphere,iforest,mean,0.852681803490627,0.889375,0.13113805737066575,False
5,ionosphere,loda,mean,0.8342676665654608,0.8836458333333332,0.13986592306297924,False
5,ionosphere,inne,mean,0.9250518578643578,0.9388541666666667,0.21978974256451936,True
5,ionosphere,hbos,mean,0.5450075231141407,0.7118229166666666,0.26276615643371926,False
5,ionosphere,mcd,mean,0.9199936713505792,0.9288541666666665,0.17651048714596235,False
5,ionosphere,copod,mean,0.7795549895366073,0.8498958333333333,0.1478851599125992,False
5,ionosphere,ecod,mean,0.7837007518625165,0.8288020833333334,0.14923897909469955,False
