seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,lymphography,iforest,mean,0.9916666666666666,0.9952380952380953,0.0605301390371054,True
1,lymphography,loda,mean,0.679563492063492,0.7452380952380953,0.2271703157882456,False
1,lymphography,inne,mean,0.94,0.9761904761904764,0.1459699129967453,False
1,lymphography,hbos,mean,0.972222222222222,0.986309523809524,0.0523976371514804,False
1,lymphography,copod,mean,0.9805555555555556,0.9904761904761904,0.0491137992180027,False
1,lymphography,ecod,mean,0.9805555555555556,0.9904761904761904,0.0494243080162612,False
2,lymphography,iforest,mean,0.9833333333333332,0.9904761904761904,0.0767692462538321,False
2,lymphography,loda,mean,0.6287301587301587,0.6654761904761906,0.2621188060895482,False
2,lymphography,inne,mean,0.925,0.9666666666666668,0.153702946224942,False
2,lymphography,hbos,mean,0.975,0.9857142857142858,0.0631262963506418,False
2,lymphography,copod,mean,0.9916666666666666,0.9952380952380953,0.0463670216822539,False
2,lymphography,ecod,mean,0.9916666666666666,0.9952380952380953,0.0413651202369032,True
3,lymphography,iforest,mean,1.0,1.0,0.049789507117563,False
3,lymphography,loda,mean,0.5478835978835979,0.6,0.3055678159815001,False
3,lymphography,inne,mean,0.975,0.9928571428571428,0.1288082092964546,False
3,lymphography,hbos,mean,1.0,1.0,0.0288200086827509,True
3,lymphography,copod,mean,1.0,1.0,0.0360345309057035,False
3,lymphography,ecod,mean,1.0,1.0,0.0317123222867192,False
4,lymphography,iforest,mean,0.9916666666666666,0.9952380952380953,0.0674331453989781,False
4,lymphography,loda,mean,0.6400829725829725,0.6714285714285715,0.2413950961976777,False
4,lymphography,inne,mean,0.9666666666666666,0.9904761904761904,0.1477293351373122,False
4,lymphography,hbos,mean,0.9916666666666666,0.9952380952380953,0.0466750881163612,False
4,lymphography,copod,mean,0.9916666666666666,0.9952380952380953,0.0431736001283808,False
4,lymphography,ecod,mean,1.0,1.0,0.0381299548590219,True
5,lymphography,iforest,mean,0.9916666666666666,0.9952380952380953,0.0770231888782326,False
5,lymphography,loda,mean,0.4221861471861471,0.4744047619047619,0.3711643815119773,False
5,lymphography,inne,mean,1.0,1.0,0.1432407922826259,False
5,lymphography,hbos,mean,1.0,1.0,0.0384463359465894,False
5,lymphography,copod,mean,1.0,1.0,0.0374999892021709,False
5,lymphography,ecod,mean,1.0,1.0,0.0363655906782882,True
6,lymphography,iforest,mean,0.975,0.9857142857142858,0.0823230557276031,False
6,lymphography,loda,mean,0.3971825396825396,0.3821428571428572,0.4464653383649432,False
6,lymphography,inne,mean,1.0,1.0,0.1138811402421681,False
6,lymphography,hbos,mean,1.0,1.0,0.0399617338627979,False
6,lymphography,copod,mean,1.0,1.0,0.0385898674266616,False
6,lymphography,ecod,mean,1.0,1.0,0.0350970438611699,True
7,lymphography,iforest,mean,0.9916666666666666,0.9952380952380953,0.0544598102149031,False
7,lymphography,loda,mean,0.5140512265512266,0.5553571428571429,0.3244845983164857,False
7,lymphography,inne,mean,0.975,0.9928571428571428,0.1473691949758936,False
7,lymphography,hbos,mean,1.0,1.0,0.0320393306964014,True
7,lymphography,copod,mean,1.0,1.0,0.0382922375847049,False
7,lymphography,ecod,mean,1.0,1.0,0.0367653817790482,False
8,lymphography,iforest,mean,0.9916666666666666,0.9958333333333332,0.0714345757802049,True
8,lymphography,loda,mean,0.4819444444444444,0.5761904761904763,0.3107828900493835,False
8,lymphography,inne,mean,0.975,0.9928571428571428,0.174181625821273,False
8,lymphography,hbos,mean,0.9916666666666666,0.9952380952380953,0.0510075504935997,False
8,lymphography,copod,mean,0.9805555555555556,0.9916666666666666,0.0528939608033849,False
8,lymphography,ecod,mean,0.972222222222222,0.9869047619047618,0.0541995070795408,False
9,lymphography,iforest,mean,0.9755555555555556,0.9857142857142858,0.0786236092104038,False
9,lymphography,loda,mean,0.4028872053872054,0.3142857142857143,0.3815837127631557,False
9,lymphography,inne,mean,1.0,1.0,0.1361545890041593,True
9,lymphography,hbos,mean,0.9916666666666666,0.9952380952380953,0.0373650963507461,False
9,lymphography,copod,mean,0.9916666666666666,0.9952380952380953,0.0387977129455205,False
9,lymphography,ecod,mean,0.9916666666666666,0.9952380952380953,0.0434806117351628,False
10,lymphography,iforest,mean,0.9833333333333332,0.9904761904761904,0.0693451675639132,False
10,lymphography,loda,mean,0.4228475228475228,0.4303571428571429,0.3632309125920326,False
10,lymphography,inne,mean,0.95,0.9866071428571428,0.1376734196422903,False
10,lymphography,hbos,mean,0.9916666666666666,0.9952380952380953,0.0464619149564694,True
10,lymphography,copod,mean,0.972222222222222,0.9857142857142858,0.048727015641109,False
10,lymphography,ecod,mean,0.972222222222222,0.9857142857142858,0.051110875327042,False
11,lymphography,iforest,mean,0.9472222222222222,0.9720238095238096,0.1024798466396511,False
11,lymphography,loda,mean,0.3311640211640211,0.2327380952380952,0.4803075192971389,False
11,lymphography,inne,mean,1.0,1.0,0.1346638511165181,False
11,lymphography,hbos,mean,1.0,1.0,0.0397218210937729,True
11,lymphography,copod,mean,1.0,1.0,0.0419506096224675,False
11,lymphography,ecod,mean,1.0,1.0,0.0400287292920171,False
12,lymphography,iforest,mean,0.9916666666666666,0.9952380952380953,0.0971308582826559,True
12,lymphography,loda,mean,0.6773412698412699,0.7523809523809525,0.245232965965866,False
12,lymphography,inne,mean,0.9561111111111112,0.9833333333333334,0.1608475923713307,False
12,lymphography,hbos,mean,0.975,0.9857142857142858,0.059600078715586,False
12,lymphography,copod,mean,0.9805555555555556,0.9904761904761904,0.056554720958478,False
12,lymphography,ecod,mean,0.972222222222222,0.9857142857142858,0.0552732551140725,False
13,lymphography,iforest,mean,0.9833333333333332,0.9910714285714284,0.0578947118946367,False
13,lymphography,loda,mean,0.6088095238095238,0.6714285714285715,0.2826627459952284,False
13,lymphography,inne,mean,0.961111111111111,0.9857142857142858,0.1423279037497764,False
13,lymphography,hbos,mean,0.9833333333333332,0.9910714285714284,0.0379005882308915,False
13,lymphography,copod,mean,0.9916666666666666,0.9958333333333332,0.0442052154870776,False
13,lymphography,ecod,mean,0.9916666666666666,0.9958333333333332,0.040191755631955,True
14,lymphography,iforest,mean,0.9194444444444444,0.961904761904762,0.0970724224902347,False
14,lymphography,loda,mean,0.3847354497354497,0.4160714285714285,0.399916555959326,False
14,lymphography,inne,mean,1.0,1.0,0.1242793912703901,True
14,lymphography,hbos,mean,0.972222222222222,0.9857142857142858,0.0531867581785823,False
14,lymphography,copod,mean,0.9833333333333332,0.9904761904761904,0.0515729042823646,False
14,lymphography,ecod,mean,0.9833333333333332,0.9904761904761904,0.0525108227879759,False
15,lymphography,iforest,mean,1.0,1.0,0.0482224554403309,False
15,lymphography,loda,mean,0.7030723905723906,0.7142857142857143,0.2468052610685573,False
15,lymphography,inne,mean,0.9616666666666668,0.9842261904761904,0.1204542989679145,False
15,lymphography,hbos,mean,1.0,1.0,0.038903774220935,False
15,lymphography,copod,mean,1.0,1.0,0.0276114523230062,False
15,lymphography,ecod,mean,1.0,1.0,0.0227795721329816,True
16,lymphography,iforest,mean,1.0,1.0,0.0592349955865552,True
16,lymphography,loda,mean,0.696948051948052,0.7130952380952381,0.2491567224849581,False
16,lymphography,inne,mean,0.9694444444444444,0.9904761904761904,0.1442579939617221,False
16,lymphography,hbos,mean,0.9866666666666668,0.9904761904761904,0.0453589233852473,False
16,lymphography,copod,mean,0.9805555555555556,0.9904761904761904,0.0482223985119758,False
16,lymphography,ecod,mean,0.9805555555555556,0.9904761904761904,0.0472340379741814,False
17,lymphography,iforest,mean,1.0,1.0,0.0622579697757995,True
17,lymphography,loda,mean,0.556574074074074,0.5892857142857143,0.3086886431176617,False
