seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,musk,iforest,mean,0.5326209037527205,0.9635606747687285,0.21078055112232272,False
1,musk,loda,mean,0.9263333333333333,0.9978441864683475,0.07923124288692171,False
1,musk,inne,mean,1.0,1.0,0.14804596524083002,False
1,musk,hbos,mean,1.0,1.0,0.0647036519319711,True
1,musk,copod,mean,0.47528363995281736,0.950868855432614,0.20599671985057139,False
1,musk,ecod,mean,1.0,1.0,0.09605369406676553,False
2,musk,iforest,mean,0.5120782754188126,0.9442526754942863,0.22643713305574545,False
2,musk,loda,mean,1.0,1.0,0.07512717687009872,False
2,musk,inne,mean,1.0,1.0,0.14187438584402606,False
2,musk,hbos,mean,1.0,1.0,0.06514505017196781,True
2,musk,copod,mean,0.5609979916883943,0.9694957373480863,0.18632954335626742,False
2,musk,ecod,mean,1.0,1.0,0.08497037254687236,False
3,musk,iforest,mean,0.6720031427731523,0.9565173226918194,0.22036620582366756,False
3,musk,loda,mean,0.9942857142857143,0.9997297297297297,0.08685859073686344,False
3,musk,inne,mean,1.0,1.0,0.14486704958985047,False
3,musk,hbos,mean,1.0,1.0,0.0649423579594356,True
3,musk,copod,mean,0.5830137348115227,0.9671966261563577,0.19086733495496327,False
3,musk,ecod,mean,1.0,1.0,0.08356667126126574,False
4,musk,iforest,mean,0.4561092022663028,0.9528831851986215,0.2291366769789772,False
4,musk,loda,mean,0.9736666666666667,0.9991891891891893,0.0840792644221863,False
4,musk,inne,mean,1.0,1.0,0.14504600373093302,False
4,musk,hbos,mean,1.0,1.0,0.07627617921534172,True
4,musk,copod,mean,0.5106409094226094,0.9635643025575911,0.1869041971290953,False
4,musk,ecod,mean,1.0,1.0,0.08012851707792315,False
5,musk,iforest,mean,0.44833233109468135,0.9465590422637404,0.23299564846167625,False
5,musk,loda,mean,0.944404761904762,0.9978378378378379,0.08706265043909775,False
5,musk,inne,mean,1.0,1.0,0.15008752509944231,False
5,musk,hbos,mean,1.0,1.0,0.05862198583825159,True
5,musk,copod,mean,0.4700754946807579,0.9569535643025577,0.19330786211333073,False
5,musk,ecod,mean,1.0,1.0,0.09187245890895272,False
6,musk,iforest,mean,0.4340144556995737,0.9490984944676221,0.2143838219769353,False
6,musk,loda,mean,0.931388888888889,0.9931081081081082,0.08582073279526684,False
6,musk,inne,mean,1.0,1.0,0.1467994070546126,False
6,musk,hbos,mean,1.0,1.0,0.07359160549122663,True
6,musk,copod,mean,0.4271669031260855,0.9531770360964991,0.19711415335081256,False
6,musk,ecod,mean,1.0,1.0,0.09273617460785397,False
7,musk,iforest,mean,0.5800189045490713,0.9609767821512788,0.23813153463625664,False
7,musk,loda,mean,0.9776666666666667,0.9991891891891891,0.07554199794519012,False
