seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,satellite,iforest,mean,0.7679703055578335,0.7921934659219346,0.13828881559981,False
1,satellite,loda,mean,0.714559816685203,0.6933734880337349,0.1641816961575712,False
1,satellite,inne,mean,0.7882532888488512,0.8341705814417057,0.1623308739058516,False
1,satellite,hbos,mean,0.8153916338771428,0.8628864735788646,0.1340337752395484,True
1,satellite,copod,mean,0.6897934609999034,0.7006962545569626,0.1783282924461681,False
1,satellite,ecod,mean,0.6569801313671774,0.6558999667089996,0.1870589395072357,False
2,satellite,iforest,mean,0.7836686039681563,0.8161432376114324,0.1347943502879017,False
2,satellite,loda,mean,0.7145016347811676,0.6925015515250156,0.1631822949878372,False
2,satellite,inne,mean,0.7894998251267535,0.8390353007903532,0.165376158120194,False
2,satellite,hbos,mean,0.8186116528795775,0.8688052640880526,0.1324558915448933,True
2,satellite,copod,mean,0.6882914114081133,0.6931260865812608,0.1792940972120631,False
2,satellite,ecod,mean,0.6570900812767703,0.6561034733610347,0.1866803415843234,False
3,satellite,iforest,mean,0.7498592193746811,0.7787746856877469,0.1464222308716596,False
3,satellite,loda,mean,0.7015629283108369,0.6861991336119914,0.1677163421000742,False
3,satellite,inne,mean,0.7784098683145515,0.8322283700972836,0.168223701963173,False
3,satellite,hbos,mean,0.807347156511401,0.8619626688696268,0.1386835786109802,True
3,satellite,copod,mean,0.6577358038743245,0.6867418591174186,0.1890109006592518,False
3,satellite,ecod,mean,0.6237086228663209,0.6319588671195888,0.1980858308092294,False
4,satellite,iforest,mean,0.7738735247956783,0.8056019506060194,0.1375604782821094,False
4,satellite,loda,mean,0.7240994285640132,0.7165504564155045,0.1654457631160597,False
4,satellite,inne,mean,0.7841825239092007,0.8320390326703905,0.1671758593658593,False
4,satellite,hbos,mean,0.8054189757130729,0.8562022161120222,0.1369418244069081,True
4,satellite,copod,mean,0.6762461002116517,0.7101828333518283,0.1795964200148412,False
4,satellite,ecod,mean,0.6385942218759884,0.659470899144709,0.1909074361129341,False
5,satellite,iforest,mean,0.7584193953085797,0.8029757838797579,0.1431514196029433,False
5,satellite,loda,mean,0.6956859740460681,0.6753896280038962,0.169606492879728,False
5,satellite,inne,mean,0.7809028032226093,0.8325293351252933,0.1690600542936162,False
5,satellite,hbos,mean,0.8111374216395009,0.8662537760625378,0.1356831226205955,True
5,satellite,copod,mean,0.6607805121922186,0.6646148724461487,0.1859476218372882,False
5,satellite,ecod,mean,0.6286983961896943,0.6228251523782515,0.1949918404675482,False
6,satellite,iforest,mean,0.7909390699212184,0.8203372255033724,0.1327578713675991,False
6,satellite,loda,mean,0.7359959623973548,0.7201538373015384,0.1608857109925156,False
6,satellite,inne,mean,0.79972388755136,0.8547915510729156,0.1665515538524464,False
6,satellite,hbos,mean,0.8420736951867122,0.8879442396294424,0.1283665041866197,True
6,satellite,copod,mean,0.6974564144213871,0.7153378831033789,0.1760732562320373,False
6,satellite,ecod,mean,0.6596031975053389,0.6691478325914784,0.1851573160347216,False
7,satellite,iforest,mean,0.7865234501779231,0.8151516179015161,0.1351683786001848,False
7,satellite,loda,mean,0.7270009344011565,0.7201580911515809,0.1612533665282576,False
7,satellite,inne,mean,0.7996511573077483,0.8479096745290967,0.1600197461882214,False
7,satellite,hbos,mean,0.8223145332360231,0.8661544579115444,0.1332536834924759,True
7,satellite,copod,mean,0.6991352933290527,0.7116278066162781,0.1777645762390766,False
7,satellite,ecod,mean,0.6641454196333825,0.6701683250516832,0.1870926282962763,False
8,satellite,iforest,mean,0.7649821556652856,0.7947295208972952,0.1413157576657265,False
8,satellite,loda,mean,0.7090195109512835,0.6916400338664003,0.1662261781778977,False
8,satellite,inne,mean,0.7726750833332124,0.8160612842106127,0.1683399820355998,False
8,satellite,hbos,mean,0.803413551381345,0.8512320547123207,0.1378794259031635,True
8,satellite,copod,mean,0.6708668482430099,0.6854308718543087,0.1826308002506825,False
8,satellite,ecod,mean,0.6362292708359605,0.6430412150804121,0.1914259885156184,False
9,satellite,iforest,mean,0.783642007207721,0.8141231931412319,0.1350101834026852,False
9,satellite,loda,mean,0.7293586500893204,0.7138109564381095,0.1614863367976904,False
9,satellite,inne,mean,0.8041482184718317,0.8528130689781307,0.159590566857332,False
9,satellite,hbos,mean,0.8276708606106903,0.8713237693632376,0.1313632325841318,True
9,satellite,copod,mean,0.6973579530103731,0.7118085438680855,0.174509431329965,False
9,satellite,ecod,mean,0.6619938722425361,0.668130710331307,0.184135201386319,False
10,satellite,iforest,mean,0.7740971204259489,0.8051092438010924,0.1358106951118088,False
10,satellite,loda,mean,0.7073855870772052,0.6828771644287716,0.1667987349745772,False
10,satellite,inne,mean,0.7867373842808665,0.837468609874686,0.168672026721826,False
10,satellite,hbos,mean,0.8060652105739526,0.8623864920738648,0.1360953424726651,True
10,satellite,copod,mean,0.6678675263364748,0.6694299429942994,0.1846164527995901,False
10,satellite,ecod,mean,0.6365642114803276,0.6318291760682918,0.1923085645141703,False
11,satellite,iforest,mean,0.779040927129443,0.8129766469797663,0.1368387970169857,False
11,satellite,loda,mean,0.7128915184956319,0.6980979536309795,0.1654064817558843,False
11,satellite,inne,mean,0.7886107972374636,0.8474499607494996,0.1625960085752667,False
11,satellite,hbos,mean,0.8141892694401843,0.8659317781093178,0.1349591661502023,True
11,satellite,copod,mean,0.6813612386541275,0.700636104706361,0.1799729447220084,False
11,satellite,ecod,mean,0.6475473303531751,0.649774792547748,0.1911250928620086,False
12,satellite,iforest,mean,0.785655146879077,0.8122725628727256,0.1345230703241594,False
12,satellite,loda,mean,0.7243075309456652,0.7130821301308213,0.1635103517777151,False
12,satellite,inne,mean,0.8008990780925631,0.8486428677114286,0.1658907591587775,False
12,satellite,hbos,mean,0.817473290228758,0.8682110197321101,0.1345409607848606,True
12,satellite,copod,mean,0.6883527854673481,0.7079193741291937,0.177668608696171,False
