seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,spambase,iforest,mean,0.7827742835273306,0.8362347402357837,0.1969365362743756,True
1,spambase,loda,mean,0.609706761913064,0.6305557814309356,0.2492363872850752,False
1,spambase,inne,mean,0.730023871461578,0.805430590001551,0.3700875163524363,False
1,spambase,hbos,mean,0.6490810323907578,0.738005113818604,0.2172898501882147,False
1,spambase,copod,mean,0.6956749592693081,0.7714111037325154,0.1956597803211866,False
1,spambase,ecod,mean,0.6958314024255494,0.7675209273539603,0.1980564825553035,False
2,spambase,iforest,mean,0.7580740863099764,0.829191757656799,0.2035641886163979,True
2,spambase,loda,mean,0.6302230011701986,0.6677714796192644,0.2441061526318646,False
2,spambase,inne,mean,0.7387787423841923,0.8179139316922734,0.3655618834022388,False
2,spambase,hbos,mean,0.6499064974732252,0.778468128230959,0.2078338944427847,False
2,spambase,copod,mean,0.6906521019729539,0.7752208684757778,0.1957282081878123,False
2,spambase,ecod,mean,0.6911767515878026,0.7705367777822952,0.1990272868864977,False
3,spambase,iforest,mean,0.7837720720769961,0.8306714108025653,0.1924288396586514,False
3,spambase,loda,mean,0.6612154652767789,0.7109936370905443,0.2364456010678537,False
3,spambase,inne,mean,0.7837839096572707,0.828966183443937,0.3728341017338399,True
3,spambase,hbos,mean,0.6603776898116852,0.7704286211211551,0.2083421284948706,False
3,spambase,copod,mean,0.7053428288928572,0.7735797332562345,0.1956016814937465,False
3,spambase,ecod,mean,0.703248203187653,0.7696280434825165,0.1979921892421861,False
4,spambase,iforest,mean,0.773246870587651,0.8315936788021979,0.1965791151394655,True
4,spambase,loda,mean,0.5948035253529904,0.6278553659708199,0.2419989331494416,False
4,spambase,inne,mean,0.74913316346838,0.8147097764887823,0.3688447906623124,False
4,spambase,hbos,mean,0.6115499373655633,0.7393440842485052,0.2249363227153487,False
4,spambase,copod,mean,0.6974364350749512,0.7706966975513603,0.1971497663455084,False
4,spambase,ecod,mean,0.6980975111701642,0.7665639686605438,0.1994524248620969,False
5,spambase,iforest,mean,0.7641874979462864,0.8173418270005406,0.1998306387252635,True
5,spambase,loda,mean,0.6175344918275615,0.6667105429592384,0.2398857604699043,False
5,spambase,inne,mean,0.730710448689965,0.7957884594244997,0.3705123735100644,False
5,spambase,hbos,mean,0.6481019789059197,0.7606241237917549,0.2109315551328689,False
5,spambase,copod,mean,0.7031455139342846,0.774639916998327,0.1949302829300157,False
5,spambase,ecod,mean,0.7033140563848338,0.7714528906778219,0.1973439013635919,False
6,spambase,iforest,mean,0.7680314646222022,0.8262200093964157,0.1956208041905046,True
6,spambase,loda,mean,0.6856948383317298,0.7219803096902044,0.2343411256783484,False
6,spambase,inne,mean,0.732488975760827,0.8073110590091901,0.3621404075798954,False
6,spambase,hbos,mean,0.6843511835478822,0.7839771534582274,0.1957321227082042,False
6,spambase,copod,mean,0.7025747884029063,0.7716422118921882,0.1950678395535388,False
6,spambase,ecod,mean,0.7025196321525847,0.7673327355164942,0.1977852009738605,False
7,spambase,iforest,mean,0.7726654115043952,0.834556636745708,0.1933323109814531,True
7,spambase,loda,mean,0.6084494789231765,0.6292470783019593,0.2427410453370118,False
7,spambase,inne,mean,0.724746589380205,0.8087335656838077,0.3675950425321432,False
7,spambase,hbos,mean,0.6421359150628474,0.7684454729303416,0.2118943719046571,False
7,spambase,copod,mean,0.6849993113392666,0.7631528739630438,0.198973528371044,False
7,spambase,ecod,mean,0.6842496100202381,0.7576838663239384,0.2018206321791122,False
8,spambase,iforest,mean,0.7856725738106547,0.8444589381146634,0.1912899447756909,True
8,spambase,loda,mean,0.6605481837740411,0.7043581901659882,0.2334669599544598,False
8,spambase,inne,mean,0.7632822531030647,0.8351295131783226,0.3631741752978515,False
8,spambase,hbos,mean,0.6776520250146059,0.7827438927061827,0.1953575191133189,False
8,spambase,copod,mean,0.7161529200781144,0.7829252518134029,0.1907162082676638,False
8,spambase,ecod,mean,0.7173880451461668,0.7797884451190589,0.1932911869081463,False
9,spambase,iforest,mean,0.777873995428082,0.8206232504069522,0.1979926286165519,True
9,spambase,loda,mean,0.658181142186179,0.6791053791468838,0.2287395824272193,False
9,spambase,inne,mean,0.7660608184726387,0.8114328894129198,0.3762430902796355,False
9,spambase,hbos,mean,0.6596094338692955,0.7585989063114098,0.2103152487518215,False
9,spambase,copod,mean,0.6785341141357518,0.7517397298229287,0.2045412334252472,False
9,spambase,ecod,mean,0.6782007841528196,0.7451645728018936,0.2073567220286878,False
10,spambase,iforest,mean,0.7632217524744038,0.8216442447706086,0.1972150770452201,True
10,spambase,loda,mean,0.5738518816262557,0.5964020310714173,0.2510139701564,False
10,spambase,inne,mean,0.7284085508258651,0.8069068738395652,0.3723246044827059,False
10,spambase,hbos,mean,0.6413100264928129,0.7559251629690866,0.2163580698793575,False
10,spambase,copod,mean,0.7142915779826382,0.7803939793670369,0.1914639002852036,False
10,spambase,ecod,mean,0.7145670094867028,0.7759833861128804,0.1941994366227775,False
11,spambase,iforest,mean,0.7790284057870009,0.8281945931457363,0.2001775235629456,True
11,spambase,loda,mean,0.6615837181010208,0.6814552736630812,0.2513514821236922,False
11,spambase,inne,mean,0.7629478745927213,0.8233998988078298,0.3679519041013802,False
11,spambase,hbos,mean,0.617453172124806,0.7427678844361323,0.2223051393518812,False
11,spambase,copod,mean,0.6774498783792409,0.7491702091455436,0.2056136276353443,False
11,spambase,ecod,mean,0.6777762139728215,0.7445794049840155,0.2095017013222556,False
12,spambase,iforest,mean,0.7925048394683131,0.8330912325718322,0.1907120057182195,True
12,spambase,loda,mean,0.6034553687084985,0.6373027166784875,0.2418769848638551,False
12,spambase,inne,mean,0.7673586516818679,0.8228599437118553,0.3673226438431183,False
12,spambase,hbos,mean,0.7178356759118393,0.7907173312673266,0.1893032381278018,False
12,spambase,copod,mean,0.716138353550847,0.7796201679609326,0.1916703484057545,False
12,spambase,ecod,mean,0.7144910102202793,0.7732902363108226,0.1947590573586851,False
13,spambase,iforest,mean,0.7761704349115296,0.8276370762389641,0.1971375472211597,True
13,spambase,loda,mean,0.624037325404873,0.6458549232550751,0.254218656758938,False
13,spambase,inne,mean,0.7506191716944843,0.8132671292594449,0.3675864277565053,False
13,spambase,hbos,mean,0.673310986115699,0.7852671465765575,0.1978980058929593,False
13,spambase,copod,mean,0.7109840552434528,0.7778040922595519,0.1920026900355876,False
13,spambase,ecod,mean,0.7104284359770545,0.773047043818318,0.1948806563102136,False
14,spambase,iforest,mean,0.7613716024421866,0.8247187098600627,0.1985243005575089,True
14,spambase,loda,mean,0.6115925465504473,0.6454688645846979,0.2507290272991097,False
14,spambase,inne,mean,0.7510515778181907,0.8171844295065526,0.3658336802873363,False
14,spambase,hbos,mean,0.676847222887858,0.7837853287917323,0.2022821801982411,False
14,spambase,copod,mean,0.6814698585601506,0.7659725892697148,0.1980021950351588,False
14,spambase,ecod,mean,0.6814589605347113,0.7612223547357784,0.2009471646647825,False
15,spambase,iforest,mean,0.7566664526785841,0.8177559130409904,0.2057559137390331,True
15,spambase,loda,mean,0.6211615903325616,0.6577682307783816,0.2383176601871859,False
15,spambase,inne,mean,0.7398587656269663,0.8100449228484994,0.3647721666038704,False
15,spambase,hbos,mean,0.5952653531273626,0.7354534749421383,0.2290809610763527,False
15,spambase,copod,mean,0.7077385326110903,0.7786521413738946,0.1938594978006316,False
15,spambase,ecod,mean,0.7081801803983867,0.7746429286700607,0.1971422310039124,False
16,spambase,iforest,mean,0.7740256454551309,0.8241900297101417,0.1982438163900667,True
16,spambase,loda,mean,0.6253393078066136,0.6550268754056345,0.2432616671329298,False
16,spambase,inne,mean,0.7470732211910135,0.8168756766849927,0.3717723790374027,False
16,spambase,hbos,mean,0.6314860655704441,0.7586578786085474,0.2144162883297915,False
16,spambase,copod,mean,0.6808393923291949,0.7648759642996432,0.2000209177277992,False
16,spambase,ecod,mean,0.6813695203733252,0.7614172098969556,0.202172976495888,False
17,spambase,iforest,mean,0.7783574627845274,0.831629235351605,0.1911804644096884,True
17,spambase,loda,mean,0.6556932140144257,0.7133235792815056,0.2256516625344924,False
17,spambase,inne,mean,0.7748425469682567,0.830840102065555,0.3659680302594867,False
17,spambase,hbos,mean,0.6807020303649531,0.7727582621449426,0.203038640241985,False
17,spambase,copod,mean,0.7037411767728899,0.7769545373093424,0.1949483565834726,False
17,spambase,ecod,mean,0.703713212860412,0.7732794695843743,0.1979744557641987,False
18,spambase,iforest,mean,0.7811266146234715,0.8336370227817909,0.1897403791965142,True
18,spambase,loda,mean,0.6497113761901032,0.6869556403341148,0.2434769868246195,False
18,spambase,inne,mean,0.7742024295254828,0.8343806798246606,0.3629018609007276,False
18,spambase,hbos,mean,0.6691144448372729,0.780105536506732,0.2041498387204384,False
18,spambase,copod,mean,0.7074665025457548,0.7825606513041292,0.1921176830455268,False
18,spambase,ecod,mean,0.7068812982848691,0.7771482630936194,0.1945200718145889,False
19,spambase,iforest,mean,0.7742087562834132,0.8260061995262641,0.1977110814412792,True
19,spambase,loda,mean,0.6094881158867643,0.6496820804026002,0.2422215299704647,False
19,spambase,inne,mean,0.7533035611539194,0.8179559256900116,0.3634050399303993,False
19,spambase,hbos,mean,0.6463848876119247,0.7484029104795635,0.212196867231823,False
19,spambase,copod,mean,0.6792688531802991,0.7567446012019582,0.20150499169973,False
19,spambase,ecod,mean,0.6784560308884526,0.7513226885795902,0.2040170964250519,False
20,spambase,iforest,mean,0.7853751092250668,0.8343554947197867,0.1927920803415251,True
20,spambase,loda,mean,0.6702853406821789,0.6829193037617285,0.2388361350348526,False
20,spambase,inne,mean,0.7681837621194125,0.8278291644267359,0.3668595148204143,False
20,spambase,hbos,mean,0.6777180279134076,0.7929757650775581,0.1945560518847515,False
20,spambase,copod,mean,0.7018008492133392,0.7781398560119743,0.1939694966032093,False
20,spambase,ecod,mean,0.7023230476783188,0.7727496788805015,0.1970501024573032,False
