seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,thyroid,iforest,mean,0.7101260683760684,0.9838013779995248,0.0655458013023557,False
1,thyroid,loda,mean,0.6453115683986048,0.9537853409360892,0.0251850935155876,False
1,thyroid,inne,mean,0.6961128087598676,0.9785822047992396,0.3165302760086957,False
1,thyroid,hbos,mean,0.6976003266469956,0.9760839866951772,0.0847024135319476,False
1,thyroid,copod,mean,0.4696754519989813,0.9622736992159656,0.064993745044898,False
1,thyroid,ecod,mean,0.7792691065107423,0.985215015443098,0.0655594914403284,True
2,thyroid,iforest,mean,0.8524415445665445,0.9917367545735328,0.0648654651089921,True
2,thyroid,loda,mean,0.7421684981684982,0.9849982181040626,0.024985875721644,False
2,thyroid,inne,mean,0.8108467643467643,0.9880428842955572,0.3225988957569929,False
2,thyroid,hbos,mean,0.784764240145819,0.9867266571632216,0.099723094625161,False
2,thyroid,copod,mean,0.5209095412049132,0.9705310049893088,0.073987354985746,False
2,thyroid,ecod,mean,0.8225811965811965,0.9915199572344976,0.0662168996844471,False
3,thyroid,iforest,mean,0.7978528138528139,0.992712045616536,0.0641468337079359,False
3,thyroid,loda,mean,0.6502985697877002,0.9812936564504632,0.0273857733995176,False
3,thyroid,inne,mean,0.8207247474747476,0.99282074126871,0.3086957382927663,False
3,thyroid,hbos,mean,0.8354668737060041,0.9916191494416726,0.0736465011723259,False
3,thyroid,copod,mean,0.4872607914960856,0.974008077928249,0.0678321704471968,False
3,thyroid,ecod,mean,0.8399026251526251,0.9932543359467808,0.0675948139949789,True
4,thyroid,iforest,mean,0.7810859213250517,0.9882466143977192,0.0604699846600721,True
4,thyroid,loda,mean,0.6044533101689724,0.9543614872891424,0.021023368748301,False
4,thyroid,inne,mean,0.7469920913006962,0.9821507483962938,0.3117634514189333,False
4,thyroid,hbos,mean,0.7350834019264878,0.974972083630316,0.0765254028631676,False
4,thyroid,copod,mean,0.4593020465620284,0.9618139700641484,0.073157566895548,False
4,thyroid,ecod,mean,0.7703884432560903,0.9876003801378,0.0645363697606057,False
5,thyroid,iforest,mean,0.8105986026594545,0.989864575908767,0.0602959257522909,True
5,thyroid,loda,mean,0.6342377622377622,0.9706189118555476,0.0215973842041006,False
5,thyroid,inne,mean,0.7623618742368742,0.9886712995961036,0.3164426605859353,False
5,thyroid,hbos,mean,0.7639836887551235,0.9837687099073416,0.0794381108944644,False
5,thyroid,copod,mean,0.4960304592208618,0.9722493466381564,0.0717377803654105,False
5,thyroid,ecod,mean,0.8052808302808303,0.9898669517700164,0.0684528632415653,False
6,thyroid,iforest,mean,0.7709736227824463,0.9908695652173912,0.0610783689416034,False
6,thyroid,loda,mean,0.5787784097800679,0.938803159895462,0.0217429520044965,False
6,thyroid,inne,mean,0.7511746031746032,0.9899997030173436,0.3114521825465788,False
6,thyroid,hbos,mean,0.7270606016155216,0.9833683772867664,0.0861971443302566,False
6,thyroid,copod,mean,0.4919232187250089,0.9737930624851509,0.0661959632823895,False
6,thyroid,ecod,mean,0.7832514707514708,0.9902162033737232,0.0653031839062609,True
7,thyroid,iforest,mean,0.7197955362715088,0.9840015443098122,0.0609918412460886,False
7,thyroid,loda,mean,0.5791088907113385,0.9580666429080542,0.0246410645543094,False
7,thyroid,inne,mean,0.6992487809125739,0.9824290211451652,0.3113496704708415,False
7,thyroid,hbos,mean,0.695476343633729,0.978143264433357,0.0830314579711106,False
7,thyroid,copod,mean,0.5051878841770145,0.967916963649323,0.0662371433327697,False
7,thyroid,ecod,mean,0.7520130000718236,0.9864023521026374,0.0655110063956805,True
8,thyroid,iforest,mean,0.8206269841269842,0.9916256830601096,0.0604964561580405,False
8,thyroid,loda,mean,0.7482977964331556,0.965647422190544,0.0172053987273407,False
8,thyroid,inne,mean,0.8232387706855793,0.989995842242813,0.308822887295464,False
8,thyroid,hbos,mean,0.7706420752450164,0.9847772630078404,0.0811321477173279,False
8,thyroid,copod,mean,0.4597752802752802,0.973031598954621,0.0694364680099968,False
8,thyroid,ecod,mean,0.8351587301587301,0.9934758850083154,0.0662904031145918,True
9,thyroid,iforest,mean,0.7480095598845597,0.9886932763126632,0.0661026772658538,False
9,thyroid,loda,mean,0.6459863692951927,0.9695527441197436,0.0237971494530839,False
9,thyroid,inne,mean,0.7634624707124706,0.9884717272511286,0.3110295723247703,True
9,thyroid,hbos,mean,0.6486134230630798,0.9792863506771206,0.0888334940299729,False
9,thyroid,copod,mean,0.4445456032839597,0.9681349489189832,0.0726849980213889,False
9,thyroid,ecod,mean,0.7500108225108224,0.9896703492516036,0.0721723780982185,False
10,thyroid,iforest,mean,0.8317936507936506,0.9924952482775008,0.0616323027478244,False
10,thyroid,loda,mean,0.6818466855724921,0.9840104537894986,0.0221710806965839,False
10,thyroid,inne,mean,0.8472373737373738,0.9937458422428128,0.3022238522730446,False
10,thyroid,hbos,mean,0.8161764346764346,0.9928201473033974,0.0772125222535719,False
10,thyroid,copod,mean,0.5520418323506557,0.9802007602756,0.0654642935503537,False
10,thyroid,ecod,mean,0.8511680672268908,0.9934699453551912,0.0633709100476171,True
11,thyroid,iforest,mean,0.7516349946349946,0.9859729151817536,0.0576861455809864,False
11,thyroid,loda,mean,0.5740399371830367,0.966404727963887,0.0266434668372219,False
11,thyroid,inne,mean,0.7158507048507048,0.985214718460442,0.3112558970818913,False
11,thyroid,hbos,mean,0.7090845601378657,0.9816215253029222,0.0749651208357701,False
11,thyroid,copod,mean,0.4693075930225299,0.9698717034925162,0.0765645056149681,False
11,thyroid,ecod,mean,0.7676923076923077,0.9874934663815632,0.0700893098897381,True
12,thyroid,iforest,mean,0.7282491926942055,0.9864100736516987,0.0647266109024417,False
12,thyroid,loda,mean,0.5495130754102631,0.946287716797339,0.0257828986388271,False
12,thyroid,inne,mean,0.7579242424242425,0.986628058921359,0.3122621873396267,False
12,thyroid,hbos,mean,0.5993300283003169,0.9723250772154906,0.0881481321637606,False
12,thyroid,copod,mean,0.4923501794267712,0.969332976954146,0.0727898887222172,False
12,thyroid,ecod,mean,0.7871243386243385,0.9893448562603944,0.0683118127695409,True
13,thyroid,iforest,mean,0.7347651368239603,0.9880363506771206,0.061252327844268,False
13,thyroid,loda,mean,0.463162613175195,0.9166215253029224,0.0276626465436188,False
13,thyroid,inne,mean,0.7841977466977468,0.9886932763126632,0.322810099731825,False
13,thyroid,hbos,mean,0.6985396955985191,0.985154727963887,0.0948056244180774,False
13,thyroid,copod,mean,0.4826459563827985,0.9692207175100972,0.0686811263477183,False
13,thyroid,ecod,mean,0.8322896825396825,0.9930405084343076,0.068305394416679,True
14,thyroid,iforest,mean,0.7554615705931496,0.9887995961035876,0.0603601669557627,False
14,thyroid,loda,mean,0.5642703015038569,0.9511564504632928,0.0212984190914008,False
14,thyroid,inne,mean,0.8147287157287156,0.9915169874079356,0.3161560563367441,False
14,thyroid,hbos,mean,0.7857193877551021,0.9856509859824188,0.0829426205577425,False
14,thyroid,copod,mean,0.5327068855514233,0.9759610358755048,0.0675021881158361,False
14,thyroid,ecod,mean,0.8250808080808081,0.9936932763126632,0.0654786852638874,True
15,thyroid,iforest,mean,0.8093300865800865,0.9904252791636968,0.0625729743489167,True
15,thyroid,loda,mean,0.6659430294033937,0.9674471370871942,0.0230047205693597,False
15,thyroid,inne,mean,0.7559917027417028,0.9868908885721072,0.3149360442921886,False
15,thyroid,hbos,mean,0.7459073168211099,0.9872701354240914,0.0772151200120456,False
15,thyroid,copod,mean,0.5156408201585883,0.9711784271798528,0.0755237799265769,False
15,thyroid,ecod,mean,0.8087593370681606,0.9903201473033972,0.0690523176818065,False
16,thyroid,iforest,mean,0.885620879120879,0.9949940603468758,0.0583789505769516,False
16,thyroid,loda,mean,0.7595349971665761,0.98639819434545,0.0206118452841604,False
16,thyroid,inne,mean,0.8156349206349207,0.9934132216678544,0.312476750896987,False
16,thyroid,hbos,mean,0.9113492063492064,0.996628058921359,0.0818801899186692,True
16,thyroid,copod,mean,0.5989816017316018,0.978787716797339,0.0665411222726257,False
16,thyroid,ecod,mean,0.8643290043290044,0.9946679733903538,0.0668462202524675,False
17,thyroid,iforest,mean,0.7740692918192918,0.9898907103825136,0.0626066154675306,False
17,thyroid,loda,mean,0.4924734028404106,0.9400997861724876,0.0283858850178506,False
17,thyroid,inne,mean,0.7842992138580374,0.989347232121644,0.3143018154494187,True
17,thyroid,hbos,mean,0.6197885864135864,0.9802049180327868,0.0841914841022752,False
17,thyroid,copod,mean,0.4254481812989877,0.9679234972677596,0.0725267987541123,False
