seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,vertebral,iforest,mean,0.3679870407370407,0.4452727272727273,0.3337486025933561,False
1,vertebral,loda,mean,0.3130846375846375,0.3174545454545455,0.3633180528871743,False
1,vertebral,inne,mean,0.398469807969808,0.4814545454545454,0.3274677409814621,True
1,vertebral,hbos,mean,0.3058976023976024,0.3523636363636364,0.3570353629938364,False
1,vertebral,copod,mean,0.2906683871683871,0.3172727272727273,0.3846713227077156,False
1,vertebral,ecod,mean,0.3749958097458098,0.4149090909090909,0.3418113902960983,False
2,vertebral,iforest,mean,0.3409543234543234,0.3785454545454546,0.3499331109338361,False
2,vertebral,loda,mean,0.2921837884337884,0.3236363636363636,0.3651878003971419,False
2,vertebral,inne,mean,0.3640761460761461,0.4314545454545454,0.3500968363185108,False
2,vertebral,hbos,mean,0.3393549506049506,0.3030909090909091,0.3819247241448791,False
2,vertebral,copod,mean,0.2675181762681763,0.2483636363636363,0.4049472256906047,False
2,vertebral,ecod,mean,0.3815158452658452,0.4225454545454545,0.337412808239559,True
3,vertebral,iforest,mean,0.3300725663225663,0.406,0.3572770404219462,False
3,vertebral,loda,mean,0.3186159396159396,0.3389090909090909,0.370979330731574,False
3,vertebral,inne,mean,0.3248485403485402,0.4154545454545454,0.3589475357823571,False
3,vertebral,hbos,mean,0.3288684648684649,0.385090909090909,0.3479190203597069,False
3,vertebral,copod,mean,0.3434949494949495,0.4236363636363636,0.3497963134024476,False
3,vertebral,ecod,mean,0.3590460095460095,0.4396363636363636,0.3480792228522952,True
4,vertebral,iforest,mean,0.3469296259296259,0.4372727272727273,0.3446822641111542,False
4,vertebral,loda,mean,0.3624983072483073,0.3925454545454545,0.353402503933201,False
4,vertebral,inne,mean,0.4083327783327783,0.4863636363636364,0.3415438713576383,True
4,vertebral,hbos,mean,0.323001221001221,0.3627272727272727,0.3764376824117614,False
4,vertebral,copod,mean,0.3236956654456654,0.3674545454545453,0.3790909412542837,False
4,vertebral,ecod,mean,0.3821633921633921,0.4350909090909091,0.3506484474510519,False
5,vertebral,iforest,mean,0.3588217893217893,0.446,0.3299957930394278,False
5,vertebral,loda,mean,0.3981941114441114,0.4465454545454546,0.3271473255498193,True
5,vertebral,inne,mean,0.3731289821289821,0.4558181818181818,0.3408904110608375,False
5,vertebral,hbos,mean,0.3322419802419801,0.3801818181818182,0.3617708113226853,False
5,vertebral,copod,mean,0.3679118104118104,0.4649090909090909,0.3379899549724551,False
5,vertebral,ecod,mean,0.3891533189033189,0.498,0.3268356875377933,False
6,vertebral,iforest,mean,0.3539884559884559,0.4647272727272727,0.3315715141658691,False
6,vertebral,loda,mean,0.3942565212565212,0.4645454545454545,0.3198616043998355,False
6,vertebral,inne,mean,0.4349446664446664,0.5310909090909091,0.3125837040041914,True
6,vertebral,hbos,mean,0.3394681152181151,0.4370909090909091,0.3339680973214803,False
6,vertebral,copod,mean,0.3023323898323898,0.3509090909090909,0.3657129286580109,False
6,vertebral,ecod,mean,0.3369554334554334,0.4276363636363636,0.3294515039815185,False
7,vertebral,iforest,mean,0.3491201298701299,0.4363636363636363,0.3374469963965403,False
7,vertebral,loda,mean,0.3373717393717393,0.3934545454545454,0.3457934365212862,False
7,vertebral,inne,mean,0.4301916139416139,0.5021818181818182,0.3067163765031378,True
7,vertebral,hbos,mean,0.2931950826950827,0.3018181818181819,0.3791338700918347,False
7,vertebral,copod,mean,0.3209922577422577,0.3894545454545454,0.3486445015519656,False
7,vertebral,ecod,mean,0.3849027084027084,0.4616363636363636,0.3222632330462766,False
8,vertebral,iforest,mean,0.405335692085692,0.4629090909090909,0.3100919250034,False
8,vertebral,loda,mean,0.3876166056166056,0.4296363636363636,0.3324937448399889,False
8,vertebral,inne,mean,0.4187356254856255,0.5127272727272727,0.324720117371942,False
8,vertebral,hbos,mean,0.4342793872793873,0.4852727272727272,0.316654010994054,False
8,vertebral,copod,mean,0.3200954878454878,0.3712727272727273,0.3669489402151499,False
8,vertebral,ecod,mean,0.5101060883560884,0.5770909090909091,0.2769860232724885,True
9,vertebral,iforest,mean,0.446505106005106,0.4996363636363637,0.3068495064697968,False
9,vertebral,loda,mean,0.359729686979687,0.3954545454545454,0.3576504686730967,False
9,vertebral,inne,mean,0.4329765234765235,0.4892727272727272,0.3191148156072277,False
9,vertebral,hbos,mean,0.3784438894438894,0.4447272727272727,0.3727957401169717,False
9,vertebral,copod,mean,0.3304012654012653,0.407090909090909,0.3742330101962297,False
9,vertebral,ecod,mean,0.4607594627594628,0.5218181818181817,0.3008637558010888,True
10,vertebral,iforest,mean,0.3388320845820846,0.4063636363636363,0.3463400462484471,False
10,vertebral,loda,mean,0.2943401043401043,0.3103636363636363,0.380244959671296,False
10,vertebral,inne,mean,0.3250207015207015,0.3936363636363637,0.3633189944193945,False
10,vertebral,hbos,mean,0.3105140137640138,0.299,0.3673730251262678,False
10,vertebral,copod,mean,0.3168066378066377,0.3769090909090909,0.3783191159580859,False
10,vertebral,ecod,mean,0.3992138972138973,0.4729090909090909,0.3163426170352756,True
11,vertebral,iforest,mean,0.4051955544455545,0.4776363636363636,0.3159955055513964,False
11,vertebral,loda,mean,0.3642052114552115,0.3767272727272728,0.3476997603690418,False
11,vertebral,inne,mean,0.4299875957375957,0.5472727272727274,0.3093914718199343,True
11,vertebral,hbos,mean,0.3555380452880453,0.462909090909091,0.3395092961233413,False
11,vertebral,copod,mean,0.3575837495837495,0.3901818181818182,0.3630941538675364,False
11,vertebral,ecod,mean,0.4175504218004218,0.4507272727272727,0.3214410539719915,False
12,vertebral,iforest,mean,0.3818607781107781,0.4345454545454545,0.3415657255863489,False
12,vertebral,loda,mean,0.30472446997447,0.32,0.3788531679905216,False
12,vertebral,inne,mean,0.3975894938394938,0.44,0.3589030074080074,True
12,vertebral,hbos,mean,0.3490301365301366,0.39,0.3702167500591474,False
12,vertebral,copod,mean,0.2851255688755689,0.2758181818181818,0.407687916838491,False
12,vertebral,ecod,mean,0.3712700355200355,0.4192727272727272,0.3443584354419715,False
13,vertebral,iforest,mean,0.3467276612276612,0.4629090909090909,0.3245120315381605,False
13,vertebral,loda,mean,0.3403906648906648,0.4103636363636364,0.3505176508618984,False
13,vertebral,inne,mean,0.4062146187146186,0.4943636363636363,0.3284415938290174,True
13,vertebral,hbos,mean,0.3197342657342658,0.3447272727272727,0.3542559285662776,False
13,vertebral,copod,mean,0.3101065878565878,0.3758181818181818,0.3758908540027649,False
13,vertebral,ecod,mean,0.3944518537018537,0.4727272727272728,0.314308476084461,False
14,vertebral,iforest,mean,0.3044001831501831,0.337090909090909,0.3868653571268369,False
14,vertebral,loda,mean,0.3531667776667777,0.3674545454545455,0.3569270270867831,False
14,vertebral,inne,mean,0.3438591408591408,0.4450909090909091,0.3511815178222338,False
14,vertebral,hbos,mean,0.2866339771339771,0.2801818181818182,0.4175551708722345,False
14,vertebral,copod,mean,0.2947062659562659,0.3161818181818182,0.3991607792061291,False
14,vertebral,ecod,mean,0.3568847263847263,0.3861818181818181,0.3485893139302234,True
15,vertebral,iforest,mean,0.3315443167943168,0.3958181818181818,0.3506973919076387,False
15,vertebral,loda,mean,0.3342959540459541,0.392,0.3599863025222318,False
15,vertebral,inne,mean,0.3510753968253968,0.4623636363636363,0.3444695421698841,False
15,vertebral,hbos,mean,0.2931448828948829,0.3081818181818182,0.3886675674151682,False
15,vertebral,copod,mean,0.3135293872793873,0.3907272727272727,0.3639243570114542,False
15,vertebral,ecod,mean,0.3686936674436674,0.4298181818181819,0.3419844558400196,True
16,vertebral,iforest,mean,0.3847613497613497,0.4558181818181818,0.3194449499456064,False
16,vertebral,loda,mean,0.3316762126762126,0.3883636363636363,0.3439026055442721,False
16,vertebral,inne,mean,0.4463198190698191,0.5096363636363636,0.3252349788147761,False
16,vertebral,hbos,mean,0.3479499666999667,0.3783636363636363,0.3429994128742518,False
16,vertebral,copod,mean,0.3252004107004107,0.404,0.3484346463974771,False
16,vertebral,ecod,mean,0.4567725607725608,0.5425454545454546,0.2882032524093527,True
17,vertebral,iforest,mean,0.3372892107892107,0.4245454545454545,0.3400160709754755,False
17,vertebral,loda,mean,0.3004214951714951,0.3321818181818181,0.3688703187061748,False
17,vertebral,inne,mean,0.4193676323676324,0.5603636363636364,0.3175478274786895,True
17,vertebral,hbos,mean,0.290721583971584,0.3194545454545455,0.3839563907719793,False
17,vertebral,copod,mean,0.2853148240648241,0.3036363636363636,0.4092083264355818,False
17,vertebral,ecod,mean,0.3123798423798424,0.3598181818181818,0.3593686041375025,False
18,vertebral,iforest,mean,0.3897058219558219,0.4881818181818183,0.3243510106556347,False
18,vertebral,loda,mean,0.3745041902541903,0.4507272727272727,0.354438026889963,False
