seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,wbc,iforest,mean,0.9751666666666667,0.9892380952380952,0.05651858246443411,False
1,wbc,loda,mean,0.933952380952381,0.9782857142857143,0.05307377057016548,False
1,wbc,inne,mean,0.8608492063492064,0.9390476190476191,0.25678932166793106,False
1,wbc,hbos,mean,0.9709999999999999,0.9905714285714285,0.049833725412260874,False
1,wbc,mcd,mean,0.9526666666666668,0.9784761904761904,0.07280863607008707,False
1,wbc,copod,mean,0.9810000000000001,0.9933333333333334,0.042892286376604194,False
1,wbc,ecod,mean,0.986,0.9946666666666667,0.04408400554474182,True
2,wbc,iforest,mean,0.981952380952381,0.9938095238095238,0.05624896949950331,False
2,wbc,loda,mean,0.9059523809523808,0.973047619047619,0.06240399665778087,False
2,wbc,inne,mean,0.8677777777777778,0.9563809523809524,0.25126475258643854,False
2,wbc,hbos,mean,0.9612857142857143,0.9893333333333334,0.05171633918931011,False
2,wbc,mcd,mean,0.9836190476190476,0.993047619047619,0.04110866198457648,False
2,wbc,copod,mean,0.9893333333333333,0.9960000000000001,0.0371153597384422,True
2,wbc,ecod,mean,0.9893333333333333,0.9960000000000001,0.03813906765939473,False
3,wbc,iforest,mean,0.9893333333333334,0.9960000000000001,0.05610804171543403,False
3,wbc,loda,mean,0.9092857142857144,0.9746666666666666,0.061395071658471856,False
3,wbc,inne,mean,0.9367380952380951,0.9745714285714288,0.23971950614526505,False
3,wbc,hbos,mean,0.9893333333333334,0.9960000000000001,0.045719827851488655,False
3,wbc,mcd,mean,0.9662380952380953,0.9880000000000001,0.0645491645371314,False
3,wbc,copod,mean,0.9926666666666666,0.9973333333333333,0.033794090777173005,True
3,wbc,ecod,mean,0.9926666666666666,0.9973333333333333,0.034743686102071854,False
4,wbc,iforest,mean,1.0,1.0,0.0497260235415118,True
4,wbc,loda,mean,0.9051190476190476,0.9700952380952381,0.06162094090081517,False
4,wbc,inne,mean,0.8694761904761904,0.9528571428571428,0.2518404035517705,False
4,wbc,hbos,mean,0.9752857142857143,0.991904761904762,0.04648774330735035,False
4,wbc,mcd,mean,0.9672857142857143,0.9879047619047621,0.07092666451677143,False
4,wbc,copod,mean,0.9926666666666666,0.9973333333333333,0.03195622952151818,False
4,wbc,ecod,mean,0.9926666666666666,0.9973333333333333,0.03314913234943918,False
5,wbc,iforest,mean,0.9834523809523809,0.9918095238095239,0.057083956102682076,True
5,wbc,loda,mean,0.9088333333333333,0.9742857142857144,0.05328433108480304,False
5,wbc,inne,mean,0.8962777777777777,0.9541904761904763,0.25041686279918657,False
5,wbc,hbos,mean,0.966952380952381,0.9877142857142858,0.05144687851103267,False
5,wbc,mcd,mean,0.9633968253968254,0.9837142857142858,0.08114616534809434,False
5,wbc,copod,mean,0.9795714285714286,0.9916190476190476,0.03935410093960525,False
5,wbc,ecod,mean,0.9795714285714286,0.9916190476190476,0.0404850609642298,False
