seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,breast,inne,empirical,45,25,45,25,24,1,0.04,0.0,0.0
1,breast,inne,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
1,breast,inne,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
1,breast,inne,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
2,breast,ecod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
2,breast,ecod,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
2,breast,ecod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
2,breast,ecod,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
3,breast,loda,empirical,45,25,45,25,24,1,0.04,0.0,0.0
3,breast,loda,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
3,breast,loda,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
3,breast,loda,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
4,breast,loda,empirical,45,25,45,25,24,1,0.04,0.0,0.0
4,breast,loda,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
4,breast,loda,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
4,breast,loda,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
5,breast,ecod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
5,breast,ecod,probabilistic,45,25,45,25,24,1,0.04,1.0,0.0
5,breast,ecod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
5,breast,ecod,probabilistic_weighted,45,25,45,25,24,1,0.04,1.0,0.0
6,breast,ecod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
6,breast,ecod,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
6,breast,ecod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
6,breast,ecod,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
7,breast,copod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
7,breast,copod,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
7,breast,copod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
7,breast,copod,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
8,breast,loda,empirical,45,25,45,25,24,1,0.04,0.0,0.0
8,breast,loda,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
8,breast,loda,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
8,breast,loda,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
9,breast,copod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
9,breast,copod,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
9,breast,copod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
9,breast,copod,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
10,breast,copod,empirical,45,25,45,25,24,1,0.04,0.0,0.0
10,breast,copod,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
10,breast,copod,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
10,breast,copod,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
11,breast,iforest,empirical,45,25,45,25,24,1,0.04,0.0,0.0
11,breast,iforest,probabilistic,45,25,45,25,24,1,0.04,1.0,0.0
11,breast,iforest,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
11,breast,iforest,probabilistic_weighted,45,25,45,25,24,1,0.04,1.0,0.0
12,breast,iforest,empirical,45,25,45,25,24,1,0.04,0.0,0.0
12,breast,iforest,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
12,breast,iforest,empirical_weighted,45,25,45,25,24,1,0.04,0.0,0.0
12,breast,iforest,probabilistic_weighted,45,25,45,25,24,1,0.04,0.0,0.0
13,breast,iforest,empirical,45,25,45,25,24,1,0.04,0.0,0.0
13,breast,iforest,probabilistic,45,25,45,25,24,1,0.04,0.0,0.0
