seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,breastw,copod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
1,breastw,copod,probabilistic,222,171,222,171,162,9,0.053,0.25,0.333
1,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
1,breastw,copod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.333
2,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
2,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.111,0.889
2,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
2,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
3,breastw,ecod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
3,breastw,ecod,probabilistic,222,171,222,171,162,9,0.053,0.0,0.111
3,breastw,ecod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
3,breastw,ecod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
4,breastw,copod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
4,breastw,copod,probabilistic,222,171,222,171,162,9,0.053,0.0,0.222
4,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
4,breastw,copod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
5,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
5,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.222
5,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
5,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
6,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
6,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.0
6,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
6,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.0
7,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
7,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.111
7,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
7,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
8,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
8,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.4,1.0
8,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
8,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.167,0.556
9,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
9,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.0
9,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
9,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.0
10,breastw,ecod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
10,breastw,ecod,probabilistic,222,171,222,171,162,9,0.053,0.0,0.444
10,breastw,ecod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
10,breastw,ecod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.333
11,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
11,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.0
11,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
11,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.0
12,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
12,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.556
12,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
12,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.556
13,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
13,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.125,0.778
13,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
13,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.556
14,breastw,ecod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
14,breastw,ecod,probabilistic,222,171,222,171,162,9,0.053,0.0,0.0
14,breastw,ecod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
14,breastw,ecod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.0
15,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
15,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.444
15,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
15,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.222
16,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
16,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.444
16,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
16,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.333
17,breastw,copod,empirical,222,171,222,171,162,9,0.053,0.0,0.0
17,breastw,copod,probabilistic,222,171,222,171,162,9,0.053,0.167,0.556
17,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
17,breastw,copod,probabilistic_weighted,222,171,222,171,162,9,0.053,0.167,0.556
18,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
18,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.111
18,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
18,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
19,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
19,breastw,iforest,probabilistic,222,171,222,171,162,9,0.053,0.0,0.111
19,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
19,breastw,iforest,probabilistic_weighted,222,171,222,171,162,9,0.053,0.0,0.111
20,breastw,iforest,empirical,222,171,222,171,162,9,0.053,0.0,0.0
