seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,cardio,inne,empirical,827,458,827,458,435,23,0.05,0.0,0.0
1,cardio,inne,probabilistic,827,458,827,458,435,23,0.05,0.0,0.0
1,cardio,inne,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
1,cardio,inne,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.0
2,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
2,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.0
2,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
2,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.0
3,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
3,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.043
3,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
3,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.043
4,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
4,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.043
4,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
4,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.043
5,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
5,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.4,0.13
5,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
5,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.13
6,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.167,0.217
6,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.286,0.217
6,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
6,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.217
7,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
7,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.174
7,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
7,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.13
8,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.143,0.261
8,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.143,0.261
8,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
8,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.261
9,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
9,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.174
9,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
9,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.13
10,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
10,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.087
10,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
10,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.087
11,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
11,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.087
11,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
11,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.087
12,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
12,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.043
12,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
12,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.043
13,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
13,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.087
13,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
13,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.043
14,cardio,ecod,empirical,827,458,827,458,435,23,0.05,0.0,0.0
14,cardio,ecod,probabilistic,827,458,827,458,435,23,0.05,0.0,0.0
14,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
14,cardio,ecod,probabilistic_weighted,827,458,827,458,435,23,0.05,0.0,0.0
15,cardio,inne,empirical,827,458,827,458,435,23,0.05,0.364,0.304
