seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,hepatitis,copod,empirical,33,20,33,20,19,1,0.05,0.0,0.0
1,hepatitis,copod,probabilistic,33,20,33,20,19,1,0.05,1.0,0.0
1,hepatitis,copod,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
1,hepatitis,copod,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
2,hepatitis,iforest,empirical,33,20,33,20,19,1,0.05,0.0,0.0
2,hepatitis,iforest,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
2,hepatitis,iforest,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
2,hepatitis,iforest,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
3,hepatitis,inne,empirical,33,20,33,20,19,1,0.05,0.0,0.0
3,hepatitis,inne,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
3,hepatitis,inne,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
3,hepatitis,inne,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
4,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
4,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
4,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
4,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
5,hepatitis,iforest,empirical,33,20,33,20,19,1,0.05,0.0,0.0
5,hepatitis,iforest,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
5,hepatitis,iforest,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
5,hepatitis,iforest,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
6,hepatitis,copod,empirical,33,20,33,20,19,1,0.05,0.0,0.0
6,hepatitis,copod,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
6,hepatitis,copod,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
6,hepatitis,copod,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
7,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
7,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
7,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
7,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
8,hepatitis,copod,empirical,33,20,33,20,19,1,0.05,0.0,0.0
8,hepatitis,copod,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
8,hepatitis,copod,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
8,hepatitis,copod,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
9,hepatitis,iforest,empirical,33,20,33,20,19,1,0.05,0.0,0.0
9,hepatitis,iforest,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
9,hepatitis,iforest,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
9,hepatitis,iforest,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
10,hepatitis,inne,empirical,33,20,33,20,19,1,0.05,0.0,0.0
10,hepatitis,inne,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
10,hepatitis,inne,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
10,hepatitis,inne,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
11,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
11,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
11,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
11,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
12,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
12,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
12,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
12,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
13,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
13,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
13,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
13,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
14,hepatitis,iforest,empirical,33,20,33,20,19,1,0.05,0.0,0.0
14,hepatitis,iforest,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
14,hepatitis,iforest,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
14,hepatitis,iforest,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
15,hepatitis,inne,empirical,33,20,33,20,19,1,0.05,0.0,0.0
15,hepatitis,inne,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
15,hepatitis,inne,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
15,hepatitis,inne,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
16,hepatitis,inne,empirical,33,20,33,20,19,1,0.05,0.0,0.0
16,hepatitis,inne,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
16,hepatitis,inne,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
16,hepatitis,inne,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
17,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
17,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.667,1.0
17,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
17,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.667,1.0
18,hepatitis,hbos,empirical,33,20,33,20,19,1,0.05,0.0,0.0
18,hepatitis,hbos,probabilistic,33,20,33,20,19,1,0.05,0.0,0.0
18,hepatitis,hbos,empirical_weighted,33,20,33,20,19,1,0.05,0.0,0.0
18,hepatitis,hbos,probabilistic_weighted,33,20,33,20,19,1,0.05,0.0,0.0
