seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
1,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,1.0
1,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
1,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
2,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
2,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
2,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
2,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
3,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
3,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.429,1.0
3,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
3,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
6,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
6,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.5
6,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
6,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
10,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
10,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.2,1.0
10,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
10,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
12,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
12,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.25,0.75
12,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
12,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
15,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
15,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.333,1.0
15,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
15,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.75
16,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
16,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.4,0.75
16,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
16,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
19,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
19,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
19,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
19,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
20,ionosphere,inne,empirical,112,88,112,88,84,4,0.045,0.0,0.0
20,ionosphere,inne,probabilistic,112,88,112,88,84,4,0.045,0.0,0.0
20,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
20,ionosphere,inne,probabilistic_weighted,112,88,112,88,84,4,0.045,0.0,0.0
mean,ionosphere,all_models,empirical,112,88,112,88,84,4,0.045,0.000±0.000,0.000±0.000
mean,ionosphere,all_models,empirical_weighted,112,88,112,88,84,4,0.045,0.000±0.000,0.000±0.000
mean,ionosphere,all_models,probabilistic,112,88,112,88,84,4,0.045,0.081±0.150,0.300±0.434
mean,ionosphere,all_models,probabilistic_weighted,112,88,112,88,84,4,0.045,0.000±0.000,0.037±0.168
