seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,lymphography,iforest,empirical,71,37,71,37,35,2,0.054,0.0,0.0
1,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
1,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
1,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
2,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
2,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
2,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
2,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
3,lymphography,hbos,empirical,71,37,71,37,35,2,0.054,0.0,0.0
3,lymphography,hbos,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
3,lymphography,hbos,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
3,lymphography,hbos,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
4,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
4,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.333,1.0
4,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
4,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.5,0.5
5,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
5,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.0,1.0
5,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
5,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
6,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
6,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.5,1.0
6,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
6,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.5,1.0
7,lymphography,hbos,empirical,71,37,71,37,35,2,0.054,0.0,0.0
7,lymphography,hbos,probabilistic,71,37,71,37,35,2,0.054,0.5,1.0
7,lymphography,hbos,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
7,lymphography,hbos,probabilistic_weighted,71,37,71,37,35,2,0.054,0.333,1.0
8,lymphography,iforest,empirical,71,37,71,37,35,2,0.054,0.0,0.0
8,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
8,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
8,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
9,lymphography,inne,empirical,71,37,71,37,35,2,0.054,0.0,0.0
9,lymphography,inne,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
9,lymphography,inne,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
9,lymphography,inne,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
10,lymphography,hbos,empirical,71,37,71,37,35,2,0.054,0.0,0.0
10,lymphography,hbos,probabilistic,71,37,71,37,35,2,0.054,0.0,1.0
10,lymphography,hbos,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
10,lymphography,hbos,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
11,lymphography,hbos,empirical,71,37,71,37,35,2,0.054,0.0,0.0
11,lymphography,hbos,probabilistic,71,37,71,37,35,2,0.054,0.333,1.0
11,lymphography,hbos,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
11,lymphography,hbos,probabilistic_weighted,71,37,71,37,35,2,0.054,0.333,1.0
12,lymphography,iforest,empirical,71,37,71,37,35,2,0.054,0.0,0.0
12,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,1.0
12,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
12,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
13,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
13,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
13,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
13,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
14,lymphography,inne,empirical,71,37,71,37,35,2,0.054,0.0,0.0
14,lymphography,inne,probabilistic,71,37,71,37,35,2,0.054,0.333,1.0
14,lymphography,inne,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
14,lymphography,inne,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.0
15,lymphography,ecod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
15,lymphography,ecod,probabilistic,71,37,71,37,35,2,0.054,0.5,1.0
15,lymphography,ecod,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
15,lymphography,ecod,probabilistic_weighted,71,37,71,37,35,2,0.054,0.5,1.0
16,lymphography,iforest,empirical,71,37,71,37,35,2,0.054,0.0,0.0
16,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,0.5
16,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
16,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,0.5
17,lymphography,iforest,empirical,71,37,71,37,35,2,0.054,0.0,0.0
17,lymphography,iforest,probabilistic,71,37,71,37,35,2,0.054,0.0,0.0
17,lymphography,iforest,empirical_weighted,71,37,71,37,35,2,0.054,0.0,0.0
17,lymphography,iforest,probabilistic_weighted,71,37,71,37,35,2,0.054,0.0,1.0
18,lymphography,copod,empirical,71,37,71,37,35,2,0.054,0.0,0.0
18,lymphography,copod,probabilistic,71,37,71,37,35,2,0.054,0.333,1.0
