seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,mammography,ecod,empirical,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
1,mammography,ecod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.136,0.146
1,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
1,mammography,ecod,probabilistic_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
2,mammography,ecod,empirical,5461,2796,5461,2796,2666,130,0.046,0.038,0.192
2,mammography,ecod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.038,0.192
2,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
2,mammography,ecod,probabilistic_weighted,5461,2796,5461,2796,2666,130,0.046,0.038,0.192
3,mammography,ecod,empirical,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
3,mammography,ecod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
3,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
3,mammography,ecod,probabilistic_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
4,mammography,copod,empirical,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
4,mammography,copod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.053,0.138
4,mammography,copod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
4,mammography,copod,probabilistic_weighted,5461,2796,5461,2796,2666,130,0.046,0.053,0.138
5,mammography,ecod,empirical,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
5,mammography,ecod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.0,0.046
5,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
5,mammography,ecod,probabilistic_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.038
6,mammography,ecod,empirical,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
6,mammography,ecod,probabilistic,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
6,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
