seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.136,1.0
1,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.073,1.0
1,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.116,1.0
1,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.073,1.0
2,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.05,1.0
2,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.026,1.0
2,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.05,1.0
2,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.026,1.0
3,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.116,1.0
3,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.116,1.0
3,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.0,0.0
3,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.116,1.0
4,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.026,1.0
4,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.026,1.0
4,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.073,1.0
4,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.026,1.0
5,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.116,1.0
5,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.095,1.0
5,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.073,1.0
5,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.095,1.0
6,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.026,1.0
6,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.0,1.0
6,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.0,1.0
6,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.0,1.0
7,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.156,1.0
7,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.136,1.0
7,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.156,1.0
7,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.136,1.0
8,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.026,1.0
8,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.026,1.0
8,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.026,1.0
8,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.026,1.0
9,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.116,1.0
9,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.073,1.0
9,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.095,1.0
9,musk,hbos,probabilistic_weighted,1482,766,1482,766,728,38,0.05,0.073,1.0
10,musk,hbos,empirical,1482,766,1482,766,728,38,0.05,0.05,1.0
10,musk,hbos,probabilistic,1482,766,1482,766,728,38,0.05,0.05,1.0
10,musk,hbos,empirical_weighted,1482,766,1482,766,728,38,0.05,0.05,1.0
