seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.1,0.338
1,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.1,0.338
1,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.077,0.3
1,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.1,0.338
2,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.175
2,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.0,0.175
2,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.175
2,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.25
3,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.281,0.288
3,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.25,0.338
3,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.281,0.288
3,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.257,0.325
4,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
4,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
4,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
4,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
5,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.212,0.325
5,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.256,0.4
5,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.188,0.325
5,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.212,0.325
6,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.059,0.2
6,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.05,0.238
6,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.0
6,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
7,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.346,0.425
7,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.333,0.425
7,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.298,0.412
7,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.306,0.425
8,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
8,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
8,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
8,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
9,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.275,0.362
9,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.234,0.45
9,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.256,0.362
9,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.275,0.362
10,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
10,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.107,0.312
10,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.15
10,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.107,0.312
11,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.087,0.262
11,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
11,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.0
11,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
12,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.112
12,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.0,0.188
12,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.112
12,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
13,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
13,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.0,0.275
13,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
13,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.225
14,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.167,0.375
14,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.167,0.438
14,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.167,0.375
14,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.175,0.412
15,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.16,0.262
15,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.241,0.275
15,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.16,0.262
15,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.16,0.262
16,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.188
16,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.0,0.188
16,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.138
16,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.188
17,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.042,0.288
17,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.042,0.288
17,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.0
17,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.038,0.312
18,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.174,0.238
18,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.167,0.25
18,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.174,0.238
18,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.167,0.25
19,satellite,hbos,empirical,2199,1609,2199,1609,1529,80,0.05,0.0,0.125
19,satellite,hbos,probabilistic,2199,1609,2199,1609,1529,80,0.05,0.0,0.15
19,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.125
19,satellite,hbos,probabilistic_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.15
