seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,spambase,iforest,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
1,spambase,iforest,probabilistic,1264,1052,1264,1052,999,53,0.05,0.0,0.0
1,spambase,iforest,empirical_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
1,spambase,iforest,probabilistic_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
2,spambase,iforest,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
2,spambase,iforest,probabilistic,1264,1052,1264,1052,999,53,0.05,0.0,0.0
2,spambase,iforest,empirical_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
2,spambase,iforest,probabilistic_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
3,spambase,inne,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
3,spambase,inne,probabilistic,1264,1052,1264,1052,999,53,0.05,0.0,0.0
3,spambase,inne,empirical_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
3,spambase,inne,probabilistic_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
4,spambase,iforest,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
4,spambase,iforest,probabilistic,1264,1052,1264,1052,999,53,0.05,0.0,0.0
4,spambase,iforest,empirical_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
4,spambase,iforest,probabilistic_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
5,spambase,iforest,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
5,spambase,iforest,probabilistic,1264,1052,1264,1052,999,53,0.05,0.0,0.0
5,spambase,iforest,empirical_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
5,spambase,iforest,probabilistic_weighted,1264,1052,1264,1052,999,53,0.05,0.0,0.0
6,spambase,iforest,empirical,1264,1052,1264,1052,999,53,0.05,0.0,0.0
