seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
1,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.021
1,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
1,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.021
2,thyroid,iforest,empirical,1839,944,1839,944,897,47,0.05,0.15,0.723
2,thyroid,iforest,probabilistic,1839,944,1839,944,897,47,0.05,0.163,0.766
2,thyroid,iforest,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
2,thyroid,iforest,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
3,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
3,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
3,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
3,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
4,thyroid,iforest,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
4,thyroid,iforest,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
4,thyroid,iforest,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
4,thyroid,iforest,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
5,thyroid,iforest,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
5,thyroid,iforest,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
5,thyroid,iforest,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
5,thyroid,iforest,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
6,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
6,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
6,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
6,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
7,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
7,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
7,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
7,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
8,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
8,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
8,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
8,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
9,thyroid,inne,empirical,1839,944,1839,944,897,47,0.05,0.0,0.17
9,thyroid,inne,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
9,thyroid,inne,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
9,thyroid,inne,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
10,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
10,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
10,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
10,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
11,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
11,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
11,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
11,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
12,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
12,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.021
12,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
12,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.021
13,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
13,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
13,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
13,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
14,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
14,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
14,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
14,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
15,thyroid,iforest,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
15,thyroid,iforest,probabilistic,1839,944,1839,944,897,47,0.05,1.0,0.0
15,thyroid,iforest,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
15,thyroid,iforest,probabilistic_weighted,1839,944,1839,944,897,47,0.05,1.0,0.0
16,thyroid,hbos,empirical,1839,944,1839,944,897,47,0.05,0.216,0.617
16,thyroid,hbos,probabilistic,1839,944,1839,944,897,47,0.05,0.195,0.702
16,thyroid,hbos,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
16,thyroid,hbos,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.136,0.404
17,thyroid,inne,empirical,1839,944,1839,944,897,47,0.05,0.087,0.447
17,thyroid,inne,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
17,thyroid,inne,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
17,thyroid,inne,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
18,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
18,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.021
18,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
18,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.021
19,thyroid,inne,empirical,1839,944,1839,944,897,47,0.05,0.226,0.511
19,thyroid,inne,probabilistic,1839,944,1839,944,897,47,0.05,0.0,0.0
19,thyroid,inne,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
19,thyroid,inne,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
20,thyroid,ecod,empirical,1839,944,1839,944,897,47,0.05,0.0,0.0
20,thyroid,ecod,probabilistic,1839,944,1839,944,897,47,0.05,0.5,0.021
20,thyroid,ecod,empirical_weighted,1839,944,1839,944,897,47,0.05,0.0,0.0
20,thyroid,ecod,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.5,0.021
mean,thyroid,all_models,empirical,1839,944,1839,944,897,47,0.05,0.034±0.074,0.123±0.239
mean,thyroid,all_models,empirical_weighted,1839,944,1839,944,897,47,0.05,0.000±0.000,0.000±0.000
mean,thyroid,all_models,probabilistic,1839,944,1839,944,897,47,0.05,0.093±0.245,0.078±0.225
mean,thyroid,all_models,probabilistic_weighted,1839,944,1839,944,897,47,0.05,0.082±0.244,0.024±0.090
