seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
1,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
1,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
1,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
2,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
2,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
2,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
2,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
3,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
3,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
3,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
3,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
4,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
4,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
4,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
4,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
5,vertebral,loda,empirical,105,60,105,60,57,3,0.05,0.0,0.0
5,vertebral,loda,probabilistic,105,60,105,60,57,3,0.05,1.0,0.0
5,vertebral,loda,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
5,vertebral,loda,probabilistic_weighted,105,60,105,60,57,3,0.05,1.0,0.0
6,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
6,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
6,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
6,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
7,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
7,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
7,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
7,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
8,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
8,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,1.0,0.0
8,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
8,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,1.0,0.0
9,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
9,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,1.0,0.0
9,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
9,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,1.0,0.0
10,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
10,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
10,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
10,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
11,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
11,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
11,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
11,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
12,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
12,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
12,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
12,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
13,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
13,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
13,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
13,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
14,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
14,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
14,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
14,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
15,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
15,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
15,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
15,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
16,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
16,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
16,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
16,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
17,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
17,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
17,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
17,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
18,vertebral,ecod,empirical,105,60,105,60,57,3,0.05,0.0,0.0
18,vertebral,ecod,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
18,vertebral,ecod,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
18,vertebral,ecod,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
19,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
19,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
19,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
19,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
20,vertebral,inne,empirical,105,60,105,60,57,3,0.05,0.0,0.0
20,vertebral,inne,probabilistic,105,60,105,60,57,3,0.05,0.0,0.0
20,vertebral,inne,empirical_weighted,105,60,105,60,57,3,0.05,0.0,0.0
20,vertebral,inne,probabilistic_weighted,105,60,105,60,57,3,0.05,0.0,0.0
mean,vertebral,all_models,empirical,105,60,105,60,57,3,0.05,0.000±0.000,0.000±0.000
mean,vertebral,all_models,empirical_weighted,105,60,105,60,57,3,0.05,0.000±0.000,0.000±0.000
mean,vertebral,all_models,probabilistic,105,60,105,60,57,3,0.05,0.150±0.366,0.000±0.000
mean,vertebral,all_models,probabilistic_weighted,105,60,105,60,57,3,0.05,0.150±0.366,0.000±0.000
