seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
1,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
1,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
1,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
2,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
2,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.167,1.0
2,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
2,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.8
3,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.0,0.0
3,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
3,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
3,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
4,wdbc,iforest,empirical,178,92,178,92,87,5,0.054,0.0,0.0
4,wdbc,iforest,probabilistic,178,92,178,92,87,5,0.054,0.2,0.8
4,wdbc,iforest,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
4,wdbc,iforest,probabilistic_weighted,178,92,178,92,87,5,0.054,0.2,0.8
5,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.0,0.0
5,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
5,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
5,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
6,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
6,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.2
6,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
6,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.2
7,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.286,1.0
7,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
7,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
7,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
8,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
8,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.4
8,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
8,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.4
9,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.333,0.8
9,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
9,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
9,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
10,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
10,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.25,0.6
10,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
10,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.25,0.6
11,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
11,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.333,0.4
11,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
11,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.5,0.2
12,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.167,1.0
12,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.167,1.0
12,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
12,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.167,1.0
13,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
13,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.2
13,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
13,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.2
14,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.545,1.0
14,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.444,1.0
14,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
14,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.444,1.0
15,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
15,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.6
15,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
15,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.8
16,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
16,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
16,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
16,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
17,wdbc,copod,empirical,178,92,178,92,87,5,0.054,0.0,0.0
17,wdbc,copod,probabilistic,178,92,178,92,87,5,0.054,0.0,0.6
17,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
17,wdbc,copod,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.2
18,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.286,1.0
18,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.167,1.0
18,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
18,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
19,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.333,0.8
19,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
19,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
19,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
20,wdbc,inne,empirical,178,92,178,92,87,5,0.054,0.0,0.0
20,wdbc,inne,probabilistic,178,92,178,92,87,5,0.054,0.0,0.0
20,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
20,wdbc,inne,probabilistic_weighted,178,92,178,92,87,5,0.054,0.0,0.0
mean,wdbc,all_models,empirical,178,92,178,92,87,5,0.054,0.098±0.165,0.280±0.442
mean,wdbc,all_models,empirical_weighted,178,92,178,92,87,5,0.054,0.000±0.000,0.000±0.000
mean,wdbc,all_models,probabilistic,178,92,178,92,87,5,0.054,0.086±0.135,0.390±0.402
mean,wdbc,all_models,probabilistic_weighted,178,92,178,92,87,5,0.054,0.078±0.155,0.310±0.375
