seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,breastw,iforest,empirical,210,181,210,181,172,9,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,,,,,0.0,,,,,0.0
1,breastw,iforest,empirical_randomized,210,181,210,181,172,9,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,,,,,0.0,,,,,0.0
1,breastw,iforest,empirical_randomized_weighted,210,181,210,181,172,9,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,0.977994205837733,0.26869768539806116,0.677320662538967,1.8389361116076701,195.26091235525305,1.085868220518528,0.3375326529173586,0.677320662538967,1.8389361116076701,165.05227110751596
1,breastw,iforest,empirical_weighted,210,181,210,181,172,9,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,0.977994205837733,0.26869768539806116,0.677320662538967,1.8389361116076701,195.26091235525305,1.085868220518528,0.3375326529173586,0.677320662538967,1.8389361116076701,165.05227110751596
1,breastw,iforest,probabilistic,210,181,210,181,172,9,0.05,0.0,0.333,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,,,,,0.0,,,,,0.0
1,breastw,iforest,probabilistic_weighted,210,181,210,181,172,9,0.05,0.0,0.222,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.527027027027027,181,210,234,128,1.0,0.0,1.0,1.0,210.0,1.0,0.0,1.0,1.0,181.0,0.977994205837733,0.26869768539806116,0.677320662538967,1.8389361116076701,195.26091235525305,1.085868220518528,0.3375326529173586,0.677320662538967,1.8389361116076701,165.05227110751596
2,breastw,iforest,empirical,214,184,214,184,175,9,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,,,,,0.0,,,,,0.0
2,breastw,iforest,empirical_randomized,214,184,214,184,175,9,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,,,,,0.0,,,,,0.0
2,breastw,iforest,empirical_randomized_weighted,214,184,214,184,175,9,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,0.9656328776596411,0.38766712782149626,0.5881188103111982,2.604321537118525,184.2963040449902,1.169109384640034,0.5602583958112659,0.5881188103111982,2.604321537118525,149.63607506627517
2,breastw,iforest,empirical_weighted,214,184,214,184,175,9,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,0.9656328776596411,0.38766712782149626,0.5881188103111982,2.604321537118525,184.2963040449902,1.169109384640034,0.5602583958112659,0.5881188103111982,2.604321537118525,149.63607506627517
2,breastw,iforest,probabilistic,214,184,214,184,175,9,0.049,0.0,0.222,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,,,,,0.0,,,,,0.0
2,breastw,iforest,probabilistic_weighted,214,184,214,184,175,9,0.049,0.0,0.111,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5180180180180181,184,214,230,137,1.0,0.0,1.0,1.0,214.0,1.0,0.0,1.0,1.0,184.0,0.9656328776596411,0.38766712782149626,0.5881188103111982,2.604321537118525,184.2963040449902,1.169109384640034,0.5602583958112659,0.5881188103111982,2.604321537118525,149.63607506627517
3,breastw,iforest,empirical,225,166,225,166,158,8,0.048,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49324324324324326,166,225,219,114,1.0,0.0,1.0,1.0,225.0,1.0,0.0,1.0,1.0,166.0,,,,,0.0,,,,,0.0
3,breastw,iforest,empirical_randomized,225,166,225,166,158,8,0.048,0.0,0.125,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49324324324324326,166,225,219,114,1.0,0.0,1.0,1.0,225.0,1.0,0.0,1.0,1.0,166.0,,,,,0.0,,,,,0.0
3,breastw,iforest,empirical_randomized_weighted,225,166,225,166,158,8,0.048,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49324324324324326,166,225,219,114,1.0,0.0,1.0,1.0,225.0,1.0,0.0,1.0,1.0,166.0,0.9622073578390401,0.3276318374766286,0.6752421535531459,2.5906319338742656,201.62366835948126,1.1466304180694729,0.5577112190756107,0.6752421535531459,2.5906319338742656,134.24157930043128
