seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,mammography,iforest,empirical,5521,2771,5521,2771,2632,139,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,,,,,0.0,,,,,0.0
1,mammography,iforest,empirical_randomized,5521,2771,5521,2771,2632,139,0.05,0.0,0.007,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,,,,,0.0,,,,,0.0
1,mammography,iforest,empirical_randomized_weighted,5521,2771,5521,2771,2632,139,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,0.9870779627583475,0.11156879464644079,0.8364692020536711,1.340296399586892,5451.355460420148,1.001401268095409,0.12698458075342317,0.8364692020536711,1.340296399586892,2727.1475024449906
1,mammography,iforest,empirical_weighted,5521,2771,5521,2771,2632,139,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,0.9870779627583475,0.11156879464644079,0.8364692020536711,1.340296399586892,5451.355460420148,1.001401268095409,0.12698458075342317,0.8364692020536711,1.340296399586892,2727.1475024449906
1,mammography,iforest,probabilistic,5521,2771,5521,2771,2632,139,0.05,0.0,0.058,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,,,,,0.0,,,,,0.0
1,mammography,iforest,probabilistic_weighted,5521,2771,5521,2771,2632,139,0.05,0.0,0.007,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49455277854069396,2771,5521,5402,140,1.0,0.0,1.0,1.0,5521.0,1.0,0.0,1.0,1.0,2771.0,0.9870779627583475,0.11156879464644079,0.8364692020536711,1.340296399586892,5451.355460420148,1.001401268095409,0.12698458075342317,0.8364692020536711,1.340296399586892,2727.1475024449906
2,mammography,inne,empirical,5419,2826,5419,2826,2685,141,0.05,0.438,0.064,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,,,,,0.0,,,,,0.0
2,mammography,inne,empirical_randomized,5419,2826,5419,2826,2685,141,0.05,0.438,0.064,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,,,,,0.0,,,,,0.0
2,mammography,inne,empirical_randomized_weighted,5419,2826,5419,2826,2685,141,0.05,0.385,0.057,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,0.9895431695256511,0.11299395370174935,0.8592994445612869,1.3429185623398203,5349.251648339746,1.0042279267434402,0.12720565658990773,0.8592994445612869,1.3429185623398203,2781.372008828292
2,mammography,inne,empirical_weighted,5419,2826,5419,2826,2685,141,0.05,0.273,0.057,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,0.9895431695256511,0.11299395370174935,0.8592994445612869,1.3429185623398203,5349.251648339746,1.0042279267434402,0.12720565658990773,0.8592994445612869,1.3429185623398203,2781.372008828292
2,mammography,inne,probabilistic,5419,2826,5419,2826,2685,141,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,,,,,0.0,,,,,0.0
2,mammography,inne,probabilistic_weighted,5419,2826,5419,2826,2685,141,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5038908724709329,2826,5419,5504,148,1.0,0.0,1.0,1.0,5419.0,1.0,0.0,1.0,1.0,2826.0,0.9895431695256511,0.11299395370174935,0.8592994445612869,1.3429185623398203,5349.251648339746,1.0042279267434402,0.12720565658990773,0.8592994445612869,1.3429185623398203,2781.372008828292
