seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,musk,hbos,empirical,1452,780,1452,780,741,39,0.05,0.071,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,,,,,0.0,,,,,0.0
1,musk,hbos,empirical_randomized,1452,780,1452,780,741,39,0.05,0.071,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,,,,,0.0,,,,,0.0
1,musk,hbos,empirical_randomized_weighted,1452,780,1452,780,741,39,0.05,0.152,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,0.9361494322298926,0.4242504641637963,0.39204356374137117,2.2511125077690686,1204.6012007037407,1.2240336587158651,0.5319926553281177,0.39204356374137117,2.2511125077690686,656.0704123554383
1,musk,hbos,empirical_weighted,1452,780,1452,780,741,39,0.05,0.152,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,0.9361494322298926,0.4242504641637963,0.39204356374137117,2.2511125077690686,1204.6012007037407,1.2240336587158651,0.5319926553281177,0.39204356374137117,2.2511125077690686,656.0704123554383
1,musk,hbos,probabilistic,1452,780,1452,780,741,39,0.05,0.049,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,,,,,0.0,,,,,0.0
1,musk,hbos,probabilistic_weighted,1452,780,1452,780,741,39,0.05,0.071,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5102866779089376,780,1452,1513,48,1.0,0.0,1.0,1.0,1452.0,1.0,0.0,1.0,1.0,780.0,0.9361494322298926,0.4242504641637963,0.39204356374137117,2.2511125077690686,1204.6012007037407,1.2240336587158651,0.5319926553281177,0.39204356374137117,2.2511125077690686,656.0704123554383
2,musk,hbos,empirical,1487,764,1487,764,726,38,0.05,0.026,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4984822934232715,764,1487,1478,51,1.0,0.0,1.0,1.0,1487.0,1.0,0.0,1.0,1.0,764.0,,,,,0.0,,,,,0.0
2,musk,hbos,empirical_randomized,1487,764,1487,764,726,38,0.05,0.026,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4984822934232715,764,1487,1478,51,1.0,0.0,1.0,1.0,1487.0,1.0,0.0,1.0,1.0,764.0,,,,,0.0,,,,,0.0
2,musk,hbos,empirical_randomized_weighted,1487,764,1487,764,726,38,0.05,0.026,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4984822934232715,764,1487,1478,51,1.0,0.0,1.0,1.0,1487.0,1.0,0.0,1.0,1.0,764.0,0.9314425309997906,0.4592104303024561,0.358991940175729,2.2965563209636666,1196.2426828368311,1.2499520064692269,0.5523472230788407,0.358991940175729,2.2965563209636666,639.1856089436046
2,musk,hbos,empirical_weighted,1487,764,1487,764,726,38,0.05,0.026,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4984822934232715,764,1487,1478,51,1.0,0.0,1.0,1.0,1487.0,1.0,0.0,1.0,1.0,764.0,0.9314425309997906,0.4592104303024561,0.358991940175729,2.2965563209636666,1196.2426828368311,1.2499520064692269,0.5523472230788407,0.358991940175729,2.2965563209636666,639.1856089436046
