seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,satellite,hbos,empirical,2185,1624,2185,1624,1543,81,0.05,0.111,0.296,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,,,,,0.0,,,,,0.0
1,satellite,hbos,empirical_randomized,2185,1624,2185,1624,1543,81,0.05,0.103,0.321,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,,,,,0.0,,,,,0.0
1,satellite,hbos,empirical_randomized_weighted,2185,1624,2185,1624,1543,81,0.05,0.103,0.321,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,0.9846067344252759,0.18573454340414816,0.7105813038155279,1.4335095414452457,2109.919751914829,1.0256245160702315,0.19581055900365973,0.7105813038155279,1.4335095414452457,1566.887237047671
1,satellite,hbos,empirical_weighted,2185,1624,2185,1624,1543,81,0.05,0.111,0.296,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,0.9846067344252759,0.18573454340414816,0.7105813038155279,1.4335095414452457,2109.919751914829,1.0256245160702315,0.19581055900365973,0.7105813038155279,1.4335095414452457,1566.887237047671
1,satellite,hbos,probabilistic,2185,1624,2185,1624,1543,81,0.05,0.103,0.321,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,,,,,0.0,,,,,0.0
1,satellite,hbos,probabilistic_weighted,2185,1624,2185,1624,1543,81,0.05,0.103,0.321,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5032962036826552,1624,2185,2214,1033,1.0,0.0,1.0,1.0,2185.0,1.0,0.0,1.0,1.0,1624.0,0.9846067344252759,0.18573454340414816,0.7105813038155279,1.4335095414452457,2109.919751914829,1.0256245160702315,0.19581055900365973,0.7105813038155279,1.4335095414452457,1566.887237047671
2,satellite,hbos,empirical,2180,1615,2180,1615,1534,81,0.05,0.15,0.21,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5044328256421914,1615,2180,2219,1011,1.0,0.0,1.0,1.0,2180.0,1.0,0.0,1.0,1.0,1615.0,,,,,0.0,,,,,0.0
2,satellite,hbos,empirical_randomized,2180,1615,2180,1615,1534,81,0.05,0.15,0.21,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5044328256421914,1615,2180,2219,1011,1.0,0.0,1.0,1.0,2180.0,1.0,0.0,1.0,1.0,1615.0,,,,,0.0,,,,,0.0
2,satellite,hbos,empirical_randomized_weighted,2180,1615,2180,1615,1534,81,0.05,0.15,0.21,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5044328256421914,1615,2180,2219,1011,1.0,0.0,1.0,1.0,2180.0,1.0,0.0,1.0,1.0,1615.0,0.9823281015391329,0.19085511375993877,0.6954747723415268,1.4430448408321785,2100.7025840603137,1.0308103979627803,0.2106836775799525,0.6954747723415268,1.4430448408321785,1550.240529859936
2,satellite,hbos,empirical_weighted,2180,1615,2180,1615,1534,81,0.05,0.15,0.21,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5044328256421914,1615,2180,2219,1011,1.0,0.0,1.0,1.0,2180.0,1.0,0.0,1.0,1.0,1615.0,0.9823281015391329,0.19085511375993877,0.6954747723415268,1.4430448408321785,2100.7025840603137,1.0308103979627803,0.2106836775799525,0.6954747723415268,1.4430448408321785,1550.240529859936
