seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,vowels,inne,empirical,698,366,698,366,348,18,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,,,,,0.0,,,,,0.0
1,vowels,inne,empirical_randomized,698,366,698,366,348,18,0.049,0.0,0.167,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,,,,,0.0,,,,,0.0
1,vowels,inne,empirical_randomized_weighted,698,366,698,366,348,18,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,0.9980236771083896,0.20151506888321755,0.6811626628160306,1.434582558014315,670.6577461799226,1.0488485497390263,0.21401560810965123,0.6811626628160306,1.434582558014315,351.3704629939283
1,vowels,inne,empirical_weighted,698,366,698,366,348,18,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,0.9980236771083896,0.20151506888321755,0.6811626628160306,1.434582558014315,670.6577461799226,1.0488485497390263,0.21401560810965123,0.6811626628160306,1.434582558014315,351.3704629939283
1,vowels,inne,probabilistic,698,366,698,366,348,18,0.049,0.0,0.111,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,,,,,0.0,,,,,0.0
1,vowels,inne,probabilistic_weighted,698,366,698,366,348,18,0.049,0.0,0.111,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5035561877667141,366,698,708,24,1.0,0.0,1.0,1.0,698.0,1.0,0.0,1.0,1.0,366.0,0.9980236771083896,0.20151506888321755,0.6811626628160306,1.434582558014315,670.6577461799226,1.0488485497390263,0.21401560810965123,0.6811626628160306,1.434582558014315,351.3704629939283
2,vowels,inne,empirical,710,360,710,360,342,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4950213371266003,360,710,696,25,1.0,0.0,1.0,1.0,710.0,1.0,0.0,1.0,1.0,360.0,,,,,0.0,,,,,0.0
2,vowels,inne,empirical_randomized,710,360,710,360,342,18,0.05,0.0,0.056,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4950213371266003,360,710,696,25,1.0,0.0,1.0,1.0,710.0,1.0,0.0,1.0,1.0,360.0,,,,,0.0,,,,,0.0
2,vowels,inne,empirical_randomized_weighted,710,360,710,360,342,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4950213371266003,360,710,696,25,1.0,0.0,1.0,1.0,710.0,1.0,0.0,1.0,1.0,360.0,0.9939922683694988,0.2789369216754176,0.5912952415996069,1.6138481818554349,658.1696826085913,1.0796376870322917,0.28877750547719616,0.5912952415996069,1.6138481818554349,335.9639381819509
2,vowels,inne,empirical_weighted,710,360,710,360,342,18,0.05,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4950213371266003,360,710,696,25,1.0,0.0,1.0,1.0,710.0,1.0,0.0,1.0,1.0,360.0,0.9939922683694988,0.2789369216754176,0.5912952415996069,1.6138481818554349,658.1696826085913,1.0796376870322917,0.28877750547719616,0.5912952415996069,1.6138481818554349,335.9639381819509
