seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,wbc,iforest,empirical,109,54,109,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
1,wbc,iforest,empirical_randomized,109,54,109,54,51,3,0.056,0.0,0.333,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
1,wbc,iforest,empirical_randomized_weighted,109,54,109,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,0.9672645470853887,0.5508826267839796,0.5024730242863062,3.3802765463487554,82.3038903951622,1.3481474849845958,0.8696876965313236,0.5024730242863062,3.3802765463487554,38.131503764350995
1,wbc,iforest,empirical_weighted,109,54,109,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,0.9672645470853887,0.5508826267839796,0.5024730242863062,3.3802765463487554,82.3038903951622,1.3481474849845958,0.8696876965313236,0.5024730242863062,3.3802765463487554,38.131503764350995
1,wbc,iforest,probabilistic,109,54,109,54,51,3,0.056,0.0,0.667,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
1,wbc,iforest,probabilistic_weighted,109,54,109,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.48826291079812206,54,109,104,5,1.0,0.0,1.0,1.0,109.0,1.0,0.0,1.0,1.0,54.0,0.9672645470853887,0.5508826267839796,0.5024730242863062,3.3802765463487554,82.3038903951622,1.3481474849845958,0.8696876965313236,0.5024730242863062,3.3802765463487554,38.131503764350995
2,wbc,iforest,empirical,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
2,wbc,iforest,empirical_randomized,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
2,wbc,iforest,empirical_randomized_weighted,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,0.9605313212197453,0.4062746101201144,0.6210998579002809,2.245139102988547,91.61063280487633,1.150021474831369,0.5058485275835592,0.6210998579002809,2.245139102988547,45.245953911019896
2,wbc,iforest,empirical_weighted,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,0.9605313212197453,0.4062746101201144,0.6210998579002809,2.245139102988547,91.61063280487633,1.150021474831369,0.5058485275835592,0.6210998579002809,2.245139102988547,45.245953911019896
2,wbc,iforest,probabilistic,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,,,,,0.0,,,,,0.0
2,wbc,iforest,probabilistic_weighted,108,54,108,54,51,3,0.056,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.49295774647887325,54,108,105,4,1.0,0.0,1.0,1.0,108.0,1.0,0.0,1.0,1.0,54.0,0.9605313212197453,0.4062746101201144,0.6210998579002809,2.245139102988547,91.61063280487633,1.150021474831369,0.5058485275835592,0.6210998579002809,2.245139102988547,45.245953911019896
3,wbc,hbos,empirical,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,,,,,0.0,,,,,0.0
3,wbc,hbos,empirical_randomized,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,,,,,0.0,,,,,0.0
3,wbc,hbos,empirical_randomized_weighted,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,0.9501923480058928,0.6686969738944792,0.4252532874829279,3.921814709301147,75.57200268296226,1.5668649892568183,1.1277281443548555,0.4252532874829279,3.921814709301147,34.91392411528158
3,wbc,hbos,empirical_weighted,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,0.9501923480058928,0.6686969738944792,0.4252532874829279,3.921814709301147,75.57200268296226,1.5668649892568183,1.1277281443548555,0.4252532874829279,3.921814709301147,34.91392411528158
3,wbc,hbos,probabilistic,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,,,,,0.0,,,,,0.0
3,wbc,hbos,probabilistic_weighted,113,53,113,53,50,3,0.057,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4694835680751174,53,113,100,6,1.0,0.0,1.0,1.0,113.0,1.0,0.0,1.0,1.0,53.0,0.9501923480058928,0.6686969738944792,0.4252532874829279,3.921814709301147,75.57200268296226,1.5668649892568183,1.1277281443548555,0.4252532874829279,3.921814709301147,34.91392411528158
4,wbc,iforest,empirical,122,49,122,49,47,2,0.041,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,,,,,0.0,,,,,0.0
4,wbc,iforest,empirical_randomized,122,49,122,49,47,2,0.041,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,,,,,0.0,,,,,0.0
4,wbc,iforest,empirical_randomized_weighted,122,49,122,49,47,2,0.041,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,0.960328878546351,0.30895519212265926,0.5067416030116837,1.6899913552740675,110.55706289578686,1.0775308963839672,0.31908711827223096,0.5067416030116837,1.6899913552740675,45.049525178092026
4,wbc,iforest,empirical_weighted,122,49,122,49,47,2,0.041,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,0.960328878546351,0.30895519212265926,0.5067416030116837,1.6899913552740675,110.55706289578686,1.0775308963839672,0.31908711827223096,0.5067416030116837,1.6899913552740675,45.049525178092026
4,wbc,iforest,probabilistic,122,49,122,49,47,2,0.041,0.0,0.5,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,,,,,0.0,,,,,0.0
4,wbc,iforest,probabilistic_weighted,122,49,122,49,47,2,0.041,0.0,0.5,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4272300469483568,49,122,91,7,1.0,0.0,1.0,1.0,122.0,1.0,0.0,1.0,1.0,49.0,0.960328878546351,0.30895519212265926,0.5067416030116837,1.6899913552740675,110.55706289578686,1.0775308963839672,0.31908711827223096,0.5067416030116837,1.6899913552740675,45.049525178092026
5,wbc,iforest,empirical,102,58,102,58,55,3,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5211267605633803,58,102,111,4,1.0,0.0,1.0,1.0,102.0,1.0,0.0,1.0,1.0,58.0,,,,,0.0,,,,,0.0
5,wbc,iforest,empirical_randomized,102,58,102,58,55,3,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5211267605633803,58,102,111,4,1.0,0.0,1.0,1.0,102.0,1.0,0.0,1.0,1.0,58.0,,,,,0.0,,,,,0.0
5,wbc,iforest,empirical_randomized_weighted,102,58,102,58,55,3,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5211267605633803,58,102,111,4,1.0,0.0,1.0,1.0,102.0,1.0,0.0,1.0,1.0,58.0,0.9818780855266437,0.45962892943521366,0.4458507240404018,2.2087060962470093,83.6662993044606,1.2045725796652786,0.4862944896251801,0.5224907167972944,2.2087060962470093,49.87190599965664
5,wbc,iforest,empirical_weighted,102,58,102,58,55,3,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5211267605633803,58,102,111,4,1.0,0.0,1.0,1.0,102.0,1.0,0.0,1.0,1.0,58.0,0.9818780855266437,0.45962892943521366,0.4458507240404018,2.2087060962470093,83.6662993044606,1.2045725796652786,0.4862944896251801,0.5224907167972944,2.2087060962470093,49.87190599965664
