seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power,severity,weight_mode,target_test_probability,propensity_mean,propensity_std,propensity_min_observed,propensity_max_observed,normal_test_assignment_rate,target_test_size,n_normal_rejection_pool,n_normal_accepted_pool,n_anomaly_accepted_pool,oracle_calib_weight_mean,oracle_calib_weight_std,oracle_calib_weight_min,oracle_calib_weight_max,oracle_calib_weight_ess,oracle_test_weight_mean,oracle_test_weight_std,oracle_test_weight_min,oracle_test_weight_max,oracle_test_weight_ess,used_calib_weight_mean,used_calib_weight_std,used_calib_weight_min,used_calib_weight_max,used_calib_weight_ess,used_test_weight_mean,used_test_weight_std,used_test_weight_min,used_test_weight_max,used_test_weight_ess
1,wdbc,iforest,empirical,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
1,wdbc,iforest,empirical_randomized,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
1,wdbc,iforest,empirical_randomized_weighted,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,0.9416820545583208,0.4405681543771438,0.26608388883041345,2.2207679622542966,140.2920586039476,1.269347975022977,0.5183072141143267,0.26608388883041345,2.2207679622542966,82.2812646981218
1,wdbc,iforest,empirical_weighted,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,0.9416820545583208,0.4405681543771438,0.26608388883041345,2.2207679622542966,140.2920586039476,1.269347975022977,0.5183072141143267,0.26608388883041345,2.2207679622542966,82.2812646981218
1,wdbc,iforest,probabilistic,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
1,wdbc,iforest,probabilistic_weighted,171,96,171,96,91,5,0.052,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5210084033613446,96,171,186,5,1.0,0.0,1.0,1.0,171.0,1.0,0.0,1.0,1.0,96.0,0.9416820545583208,0.4405681543771438,0.26608388883041345,2.2207679622542966,140.2920586039476,1.269347975022977,0.5183072141143267,0.26608388883041345,2.2207679622542966,82.2812646981218
2,wdbc,iforest,empirical,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
2,wdbc,iforest,empirical_randomized,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
2,wdbc,iforest,empirical_randomized_weighted,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,0.9286719015266278,0.5860675990301579,0.34911975673636064,3.201013418620023,120.14900352760344,1.4160483525275998,0.8085355792326558,0.4245111416850725,3.201013418620023,72.39718571179354
2,wdbc,iforest,empirical_weighted,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,0.9286719015266278,0.5860675990301579,0.34911975673636064,3.201013418620023,120.14900352760344,1.4160483525275998,0.8085355792326558,0.4245111416850725,3.201013418620023,72.39718571179354
2,wdbc,iforest,probabilistic,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
2,wdbc,iforest,probabilistic_weighted,168,96,168,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5294117647058824,96,168,189,4,1.0,0.0,1.0,1.0,168.0,1.0,0.0,1.0,1.0,96.0,0.9286719015266278,0.5860675990301579,0.34911975673636064,3.201013418620023,120.14900352760344,1.4160483525275998,0.8085355792326558,0.4245111416850725,3.201013418620023,72.39718571179354
3,wdbc,inne,empirical,184,90,184,90,86,4,0.044,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,,,,,0.0,,,,,0.0
3,wdbc,inne,empirical_randomized,184,90,184,90,86,4,0.044,0.0,1.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,,,,,0.0,,,,,0.0
3,wdbc,inne,empirical_randomized_weighted,184,90,184,90,86,4,0.044,0.0,0.5,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,0.9265750570996658,0.566976677923348,0.29854957740707555,3.085463235821683,133.8738009910503,1.456855948550123,0.8780346411344746,0.37132648081350056,3.085463235821683,66.01933495843934
3,wdbc,inne,empirical_weighted,184,90,184,90,86,4,0.044,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,0.9265750570996658,0.566976677923348,0.29854957740707555,3.085463235821683,133.8738009910503,1.456855948550123,0.8780346411344746,0.37132648081350056,3.085463235821683,66.01933495843934
3,wdbc,inne,probabilistic,184,90,184,90,86,4,0.044,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,,,,,0.0,,,,,0.0
3,wdbc,inne,probabilistic_weighted,184,90,184,90,86,4,0.044,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.484593837535014,90,184,173,6,1.0,0.0,1.0,1.0,184.0,1.0,0.0,1.0,1.0,90.0,0.9265750570996658,0.566976677923348,0.29854957740707555,3.085463235821683,133.8738009910503,1.456855948550123,0.8780346411344746,0.37132648081350056,3.085463235821683,66.01933495843934
4,wdbc,iforest,empirical,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,,,,,0.0,,,,,0.0
4,wdbc,iforest,empirical_randomized,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,,,,,0.0,,,,,0.0
4,wdbc,iforest,empirical_randomized_weighted,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,0.9375151982137777,0.4863107396081439,0.33671874546234626,2.457337145020771,157.5952727945268,1.283284828757173,0.5806547275349181,0.448150846922239,2.457337145020771,68.06482186083676
4,wdbc,iforest,empirical_weighted,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,0.9375151982137777,0.4863107396081439,0.33671874546234626,2.457337145020771,157.5952727945268,1.283284828757173,0.5806547275349181,0.448150846922239,2.457337145020771,68.06482186083676
4,wdbc,iforest,probabilistic,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,,,,,0.0,,,,,0.0
4,wdbc,iforest,probabilistic_weighted,200,82,200,82,78,4,0.049,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.43977591036414565,82,200,157,7,1.0,0.0,1.0,1.0,200.0,1.0,0.0,1.0,1.0,82.0,0.9375151982137777,0.4863107396081439,0.33671874546234626,2.457337145020771,157.5952727945268,1.283284828757173,0.5806547275349181,0.448150846922239,2.457337145020771,68.06482186083676
5,wdbc,inne,empirical,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
5,wdbc,inne,empirical_randomized,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
5,wdbc,inne,empirical_randomized_weighted,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,0.9521562337553009,0.3269087260127595,0.4652047789686286,1.8493946205164946,152.07369820640966,1.1491835770851098,0.4010655827198919,0.4652047789686286,1.8493946205164946,85.57665153329081
5,wdbc,inne,empirical_weighted,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,0.9521562337553009,0.3269087260127595,0.4652047789686286,1.8493946205164946,152.07369820640966,1.1491835770851098,0.4010655827198919,0.4652047789686286,1.8493946205164946,85.57665153329081
5,wdbc,inne,probabilistic,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,,,,,0.0,,,,,0.0
5,wdbc,inne,probabilistic_weighted,170,96,170,96,92,4,0.042,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.5238095238095238,96,170,187,4,1.0,0.0,1.0,1.0,170.0,1.0,0.0,1.0,1.0,96.0,0.9521562337553009,0.3269087260127595,0.4652047789686286,1.8493946205164946,152.07369820640966,1.1491835770851098,0.4010655827198919,0.4652047789686286,1.8493946205164946,85.57665153329081
6,wdbc,iforest,empirical,186,88,186,88,84,4,0.045,0.0,0.0,0.0,estimated,0.5,0.5,0.0,0.5,0.5,0.4789915966386555,88,186,171,6,1.0,0.0,1.0,1.0,186.0,1.0,0.0,1.0,1.0,88.0,,,,,0.0,,,,,0.0
