seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
1,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.111
1,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.111
1,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
1,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
1,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.111
2,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
2,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.111
2,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.111
2,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
2,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
2,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.111
3,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
3,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.056
3,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.167
3,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
3,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
3,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.167
4,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
4,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.167
4,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.167
4,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
4,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
4,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.056
5,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
5,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.056
5,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.056
5,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
5,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
5,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.056
6,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
6,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.333,0.111
6,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.375,0.278
6,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
6,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
6,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.375,0.278
7,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
7,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.111
7,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.056
7,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
7,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
7,vowels,inne,probabilistic_weighted,703,364,703,364,346,18,0.049,0.0,0.056
8,vowels,inne,empirical,703,364,703,364,346,18,0.049,0.0,0.0
8,vowels,inne,empirical_randomized,703,364,703,364,346,18,0.049,0.0,0.278
8,vowels,inne,probabilistic,703,364,703,364,346,18,0.049,0.0,0.278
8,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
