summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,0,2.25,2.4583333333333335,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,0,2.25,2.4583333333333335,2.25,2.4583333333333335,6.0,25.0,0.24
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,1,2.25,2.4583333333333335,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,1,2.25,2.4583333333333335,2.4583333333333335,2.6666666666666665,22.0,25.0,0.88
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,2,2.25,2.4583333333333335,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,2,2.25,2.4583333333333335,2.6666666666666665,2.875,24.0,25.0,0.96
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,3,2.25,2.4583333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,3,2.25,2.4583333333333335,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,4,2.25,2.4583333333333335,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,4,2.25,2.4583333333333335,3.0833333333333335,3.291666666666667,23.0,25.0,0.92
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,5,2.25,2.4583333333333335,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,5,2.25,2.4583333333333335,3.291666666666667,3.5,23.0,25.0,0.92
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,6,2.25,2.4583333333333335,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,6,2.25,2.4583333333333335,3.5,3.7083333333333335,20.0,25.0,0.8
split-v5:unweighted:bh,baseline,0.1,0.1,inf,0,7,2.25,2.4583333333333335,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,0,7,2.25,2.4583333333333335,3.7083333333333335,3.916666666666667,21.0,25.0,0.84
