export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,value,probability,count,style_key,label
tikz-v3,figure1,heatmap_r1_c1,Perfect-score WCS.homo,1,bh_boundary,,baseline,inf,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r1_c1,Perfect-score WCS.homo,2,bh_boundary,,baseline,inf,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r1_c2,Perfect-score WCS.homo,1,bh_boundary,,alpha_005,inf,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r1_c2,Perfect-score WCS.homo,2,bh_boundary,,alpha_005,inf,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r1_c3,Perfect-score WCS.homo,1,bh_boundary,,pi1_001,inf,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r1_c3,Perfect-score WCS.homo,2,bh_boundary,,pi1_001,inf,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c1,Finite-score WCS.homo ($\kappa=3.0$),1,bh_boundary,,baseline,3.0,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c1,Finite-score WCS.homo ($\kappa=3.0$),2,bh_boundary,,baseline,3.0,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c2,Finite-score WCS.homo ($\kappa=3.0$),1,bh_boundary,,alpha_005,3.0,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c2,Finite-score WCS.homo ($\kappa=3.0$),2,bh_boundary,,alpha_005,3.0,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c3,Finite-score WCS.homo ($\kappa=3.0$),1,bh_boundary,,pi1_001,3.0,,2.25,2.25,,,,diagonal_y_equals_x,$1/p=m/\alpha$
tikz-v3,figure1,heatmap_r2_c3,Finite-score WCS.homo ($\kappa=3.0$),2,bh_boundary,,pi1_001,3.0,,4.75,4.75,,,,diagonal_y_equals_x,$1/p=m/\alpha$
