export_version,figure,panel,panel_title,plot_order,point_index,group,method,scenario,kappa,m,x,y,value,probability,count,style_key,label
tikz-v3,figure1,A,Controlled Gaussian shift,1,0,calibration,,,,,0.06405266082454365,-1.0673208685970494,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,1,calibration,,,,,0.8811807472838064,-0.13434912273581223,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,2,calibration,,,,,-1.005044991996705,0.7295574501289628,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,3,calibration,,,,,0.43221306814294985,0.3973971794031827,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,4,calibration,,,,,-0.4230701639776151,-0.6194065970991126,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,5,calibration,,,,,2.3689519435513593,-1.883809077502629,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,6,calibration,,,,,0.6701235254821436,0.9047740838211739,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,7,calibration,,,,,0.6600946654813422,-0.6386213167513475,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,8,calibration,,,,,0.02906098602587147,0.2959835926347244,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,9,calibration,,,,,1.412342846875833,1.2424152767084338,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,10,calibration,,,,,-0.40210081485162114,-0.25159022225351335,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,11,calibration,,,,,-0.2331767851679937,-0.1760875799168799,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,12,calibration,,,,,-0.39574102278774526,2.303196404629368,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,13,calibration,,,,,-1.028743650091263,0.6656267287592021,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,14,calibration,,,,,0.013427160860761744,-1.590471790693832,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,15,calibration,,,,,-0.6450131743824989,0.9751944237110544,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,16,calibration,,,,,0.7480909955510087,-0.9891388879750725,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,17,calibration,,,,,-0.0067975910425118235,-0.9069628558251603,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,18,calibration,,,,,-0.4858302066769078,-1.0107797986742353,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,19,calibration,,,,,-0.8108052689758132,1.2485909558469463,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,20,calibration,,,,,2.5145155396652026,0.4720394867247286,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,21,calibration,,,,,0.4828741732103636,-0.6841841702337953,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,22,calibration,,,,,-1.2185725387706583,0.6353906098127149,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,23,calibration,,,,,1.3523647386111002,0.962973999491157,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,24,calibration,,,,,0.8093176934608314,-0.34666518705471716,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,25,calibration,,,,,0.8079213914760002,-1.101967716307747,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,26,calibration,,,,,-1.0465621064123598,-0.3408903471126309,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,27,calibration,,,,,-0.39306686092224785,-0.24444907212242173,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,28,calibration,,,,,-0.796498619480157,0.5108467925777448,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,29,calibration,,,,,-1.0402712655956914,-0.022634896697165115,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,30,calibration,,,,,1.4370888171764187,0.9357933618895902,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,31,calibration,,,,,0.16674639172878059,-0.06711648774634382,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,32,calibration,,,,,-1.5960358915732755,1.57489867631079,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,33,calibration,,,,,-2.0106925668452886,0.19959849822278317,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,34,calibration,,,,,-2.0998908417923094,0.2002282473170717,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,35,calibration,,,,,-1.4902456072789596,0.22299268804976824,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,36,calibration,,,,,0.17118018434848503,-0.6611176162468005,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,37,calibration,,,,,-0.30355924607177515,-0.537686368646485,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,38,calibration,,,,,1.7381201148461565,0.568295242817151,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,39,calibration,,,,,-0.9092547413008397,-0.46425381254739884,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,40,calibration,,,,,0.19210103793809327,-0.4390067466303139,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,41,calibration,,,,,0.03710844505994953,-0.5838838876183806,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,42,calibration,,,,,-0.7272140008031671,1.229514723290399,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,43,calibration,,,,,0.3081248127411394,-0.7030769892475728,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,44,calibration,,,,,0.49404666079530996,1.2437045893380996,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,45,calibration,,,,,0.16189555798682922,-1.9610450376812585,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,46,calibration,,,,,0.3006815749252281,0.42755321141002384,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,47,calibration,,,,,-0.16309388641025716,-0.895795296341327,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,48,calibration,,,,,0.14656847370732634,-0.6938414056498663,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,49,calibration,,,,,-0.6199061040201339,-1.4590069779838697,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,50,calibration,,,,,-1.6747015108408332,-0.8689197162013461,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,51,calibration,,,,,-0.24618355554843738,0.5606960388678209,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,52,calibration,,,,,0.15598521796200318,1.1060155679798875,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,53,calibration,,,,,0.5242070415710478,0.8619434238121311,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,54,calibration,,,,,0.6164131478351316,0.14605580455382564,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,55,calibration,,,,,0.07094803956776886,0.05654036237930678,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,56,calibration,,,,,-0.44027802010400996,1.312598789430686,,,,calibration,$P_0$ calibration
tikz-v3,figure1,A,Controlled Gaussian shift,1,57,calibration,,,,,-0.18737619878134257,0.726413539132887,,,,calibration,$P_0$ calibration
