export_version,figure,panel,panel_title,plot_order,point_index,group,method,scenario,kappa,m,x,y,value,probability,count,style_key,label
tikz-v2,figure2,A,Perfect score separation,1,0,calibration,,,,,0.2524835970042079,0.22152212384278444,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,1,calibration,,,,,-0.7481429031685255,0.20625636584781076,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,2,calibration,,,,,-0.897462069401389,0.20587974760150307,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,3,calibration,,,,,-2.2087091891952735,0.20669119575356487,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,4,calibration,,,,,-0.17700370556696687,0.24705805804814512,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,5,calibration,,,,,-0.5625300791693095,0.20199416080766683,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,6,calibration,,,,,-0.18293147965943649,0.22258963505727042,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,7,calibration,,,,,0.27743045821917267,0.17207590731010264,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,8,calibration,,,,,-0.16640728057544651,0.2378962021888913,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,9,calibration,,,,,0.08794305964162226,0.22935802405740674,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,10,calibration,,,,,-0.3526516370694536,0.21247098019810418,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,11,calibration,,,,,1.5019643701533483,0.23635171165396324,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,12,calibration,,,,,1.1773399051067108,0.2165132050287956,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,13,calibration,,,,,-0.9815835393336428,0.22511399439319832,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,14,calibration,,,,,-0.23209560546334893,0.20497789733687982,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,15,calibration,,,,,1.3743357239373493,0.18167390474848683,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,16,calibration,,,,,-0.3280718316565864,0.19892864195067353,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,17,calibration,,,,,1.8210399978047187,0.19761438092568887,,,,calibration,calibration scores
tikz-v2,figure2,A,Perfect score separation,1,18,calibration,,,,,-0.468244450051365,0.1465768256963858,,,,calibration,calibration scores
