export_version,figure,panel,panel_title,plot_order,point_index,group,method,scenario,kappa,m,x,y,value,probability,count,style_key,label
tikz-v2,figure2,C,Detectability ratio calibration,1,0,detectability_curve,exact_wedf,baseline,,,-2.2770987608197286,1.0,1.0,1.0,100,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,1,detectability_curve,exact_wedf,baseline,,,-2.070229947802018,1.0,1.0,1.0,200,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,2,detectability_curve,exact_wedf,baseline,,,-1.8643018080813352,1.0,1.0,1.0,300,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,3,detectability_curve,exact_wedf,baseline,,,-1.6669221927636653,1.0,1.0,1.0,100,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,4,detectability_curve,exact_wedf,baseline,,,-1.655566043722013,1.0,1.0,1.0,300,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,5,detectability_curve,exact_wedf,baseline,,,-1.452523752048961,1.0,1.0,1.0,500,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,6,detectability_curve,exact_wedf,baseline,,,-1.2396020709378845,1.0,1.0,1.0,600,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,7,detectability_curve,exact_wedf,baseline,,,-1.0397557161599453,1.0,1.0,1.0,700,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,8,detectability_curve,exact_wedf,baseline,,,-0.838982660772412,1.0,1.0,1.0,200,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,9,detectability_curve,exact_wedf,baseline,,,-0.8269388747107224,1.0,1.0,1.0,600,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,10,detectability_curve,exact_wedf,baseline,,,-0.623343309278808,1.0,1.0,1.0,900,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,11,detectability_curve,exact_wedf,baseline,,,-0.4167129017865513,1.0,1.0,1.0,1000,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,12,detectability_curve,exact_wedf,baseline,,,-0.20281872632188902,1.0,1.0,1.0,1100,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,13,detectability_curve,exact_wedf,baseline,,,-0.006257678177795924,0.8728571428571429,0.8728571428571429,0.8728571428571429,700,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,14,detectability_curve,exact_wedf,baseline,,,0.011679853430204393,0.74,0.74,0.74,500,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,15,detectability_curve,exact_wedf,baseline,,,0.20570503679849686,0.57,0.57,0.57,1100,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,16,detectability_curve,exact_wedf,baseline,,,0.4170240531140115,0.369,0.369,0.369,1000,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,17,detectability_curve,exact_wedf,baseline,,,0.6279918509235864,0.23444444444444446,0.23444444444444446,0.23444444444444446,900,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,18,detectability_curve,exact_wedf,baseline,,,0.8228494682625971,0.21,0.21,0.21,300,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,19,detectability_curve,exact_wedf,baseline,,,0.8366211781194857,0.138,0.138,0.138,500,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,20,detectability_curve,exact_wedf,baseline,,,1.043887818076524,0.11428571428571428,0.11428571428571428,0.11428571428571428,700,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,21,detectability_curve,exact_wedf,baseline,,,1.2498836438632743,0.06166666666666667,0.06166666666666667,0.06166666666666667,600,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,22,detectability_curve,exact_wedf,baseline,,,1.4652816576702277,0.036,0.036,0.036,500,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,23,detectability_curve,exact_wedf,baseline,,,1.6639458107687914,0.005,0.005,0.005,400,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,24,detectability_curve,exact_wedf,baseline,,,1.8804391566166627,0.0,0.0,0.0,300,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,25,detectability_curve,exact_wedf,baseline,,,2.0868956873011317,0.0,0.0,0.0,200,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,1,26,detectability_curve,exact_wedf,baseline,,,2.2976147487268226,0.0,0.0,0.0,100,exact_wedf,Exact WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,0,detectability_curve,randomized_wedf,baseline,,,-2.2770987608197286,1.0,1.0,1.0,100,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,1,detectability_curve,randomized_wedf,baseline,,,-2.070229947802018,1.0,1.0,1.0,200,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,2,detectability_curve,randomized_wedf,baseline,,,-1.8643018080813352,1.0,1.0,1.0,300,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,3,detectability_curve,randomized_wedf,baseline,,,-1.6669221927636653,1.0,1.0,1.0,100,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,4,detectability_curve,randomized_wedf,baseline,,,-1.655566043722013,1.0,1.0,1.0,300,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,5,detectability_curve,randomized_wedf,baseline,,,-1.452523752048961,1.0,1.0,1.0,500,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,6,detectability_curve,randomized_wedf,baseline,,,-1.2396020709378845,1.0,1.0,1.0,600,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,7,detectability_curve,randomized_wedf,baseline,,,-1.0397557161599453,1.0,1.0,1.0,700,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,8,detectability_curve,randomized_wedf,baseline,,,-0.838982660772412,1.0,1.0,1.0,200,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,9,detectability_curve,randomized_wedf,baseline,,,-0.8269388747107224,1.0,1.0,1.0,600,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,10,detectability_curve,randomized_wedf,baseline,,,-0.623343309278808,1.0,1.0,1.0,900,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,11,detectability_curve,randomized_wedf,baseline,,,-0.4167129017865513,1.0,1.0,1.0,1000,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,12,detectability_curve,randomized_wedf,baseline,,,-0.20281872632188902,1.0,1.0,1.0,1100,randomized_wedf,Randomized WEDF
tikz-v2,figure2,C,Detectability ratio calibration,2,13,detectability_curve,randomized_wedf,baseline,,,-0.006257678177795924,0.9985714285714286,0.9985714285714286,0.9985714285714286,700,randomized_wedf,Randomized WEDF
