summary_version,world_id,rho,world_seed,discoveries,theorem_probability,observed_probability,observed_count,n_randomizations
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,0,0.49900000000000166,0.50075,10015,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,1,0.1657148289466804,0.1659,3318,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,2,0.10766397850894104,0.10735,2147,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,3,0.07651603249923576,0.07595,1519,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,4,0.05524266688931819,0.05305,1061,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,5,0.039140492511542176,0.03955,791,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,6,0.02645029875778349,0.0276,552,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,7,0.016471113451742434,0.0157,314,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,8,0.008959970235502454,0.009,180,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,9,0.0038443477272130963,0.00385,77,20000
randomized-instability-frontier-v2,rho_0000_seed_000,0.0,0,10,0.000996270472039504,0.0013,26,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,0,0.49900000000000166,0.49745,9949,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,1,0.1657148289466804,0.1642,3284,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,2,0.10766397850894104,0.1076,2152,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,3,0.07651603249923576,0.07745,1549,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,4,0.05524266688931819,0.0583,1166,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,5,0.039140492511542176,0.0379,758,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,6,0.02645029875778349,0.0261,522,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,7,0.016471113451742434,0.01635,327,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,8,0.008959970235502454,0.0092,184,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,9,0.0038443477272130963,0.0044,88,20000
randomized-instability-frontier-v2,rho_0000_seed_001,0.0,1,10,0.000996270472039504,0.00105,21,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,0,0.49900000000000166,0.4978,9956,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,1,0.1657148289466804,0.16825,3365,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,2,0.10766397850894104,0.10495,2099,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,3,0.07651603249923576,0.078,1560,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,4,0.05524266688931819,0.05605,1121,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,5,0.039140492511542176,0.03835,767,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,6,0.02645029875778349,0.0273,546,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,7,0.016471113451742434,0.01675,335,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,8,0.008959970235502454,0.0081,162,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,9,0.0038443477272130963,0.0035,70,20000
randomized-instability-frontier-v2,rho_0000_seed_002,0.0,2,10,0.000996270472039504,0.00095,19,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,0,0.49900000000000166,0.49945,9989,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,1,0.1657148289466804,0.168,3360,20000
randomized-instability-frontier-v2,rho_0000_seed_003,0.0,3,2,0.10766397850894104,0.10425,2085,20000
