summary_version,dataset,severity,approach,alpha,m_mean,actual_anomaly_rate_mean,power_mean,fdr_mean,calib_neff_mean,p_floor_proxy_mean,log10_m_over_alpha,log10_inverse_p_floor_proxy,approx_log10_rank_delta,certified_proxy_rate,count
empirical-projection-v1,breastw,0.0,empirical,0.1,122.8,0.04932,0.0,0.0,107.52,0.009249703421453606,3.0890049978534693,2.0346913772926287,0.27348449859197244,1.0,25
empirical-projection-v1,breastw,0.0,empirical_randomized,0.1,122.8,0.04932,0.044800000000000006,0.12,107.52,0.009249703421453606,3.0890049978534693,2.0346913772926287,0.27348449859197244,1.0,25
empirical-projection-v1,breastw,0.0,empirical_randomized_weighted,0.1,122.8,0.04932,0.01336,0.0,49.70501898007679,0.022283254699948348,3.0890049978534693,1.673630033383618,0.6345458425009832,1.0,25
empirical-projection-v1,breastw,0.0,empirical_weighted,0.1,122.8,0.04932,0.0,0.0,49.70501898007679,0.022283254699948348,3.0890049978534693,1.673630033383618,0.6345458425009832,1.0,25
empirical-projection-v1,breastw,0.5,empirical_randomized_weighted,0.1,131.0,0.049,0.011439999999999999,0.04,47.18536946731631,0.034753132962523456,3.1170561921766398,1.494677807682022,0.8147705466735043,1.0,25
empirical-projection-v1,breastw,0.5,empirical_weighted,0.1,131.0,0.049,0.0,0.0,47.18536946731631,0.034753132962523456,3.1170561921766398,1.494677807682022,0.8147705466735043,1.0,25
empirical-projection-v1,breastw,1.0,empirical_randomized_weighted,0.1,130.92,0.04939999999999999,0.011439999999999999,0.04,45.98693919820891,0.03948727949234103,3.116775140356671,1.461077678120684,0.8454117528296484,1.0,25
empirical-projection-v1,breastw,1.0,empirical_weighted,0.1,130.92,0.04939999999999999,0.0,0.0,45.98693919820891,0.03948727949234103,3.116775140356671,1.461077678120684,0.8454117528296484,1.0,25
empirical-projection-v1,breastw,4.0,empirical_randomized_weighted,0.1,131.04,0.04968,0.022879999999999998,0.04,42.859429907038,0.04053739122678028,3.117194047135882,1.4254373689589017,0.8787930971854178,1.0,25
empirical-projection-v1,breastw,4.0,empirical_weighted,0.1,131.04,0.04968,0.0,0.0,42.859429907038,0.04053739122678028,3.117194047135882,1.4254373689589017,0.8787930971854178,1.0,25
empirical-projection-v1,breastw,16.0,empirical_randomized_weighted,0.1,130.88,0.04936,0.0,0.0,41.951930423394536,0.040474671289054825,3.116673946880965,1.433063111364418,0.8733251261102091,1.0,25
empirical-projection-v1,breastw,16.0,empirical_weighted,0.1,130.88,0.04936,0.0,0.0,41.951930423394536,0.040474671289054825,3.116673946880965,1.433063111364418,0.8733251261102091,1.0,25
empirical-projection-v1,cardio,0.0,empirical,0.1,329.24,0.0496,0.0,0.0,397.44,0.0025136901497140184,3.517404920716244,2.6000274001355037,-0.29622088001523006,0.0,25
empirical-projection-v1,cardio,0.0,empirical_randomized,0.1,329.24,0.0496,0.03144,0.22116,397.44,0.0025136901497140184,3.517404920716244,2.6000274001355037,-0.29622088001523006,0.0,25
empirical-projection-v1,cardio,0.0,empirical_randomized_weighted,0.1,329.24,0.0496,0.004719999999999999,0.15,186.49059299891945,0.006255783905277242,3.517404920716244,2.2063016251141065,0.09750489500616707,1.0,25
empirical-projection-v1,cardio,0.0,empirical_weighted,0.1,329.24,0.0496,0.0,0.0,186.49059299891945,0.006255783905277242,3.517404920716244,2.2063016251141065,0.09750489500616707,1.0,25
empirical-projection-v1,cardio,0.5,empirical_randomized_weighted,0.1,323.84,0.04952,0.0074399999999999996,0.02,169.25528566213737,0.00801748587548068,3.5102120965488712,2.1072375958033147,0.19786935193585356,1.0,25
empirical-projection-v1,cardio,0.5,empirical_weighted,0.1,323.84,0.04952,0.0,0.0,169.25528566213737,0.00801748587548068,3.5102120965488712,2.1072375958033147,0.19786935193585356,1.0,25
empirical-projection-v1,cardio,1.0,empirical_randomized_weighted,0.1,322.6,0.04952,0.00496,0.04,159.28631205068254,0.008542152814371755,3.5085624106527735,2.0759620656445366,0.22861634514254373,1.0,25
empirical-projection-v1,cardio,1.0,empirical_weighted,0.1,322.6,0.04952,0.0,0.0,159.28631205068254,0.008542152814371755,3.5085624106527735,2.0759620656445366,0.22861634514254373,1.0,25
empirical-projection-v1,cardio,4.0,empirical_randomized_weighted,0.1,322.12,0.04984,0.00996,0.08,154.58969454177966,0.00866585846595832,3.5078957819572274,2.0670396919712157,0.23575094117630846,1.0,25
empirical-projection-v1,cardio,4.0,empirical_weighted,0.1,322.12,0.04984,0.0,0.0,154.58969454177966,0.00866585846595832,3.5078957819572274,2.0670396919712157,0.23575094117630846,1.0,25
empirical-projection-v1,cardio,16.0,empirical_randomized_weighted,0.1,321.68,0.050039999999999994,0.0074399999999999996,0.04,153.62533573453612,0.009130177269316631,3.507303044792014,2.0484074117267217,0.2527373267066948,1.0,25
empirical-projection-v1,cardio,16.0,empirical_weighted,0.1,321.68,0.050039999999999994,0.0,0.0,153.62533573453612,0.009130177269316631,3.507303044792014,2.0484074117267217,0.2527373267066948,1.0,25
empirical-projection-v1,ionosphere,0.0,empirical,0.1,62.84,0.0484,0.0,0.0,54.96,0.018025982736874842,2.797624306644816,1.7460206223376324,0.5694848801231889,1.0,25
empirical-projection-v1,ionosphere,0.0,empirical_randomized,0.1,62.84,0.0484,0.06668,0.14,54.96,0.018025982736874842,2.797624306644816,1.7460206223376324,0.5694848801231889,1.0,25
empirical-projection-v1,ionosphere,0.0,empirical_randomized_weighted,0.1,62.84,0.0484,0.026680000000000002,0.12,24.21136641989951,0.07582447105113516,2.797624306644816,1.1514608139237692,1.164044688537052,1.0,25
empirical-projection-v1,ionosphere,0.0,empirical_weighted,0.1,62.84,0.0484,0.0,0.0,24.21136641989951,0.07582447105113516,2.797624306644816,1.1514608139237692,1.164044688537052,1.0,25
empirical-projection-v1,ionosphere,0.5,empirical_randomized_weighted,0.1,61.88,0.04932,0.06663999999999999,0.07,22.2106581396176,0.10093471110324848,2.790777793558436,1.0368262846567873,1.2718327047176545,1.0,25
empirical-projection-v1,ionosphere,0.5,empirical_weighted,0.1,61.88,0.04932,0.0,0.0,22.2106581396176,0.10093471110324848,2.790777793558436,1.0368262846567873,1.2718327047176545,1.0,25
empirical-projection-v1,ionosphere,1.0,empirical_randomized_weighted,0.1,62.28,0.04836,0.0,0.04,20.155946567363323,0.11212813866282562,2.793649502903601,0.9788871324777828,1.3376411157061556,1.0,25
empirical-projection-v1,ionosphere,1.0,empirical_weighted,0.1,62.28,0.04836,0.0,0.0,20.155946567363323,0.11212813866282562,2.793649502903601,0.9788871324777828,1.3376411157061556,1.0,25
empirical-projection-v1,ionosphere,4.0,empirical_randomized_weighted,0.1,64.68,0.04828,0.023319999999999997,0.06,19.6071712331199,0.13518813299090543,2.8096235141056907,0.9327838332573195,1.3847257777357127,1.0,25
empirical-projection-v1,ionosphere,4.0,empirical_weighted,0.1,64.68,0.04828,0.0,0.0,19.6071712331199,0.13518813299090543,2.8096235141056907,0.9327838332573195,1.3847257777357127,1.0,25
empirical-projection-v1,ionosphere,16.0,empirical_randomized_weighted,0.1,64.68,0.04828,0.023319999999999997,0.06,20.104873772942423,0.13337179507744928,2.809479293328593,0.9445466586916842,1.3728187315242502,1.0,25
empirical-projection-v1,ionosphere,16.0,empirical_weighted,0.1,64.68,0.04828,0.0,0.0,20.104873772942423,0.13337179507744928,2.809479293328593,0.9445466586916842,1.3728187315242502,1.0,25
empirical-projection-v1,mammography,0.0,empirical,0.1,2010.84,0.04612,0.00764,0.01,2625.56,0.0003808086703291491,4.303358943966954,3.419340296986866,-1.0833462317300526,0.0,25
empirical-projection-v1,mammography,0.0,empirical_randomized,0.1,2010.84,0.04612,0.02204,0.11188000000000001,2625.56,0.0003808086703291491,4.303358943966954,3.419340296986866,-1.0833462317300526,0.0,25
empirical-projection-v1,mammography,0.0,empirical_randomized_weighted,0.1,2010.84,0.04612,0.009640000000000001,0.07688,1296.6366634607361,0.0005699092353661553,4.303358943966954,3.246286972873356,-0.9102929076165438,0.0,25
empirical-projection-v1,mammography,0.0,empirical_weighted,0.1,2010.84,0.04612,0.0,0.0,1296.6366634607361,0.0005699092353661553,4.303358943966954,3.246286972873356,-0.9102929076165438,0.0,25
empirical-projection-v1,mammography,0.5,empirical_randomized_weighted,0.1,2019.16,0.04988000000000001,0.00596,0.01944,1120.8636601831938,0.0008616817630420632,4.305158016934539,3.0658489475530075,-0.7637798701449933,0.0,25
empirical-projection-v1,mammography,0.5,empirical_weighted,0.1,2019.16,0.04988000000000001,0.0,0.0,1120.8636601831938,0.0008616817630420632,4.305158016934539,3.0658489475530075,-0.7637798701449933,0.0,25
empirical-projection-v1,mammography,1.0,empirical_randomized_weighted,0.1,2018.16,0.04992,0.002,0.036000000000000004,1091.1317683458542,0.0008671815935760043,4.30494539304973,3.062636543376418,-0.7607853026902437,0.0,25
empirical-projection-v1,mammography,1.0,empirical_weighted,0.1,2018.16,0.04992,0.0,0.0,1091.1317683458542,0.0008671815935760043,4.30494539304973,3.062636543376418,-0.7607853026902437,0.0,25
empirical-projection-v1,mammography,4.0,empirical_randomized_weighted,0.1,2021.64,0.04988000000000001,0.0012,0.06,1015.0195166194998,0.0008579311284430159,4.305694660163577,3.0674491727871414,-0.765709392535354,0.0,25
empirical-projection-v1,mammography,4.0,empirical_weighted,0.1,2021.64,0.04988000000000001,0.0,0.0,1015.0195166194998,0.0008579311284430159,4.305694660163577,3.0674491727871414,-0.765709392535354,0.0,25
empirical-projection-v1,mammography,16.0,empirical_randomized_weighted,0.1,2022.44,0.04992,0.005560000000000001,0.08332,974.6203726742726,0.0008571126172480134,4.305866842993442,3.0683610359807925,-0.7666255767547496,0.0,25
empirical-projection-v1,mammography,16.0,empirical_weighted,0.1,2022.44,0.04992,0.0,0.0,974.6203726742726,0.0008571126172480134,4.305866842993442,3.0683610359807925,-0.7666255767547496,0.0,25
empirical-projection-v1,musk,0.0,empirical,0.1,550.36,0.05008,1.0,0.05196,713.92,0.0013999740529176629,3.7405708685891295,2.8540687295539438,-0.5529016831981154,0.0,25
empirical-projection-v1,musk,0.0,empirical_randomized,0.1,550.36,0.05008,1.0,0.0726,713.92,0.0013999740529176629,3.7405708685891295,2.8540687295539438,-0.5529016831981154,0.0,25
empirical-projection-v1,musk,0.0,empirical_randomized_weighted,0.1,550.36,0.05008,0.20704,0.07468,340.10452800710283,0.0030745953269806325,3.7405708685891295,2.514607424365951,-0.21344037801012256,0.0,25
empirical-projection-v1,musk,0.0,empirical_weighted,0.1,550.36,0.05008,0.04,0.004,340.10452800710283,0.0030745953269806325,3.7405708685891295,2.514607424365951,-0.21344037801012256,0.0,25
empirical-projection-v1,musk,0.5,empirical_randomized_weighted,0.1,551.24,0.05004,0.06359999999999999,0.03956,290.92855268019423,0.005455689916515759,3.74126344578202,2.274039603177456,0.027061306808224397,0.52,25
empirical-projection-v1,musk,0.5,empirical_weighted,0.1,551.24,0.05004,0.0,0.0,290.92855268019423,0.005455689916515759,3.74126344578202,2.274039603177456,0.027061306808224397,0.52,25
empirical-projection-v1,musk,1.0,empirical_randomized_weighted,0.1,552.96,0.050120000000000005,0.09119999999999999,0.0848,286.8085670614258,0.0051944436707098305,3.742615103580978,2.2900080185058673,0.009939638554513568,0.52,25
empirical-projection-v1,musk,1.0,empirical_weighted,0.1,552.96,0.050120000000000005,0.0,0.0,286.8085670614258,0.0051944436707098305,3.742615103580978,2.2900080185058673,0.009939638554513568,0.52,25
empirical-projection-v1,musk,4.0,empirical_randomized_weighted,0.1,553.32,0.049960000000000004,0.11203999999999999,0.11388,272.09625783521886,0.004814717540023278,3.7429214841322676,2.3243333956278995,-0.022861834626828142,0.32,25
empirical-projection-v1,musk,4.0,empirical_weighted,0.1,553.32,0.049960000000000004,0.04,0.008239999999999999,272.09625783521886,0.004814717540023278,3.7429214841322676,2.3243333956278995,-0.022861834626828142,0.32,25
empirical-projection-v1,musk,16.0,empirical_randomized_weighted,0.1,554.8,0.05,0.09496,0.047720000000000005,268.95848178803584,0.00483157399827356,3.744078328160484,2.322630424489392,-0.0218751594970318,0.4,25
empirical-projection-v1,musk,16.0,empirical_weighted,0.1,554.8,0.05,0.0,0.0,268.95848178803584,0.00483157399827356,3.744078328160484,2.322630424489392,-0.0218751594970318,0.4,25
empirical-projection-v1,satellite,0.0,empirical,0.1,1158.76,0.05,0.1516,0.0692,1058.56,0.000944474074972799,4.063935465431172,3.024967782328783,-0.7240963718348342,0.0,25
