export_version,figure,panel,panel_title,plot_order,group,object_type,score_regime,sweep,x,y,x_end,y_end,value,style_key,label
tikz-v1,figure5,power_atlas_r1_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,101,default_setting_marker,point,perfect,m_fixed_pi,3.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r1_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,101,contour_reference,contour_level,perfect,m_fixed_pi,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r1_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,101,contour_reference,contour_level,perfect,m_fixed_pi,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r2_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,201,default_setting_marker,point,finite,m_fixed_pi,3.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r2_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,201,contour_reference,contour_level,finite,m_fixed_pi,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r2_c1,$N_{eff}$ by $m$; fixed $\pi_1=0.05$,201,contour_reference,contour_level,finite,m_fixed_pi,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r1_c2,$N_{eff}$ by $m$; fixed 10 anomalies,102,default_setting_marker,point,perfect,m_fixed_count,3.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r1_c2,$N_{eff}$ by $m$; fixed 10 anomalies,102,contour_reference,contour_level,perfect,m_fixed_count,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r1_c2,$N_{eff}$ by $m$; fixed 10 anomalies,102,contour_reference,contour_level,perfect,m_fixed_count,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r2_c2,$N_{eff}$ by $m$; fixed 10 anomalies,202,default_setting_marker,point,finite,m_fixed_count,3.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r2_c2,$N_{eff}$ by $m$; fixed 10 anomalies,202,contour_reference,contour_level,finite,m_fixed_count,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r2_c2,$N_{eff}$ by $m$; fixed 10 anomalies,202,contour_reference,contour_level,finite,m_fixed_count,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r1_c3,$N_{eff}$ by anomaly rate,103,default_setting_marker,point,perfect,pi1_sweep,-1.3010299956639813,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r1_c3,$N_{eff}$ by anomaly rate,103,contour_reference,contour_level,perfect,pi1_sweep,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r1_c3,$N_{eff}$ by anomaly rate,103,contour_reference,contour_level,perfect,pi1_sweep,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r2_c3,$N_{eff}$ by anomaly rate,203,default_setting_marker,point,finite,pi1_sweep,-1.3010299956639813,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r2_c3,$N_{eff}$ by anomaly rate,203,contour_reference,contour_level,finite,pi1_sweep,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r2_c3,$N_{eff}$ by anomaly rate,203,contour_reference,contour_level,finite,pi1_sweep,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r1_c4,$N_{eff}$ by FDR level,104,default_setting_marker,point,perfect,alpha_sweep,-1.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r1_c4,$N_{eff}$ by FDR level,104,contour_reference,contour_level,perfect,alpha_sweep,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r1_c4,$N_{eff}$ by FDR level,104,contour_reference,contour_level,perfect,alpha_sweep,,,,,0.8,power_target,80% power contour
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,204,default_setting_marker,point,finite,alpha_sweep,-1.0,2.6989700043360187,,,,default_setting,default empirical-benchmark scale
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,204,contour_reference,contour_level,finite,alpha_sweep,,,,,0.0,median_log10_rank_delta_zero,rank-aware boundary
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,204,contour_reference,contour_level,finite,alpha_sweep,,,,,0.8,power_target,80% power contour
