export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.4,-2.1989700043360187,-1.8010299956639813,1.3,1.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.9208187539523751,0.99,0.7531736842105263,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.6,-2.1989700043360187,-1.8010299956639813,1.5,1.7000000000000002,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.7157968819354088,1.0,0.7548305263157896,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.8000000000000003,-2.1989700043360187,-1.8010299956639813,1.7000000000000002,1.9000000000000001,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.5333866137610568,0.98,0.7620345263157893,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.0,-2.1989700043360187,-1.8010299956639813,1.9000000000000001,2.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.3419886033428876,0.99,0.7640762105263158,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.2,-2.1989700043360187,-1.8010299956639813,2.1,2.3000000000000003,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.108212686209017,0.99,0.7634016842105263,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.4000000000000004,-2.1989700043360187,-1.8010299956639813,2.3000000000000003,2.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.9426275092366996,1.0,0.7560225263157894,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.6,-2.1989700043360187,-1.8010299956639813,2.5,2.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.7221236204592116,0.97,0.758153052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.8000000000000003,-2.1989700043360187,-1.8010299956639813,2.7,2.9000000000000004,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.5003129173815962,0.95,0.7553745263157894,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.0000000000000004,-2.1989700043360187,-1.8010299956639813,2.9000000000000004,3.1000000000000005,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.3463052046849182,0.97,0.7606863157894738,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.2000000000000006,-2.1989700043360187,-1.8010299956639813,3.1000000000000005,3.3000000000000007,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.1466060225493342,0.93,0.7579993684210525,100,finite_k1_alpha_sweep,statistical power
