summary_version,score_regime,alpha,m,pi1,power_target,status,required_log10_neff,required_neff,max_power,min_certified_no_rank_rate,count
required-ess-v1,finite,0.05,50,0.005,0.8,out_of_range,,,0.49,0.01,1200
required-ess-v1,finite,0.05,50,0.01,0.8,out_of_range,,,0.44,0.03,1200
required-ess-v1,finite,0.05,50,0.02,0.8,out_of_range,,,0.47,0.0,1200
required-ess-v1,finite,0.05,50,0.05,0.8,out_of_range,,,0.5,0.0,1200
required-ess-v1,finite,0.05,50,0.1,0.8,out_of_range,,,0.6199999999999999,0.0,1200
required-ess-v1,finite,0.05,50,0.2,0.8,out_of_range,,,0.718,0.0,1200
required-ess-v1,finite,0.05,100,0.005,0.8,out_of_range,,,0.39,0.06,1200
required-ess-v1,finite,0.05,100,0.01,0.8,out_of_range,,,0.33,0.02,1200
required-ess-v1,finite,0.05,100,0.02,0.8,out_of_range,,,0.39,0.0,1200
required-ess-v1,finite,0.05,100,0.05,0.8,out_of_range,,,0.5,0.0,1200
required-ess-v1,finite,0.05,100,0.1,0.8,out_of_range,,,0.585,0.0,1200
required-ess-v1,finite,0.05,100,0.2,0.8,out_of_range,,,0.7025,0.0,1200
required-ess-v1,finite,0.05,200,0.005,0.8,out_of_range,,,0.09,0.61,1200
required-ess-v1,finite,0.05,200,0.01,0.8,out_of_range,,,0.21,0.05,1200
required-ess-v1,finite,0.05,200,0.02,0.8,out_of_range,,,0.2975,0.0,1200
required-ess-v1,finite,0.05,200,0.05,0.8,out_of_range,,,0.495,0.0,1200
required-ess-v1,finite,0.05,200,0.1,0.8,out_of_range,,,0.591,0.0,1200
required-ess-v1,finite,0.05,200,0.2,0.8,out_of_range,,,0.71625,0.0,1200
required-ess-v1,finite,0.05,500,0.005,0.8,out_of_range,,,0.025,0.83,1200
required-ess-v1,finite,0.05,500,0.01,0.8,out_of_range,,,0.1,0.06,1200
required-ess-v1,finite,0.05,500,0.02,0.8,out_of_range,,,0.21400000000000002,0.0,1200
required-ess-v1,finite,0.05,500,0.05,0.8,out_of_range,,,0.4424,0.0,1200
required-ess-v1,finite,0.05,500,0.1,0.8,out_of_range,,,0.6065999999999999,0.0,1200
