seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,cardio,iforest,mean,0.669295745294294,0.9443928151630916,0.0994935894485299,False
1,cardio,loda,mean,0.6797951021655992,0.9378287540405524,0.0709572069235676,False
1,cardio,inne,mean,0.7521868401493015,0.9636460476050543,0.2488090722325252,True
1,cardio,hbos,mean,0.5617616246240013,0.842602115780194,0.1283746589004473,False
2,cardio,iforest,mean,0.6872764395486581,0.9388462386129884,0.1057738732442095,True
2,cardio,loda,mean,0.6421114841925847,0.8998953129591536,0.0748803816500671,False
2,cardio,inne,mean,0.6581405004655099,0.939643329415222,0.2472669443867697,False
2,cardio,hbos,mean,0.4972358512529646,0.8306824860417279,0.1408531332062874,False
3,cardio,iforest,mean,0.7622212287004242,0.9644743608580664,0.0869517400185874,True
3,cardio,loda,mean,0.6247738440725689,0.9162595503967088,0.0699980844507186,False
3,cardio,inne,mean,0.7520118657894392,0.967471716132824,0.2481119775852422,False
3,cardio,hbos,mean,0.5396382102099779,0.8779404202174552,0.1294775704615505,False
4,cardio,iforest,mean,0.7392346937127947,0.9584667940052896,0.0825023258444109,True
4,cardio,loda,mean,0.6547769634339328,0.9278981780781664,0.0896415560828403,False
4,cardio,inne,mean,0.7329594317383564,0.9560222597707904,0.2537059098398097,False
4,cardio,hbos,mean,0.5460023263891263,0.8515299000881577,0.1117491150629102,False
5,cardio,iforest,mean,0.6953817832494302,0.956327137819571,0.0943392956028932,False
5,cardio,loda,mean,0.6338109971000838,0.9386038054657656,0.0780239253283681,False
5,cardio,inne,mean,0.7213112704289175,0.9637378783426388,0.2518414540893591,True
5,cardio,hbos,mean,0.5269156925705677,0.840133705553923,0.1271919954105267,False
6,cardio,iforest,mean,0.7801457761675689,0.9571058624742872,0.0930956838468752,True
6,cardio,loda,mean,0.5828454307671525,0.9018035556861592,0.088179680247957,False
6,cardio,inne,mean,0.7139401889504979,0.9543821627975316,0.2597765056020293,False
6,cardio,hbos,mean,0.5722783497129005,0.8327321481046136,0.1365748596374952,False
7,cardio,iforest,mean,0.7040095226124639,0.9508668821627976,0.0813329133493197,True
7,cardio,loda,mean,0.6212895261976108,0.9179731119600352,0.0712635211251201,False
7,cardio,inne,mean,0.6976373624368282,0.946425947693212,0.247695549533674,False
7,cardio,hbos,mean,0.5575248512690899,0.8352483103144284,0.1157071420265143,False
8,cardio,iforest,mean,0.6934247462983876,0.9486060094034676,0.1090939642897948,True
8,cardio,loda,mean,0.5813307144894158,0.91090214516603,0.0909581906043687,False
8,cardio,inne,mean,0.6920683182164413,0.9520808845136643,0.2515488872529857,False
8,cardio,hbos,mean,0.5590789011427899,0.8522939318248604,0.1245389364372903,False
9,cardio,iforest,mean,0.7007904091317068,0.9601766823391126,0.1011086786484806,True
9,cardio,loda,mean,0.6968678028220371,0.9520533352923892,0.0570695826123744,False
9,cardio,inne,mean,0.7005914209316544,0.9572454451954158,0.2595253988000255,False
9,cardio,hbos,mean,0.4901617622196011,0.8446389215398178,0.1428881941865401,False
10,cardio,iforest,mean,0.7310747070933763,0.9497281810167498,0.0984765525158298,False
10,cardio,loda,mean,0.6521416964678052,0.9317036438436672,0.0886665700944134,False
10,cardio,inne,mean,0.7382291820567682,0.961216206288569,0.2505352445270058,True
10,cardio,hbos,mean,0.6006383859059402,0.8732037907728476,0.1415824043182941,False
11,cardio,iforest,mean,0.6080803107577386,0.9236482515427564,0.1059411613668759,False
