seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,ionosphere,iforest,mean,0.877243080993081,0.9032828282828284,0.1336756568023588,False
1,ionosphere,inne,mean,0.9667063492063492,0.9762626262626264,0.1861524213860662,True
1,ionosphere,hbos,mean,0.4793191068191068,0.6255050505050506,0.2937575182937885,False
2,ionosphere,iforest,mean,0.8064855977355977,0.8565656565656565,0.159459031149473,False
2,ionosphere,inne,mean,0.9083700096200096,0.9214646464646464,0.2320204689070251,True
2,ionosphere,hbos,mean,0.538105968105968,0.6997474747474748,0.2672864320312745,False
3,ionosphere,iforest,mean,0.8458273208273208,0.8935606060606058,0.1431143756677412,False
3,ionosphere,inne,mean,0.9770238095238096,0.9848484848484848,0.2159692256764256,True
3,ionosphere,hbos,mean,0.56255143005143,0.6967171717171717,0.2645965904766029,False
4,ionosphere,iforest,mean,0.8835454822954822,0.9337121212121212,0.1371964155537497,False
4,ionosphere,inne,mean,0.9807539682539682,0.9867424242424242,0.2174721203323576,True
4,ionosphere,hbos,mean,0.5376387963887964,0.7073232323232322,0.265902474985941,False
5,ionosphere,iforest,mean,0.8698941798941799,0.908459595959596,0.1368053460361502,False
5,ionosphere,inne,mean,0.9221332371332372,0.9397727272727272,0.2060138210629828,True
5,ionosphere,hbos,mean,0.5488044363044362,0.7023989898989899,0.2634936167352982,False
6,ionosphere,iforest,mean,0.8757978595478596,0.903030303030303,0.13577766433563,False
6,ionosphere,inne,mean,0.9502910052910052,0.962878787878788,0.2003946559492586,True
6,ionosphere,hbos,mean,0.4999301624301625,0.6531565656565658,0.2798343889767568,False
7,ionosphere,iforest,mean,0.8336682299182299,0.8813131313131313,0.1448023361776291,False
7,ionosphere,inne,mean,0.9320238095238096,0.9493686868686868,0.2203014156477642,True
7,ionosphere,hbos,mean,0.5142735967735967,0.6842171717171717,0.2723840788641973,False
8,ionosphere,iforest,mean,0.9190512265512264,0.9430555555555558,0.1248252869603204,False
8,ionosphere,inne,mean,0.9680891330891328,0.9727272727272728,0.2427208338799629,True
8,ionosphere,hbos,mean,0.6013949013949013,0.7484848484848484,0.2434520209037226,False
9,ionosphere,iforest,mean,0.8881456506456507,0.9231060606060604,0.1259715144316114,False
9,ionosphere,inne,mean,0.949342231842232,0.9640151515151516,0.199413736608941,True
9,ionosphere,hbos,mean,0.4769006919006918,0.6527777777777779,0.2764090800891024,False
10,ionosphere,iforest,mean,0.8975112387612387,0.9137626262626264,0.1409106228513494,False
10,ionosphere,inne,mean,0.9621897546897548,0.9672979797979796,0.1870061831265717,True
10,ionosphere,hbos,mean,0.5244493931993932,0.6616161616161615,0.2786713372291932,False
11,ionosphere,iforest,mean,0.8614994264994265,0.8979797979797979,0.1451896179161778,False
11,ionosphere,inne,mean,0.9573051948051948,0.9638888888888888,0.2162637986282774,True
11,ionosphere,hbos,mean,0.5483998871498871,0.686489898989899,0.276110353796649,False
12,ionosphere,iforest,mean,0.8271800421800422,0.8751262626262625,0.1541325034690202,False
12,ionosphere,inne,mean,0.927844424094424,0.936489898989899,0.2469964211725451,True
12,ionosphere,hbos,mean,0.4890991415991415,0.6337121212121211,0.3031705445265122,False
13,ionosphere,iforest,mean,0.8001857864357863,0.8431818181818181,0.1679911671715797,False
13,ionosphere,inne,mean,0.9498214285714288,0.9492424242424242,0.1910639087194262,True
13,ionosphere,hbos,mean,0.4906460152048386,0.6164141414141414,0.3043269915586039,False
14,ionosphere,iforest,mean,0.8264556277056275,0.872979797979798,0.1498684554209366,False
14,ionosphere,inne,mean,0.9359060846560846,0.952020202020202,0.2266176351023881,True
14,ionosphere,hbos,mean,0.6245264457764458,0.7332070707070707,0.2504203283363396,False
15,ionosphere,iforest,mean,0.8194221981721983,0.8676767676767676,0.1497719479822714,False
