seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,mammography,iforest,mean,0.2984522484517957,0.8870165382048381,0.103282968263938,True
1,mammography,inne,mean,0.2732567944954808,0.8346339953972495,0.2894751230485869,False
1,mammography,hbos,mean,0.1216724660827234,0.8354280786753364,0.1235204999318012,False
2,mammography,iforest,mean,0.2523678188238539,0.8659378606362154,0.1046697983720332,False
2,mammography,inne,mean,0.2585607698820358,0.8257456868745716,0.2858387831662597,True
2,mammography,hbos,mean,0.129377563332587,0.8221960359871694,0.1074772175124269,False
3,mammography,iforest,mean,0.2528312829651702,0.8706449375325059,0.094232094111391,False
3,mammography,inne,mean,0.3234620128443141,0.8371561051177139,0.2879761252409804,True
3,mammography,hbos,mean,0.1530931067947098,0.8313643572555822,0.105097760368135,False
4,mammography,iforest,mean,0.2802588898155957,0.8930019832899176,0.1015303431233436,True
4,mammography,inne,mean,0.2577965794219831,0.8491621939405304,0.2871906630221628,False
4,mammography,hbos,mean,0.1264688664503629,0.8520654619603432,0.1049988616740734,False
5,mammography,iforest,mean,0.3019657101475964,0.8697883253756198,0.0996782876991306,True
5,mammography,inne,mean,0.2297805256698716,0.8219862670845304,0.2837331484701174,False
5,mammography,hbos,mean,0.1257129039013094,0.8219145444236851,0.1022081384682565,False
6,mammography,iforest,mean,0.2304545173949486,0.8728138051264194,0.1027932805754481,True
6,mammography,inne,mean,0.2145146312445447,0.8127654756882361,0.2903342867614268,False
6,mammography,hbos,mean,0.1321689078548625,0.837110345474148,0.1076927155953054,False
7,mammography,iforest,mean,0.3760931656952556,0.8567140697510899,0.1003067408543514,True
7,mammography,inne,mean,0.3043769544027028,0.8268478106800776,0.291036452092654,False
7,mammography,hbos,mean,0.1155733576185412,0.8022340053304404,0.1088409657674491,False
8,mammography,iforest,mean,0.2853006019727765,0.8906188545356735,0.1065715279552554,True
8,mammography,inne,mean,0.2465126494802295,0.8533744667885435,0.292481569634997,False
8,mammography,hbos,mean,0.1405662918701924,0.8436910426055764,0.1256866217569052,False
9,mammography,iforest,mean,0.2942668450882414,0.877659667673379,0.0969717717979608,True
