seed,dataset,model,fold,prauc,rocauc,brier,is_best
1,vowels,iforest,mean,0.3266520138585315,0.8161569416498994,0.1893445237573093,False
1,vowels,loda,mean,0.1931083727360749,0.6779154929577464,0.2113583815265999,False
1,vowels,inne,mean,0.6415446570337875,0.9365311871227362,0.1767889229847143,True
1,vowels,hbos,mean,0.1920372830549335,0.7237625754527163,0.2495001934637071,False
1,vowels,copod,mean,0.1015480455754203,0.537702213279678,0.2128552818461958,False
1,vowels,ecod,mean,0.1794355804424992,0.652897384305835,0.2372839835399701,False
2,vowels,iforest,mean,0.2533385353415636,0.7761810865191148,0.1868297693734564,False
2,vowels,loda,mean,0.2150839508297691,0.7196901408450704,0.1928322363757175,False
2,vowels,inne,mean,0.5597637215725452,0.9277665995975856,0.1889605976934136,True
2,vowels,hbos,mean,0.1898590966525221,0.6949456740442657,0.2477152670705404,False
2,vowels,copod,mean,0.1145122641183648,0.562672032193159,0.2136875655437199,False
2,vowels,ecod,mean,0.2116603350244361,0.6556780684104627,0.2312895672640077,False
3,vowels,iforest,mean,0.3167918956340484,0.7765754527162978,0.1803827940914789,False
3,vowels,loda,mean,0.2084896066483157,0.6613360160965795,0.1935778082781009,False
3,vowels,inne,mean,0.4081712468979918,0.8476458752515089,0.1869324827537757,True
3,vowels,hbos,mean,0.2017018877574615,0.6370261569416498,0.241665642444699,False
3,vowels,copod,mean,0.093663064580916,0.467609657947686,0.2306023986237351,False
3,vowels,ecod,mean,0.210156604056182,0.57379476861167,0.2356137056884143,False
4,vowels,iforest,mean,0.2151008064074099,0.7352957746478873,0.1930881889429352,False
4,vowels,loda,mean,0.2045549052086511,0.6558309859154929,0.2131957560981093,False
4,vowels,inne,mean,0.4821345839345839,0.914334004024145,0.1695124218868649,True
4,vowels,hbos,mean,0.1896742219093082,0.6638108651911468,0.219593042596591,False
4,vowels,copod,mean,0.0890604780100255,0.4759879275653923,0.2061266786608092,False
4,vowels,ecod,mean,0.1574713074413778,0.556764587525151,0.241869557566826,False
5,vowels,iforest,mean,0.3521475997407549,0.8188692152917504,0.2055964239867143,False
5,vowels,loda,mean,0.2477112223244941,0.721549295774648,0.2113503215233661,False
5,vowels,inne,mean,0.6500936552189749,0.918841046277666,0.1623385890287758,True
5,vowels,hbos,mean,0.2314959377709627,0.752523138832998,0.2659652147025683,False
5,vowels,copod,mean,0.1174956540809134,0.5940523138832999,0.2075985764848821,False
