export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,calibration_repeats,test_repeats_per_calibration,value,fdr_ratio,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,1.4,-2.1989700043360187,-1.8010299956639813,1.3,1.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.8860566476931635,1.0,0.762148025263158,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,1.6,-2.1989700043360187,-1.8010299956639813,1.5,1.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.6882461389442458,1.0,0.761138694736842,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,1.7999999999999998,-2.1989700043360187,-1.8010299956639813,1.7,1.9,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.494850021680094,1.0,0.7603560084210527,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,2.0,-2.1989700043360187,-1.8010299956639813,1.9,2.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.2967086218813386,1.0,0.7598073684210526,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,2.2,-2.1989700043360187,-1.8010299956639813,2.1,2.3,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.0996328713435295,1.0,0.7606784757894737,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,2.4,-2.1989700043360187,-1.8010299956639813,2.3,2.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.8996294548824371,1.0,0.7598533978947368,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,2.6,-2.1989700043360187,-1.8010299956639813,2.5,2.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.700057099977233,1.0,0.7608982315789473,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,2.8,-2.1989700043360187,-1.8010299956639813,2.7,2.9,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.5003129173815962,1.0,0.7601236126315789,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,3.0,-2.1989700043360187,-1.8010299956639813,2.9,3.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.3005959181846626,1.0,0.7592656505263158,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,3.2,-2.1989700043360187,-1.8010299956639813,3.1,3.3,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.1007268126823962,1.0,0.7602131536842106,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,3.4,-2.1989700043360187,-1.8010299956639813,3.3,3.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.0991624929285947,0.0,0.7616306021052631,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,3.6,-2.1989700043360187,-1.8010299956639813,3.5,3.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.2990712600274095,0.0,0.758667452631579,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,3.8,-2.1989700043360187,-1.8010299956639813,3.7,3.9,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.4990681845107945,0.0,0.7600680252631579,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-2.0,4.0,-2.1989700043360187,-1.8010299956639813,3.9,4.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,-0.6990134316128814,0.0,0.7601311831578947,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,1.4,-1.8010299956639813,-1.451544993495972,1.3,1.5,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.4881166390211256,1.0,0.7605368252631579,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,1.6,-1.8010299956639813,-1.451544993495972,1.5,1.7,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.290306130272208,1.0,0.7599350736842105,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,1.7999999999999998,-1.8010299956639813,-1.451544993495972,1.7,1.9,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,1.0969100130080565,1.0,0.7605430568421053,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.0,-1.8010299956639813,-1.451544993495972,1.9,2.1,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.898768613209301,1.0,0.7605163115789474,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
tikz-v1,figure1_supp,fdr_ratio_atlas_r2_c4,$N_{cal}$ by FDR level,8,heatmap_cell,standard_conformal_bh,finite_k1,alpha_sweep,-1.6020599913279625,2.2,-1.8010299956639813,-1.451544993495972,2.1,2.3,0.025,nominal FDR $\alpha$,0.025,1000,0.05,,25,100,0.0,0.0,0.0,0.0,0.0,0.7016928626714921,1.0,0.7608525136842106,2500,finite_k1_alpha_sweep,empirical FDR / nominal alpha
