export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,count,style_key,label
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.4,-2.1989700043360187,-1.8010299956639813,1.3,1.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.9208187539523751,0.98,0.7568482105263158,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.6,-2.1989700043360187,-1.8010299956639813,1.5,1.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.7153669383950672,1.0,0.7524623157894736,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,1.7999999999999998,-2.1989700043360187,-1.8010299956639813,1.7,1.9,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.5333866137610568,0.98,0.7620345263157893,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.0,-2.1989700043360187,-1.8010299956639813,1.9,2.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.3419886033428876,0.99,0.7640762105263158,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.2,-2.1989700043360187,-1.8010299956639813,2.1,2.3,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,1.1173438054736222,0.96,0.7612696842105262,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.4,-2.1989700043360187,-1.8010299956639813,2.3,2.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.9367601834010784,0.94,0.7557941052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.6,-2.1989700043360187,-1.8010299956639813,2.5,2.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.7304690280783216,0.96,0.7574362105263157,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,2.8,-2.1989700043360187,-1.8010299956639813,2.7,2.9,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.5163404535740291,0.9,0.7627349473684211,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.0,-2.1989700043360187,-1.8010299956639813,2.9,3.1,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.3005959181846626,0.84,0.756508842105263,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.2,-2.1989700043360187,-1.8010299956639813,3.1,3.3,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,0.1116425346971617,0.79,0.7578850526315789,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.4,-2.1989700043360187,-1.8010299956639813,3.3,3.5,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,-0.0534626049254553,0.37,0.761605052631579,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure2,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-2.0,3.6,-2.1989700043360187,-1.8010299956639813,3.5,3.7,0.01,nominal FDR $\alpha$,0.01,1000,0.05,,0.0,0.0,0.0,0.0,-0.2533380053261064,0.01,0.7600160000000001,100,finite_k1_alpha_sweep,statistical power
