summary_version,aggregation_unit,method,source_summary_version,score_regime,bin_index,diagnostic_left,diagnostic_right,diagnostic_center,cell_count,diagnostic_mean,power_mean,power_median,power_q25,power_q75
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,0,-2.5,-2.1785714285714284,-2.3392857142857144,2,-2.301073422940844,0.025922999999999998,0.025922999999999998,0.0165445,0.0353015
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,7,-2.000664162316978,0.020029428571428576,0.011632,0.0060940000000000005,0.03286
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,17,-1.6939561263305583,0.01327258823529411,0.008312,0.006208,0.0202
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,3,-1.5357142857142856,-1.2142857142857142,-1.375,27,-1.392354665888682,0.010246444444444433,0.004048,0.00203,0.01328
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,38,-1.026217307276483,0.008013736842105252,0.0030169999999999997,0.0009989999999999999,0.00753
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,30,-0.7001097328379919,0.006514866666666661,0.00113,0.0002,0.007510000000000001
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,6,-0.5714285714285712,-0.25,-0.4107142857142856,39,-0.4003246956427074,0.002846564102564095,0.000176,0.0,0.00171999999999995
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,7,-0.25,0.07142857142857162,-0.08928571428571419,30,-0.10128011476902152,0.00300799999999999,4e-05,0.0,0.00063
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,42,0.21070394230970715,0.0002666666666666619,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,39,0.5740466129326236,2.0512820512820515e-05,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,10,0.7142857142857144,1.035714285714286,0.8750000000000002,22,0.8915241903866281,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.1927555284204805,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,8,1.4896440368350374,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k1,13,1.6785714285714288,2.0,1.8392857142857144,6,1.7871513933187047,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,0,-2.5,-2.1785714285714284,-2.3392857142857144,2,-2.301073422940844,0.338793,0.338793,0.3273495,0.3502365
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,7,-2.000664162316978,0.28746428571428567,0.312138,0.23844399999999993,0.337886
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,17,-1.6939561263305583,0.19634588235294115,0.201352,0.137824,0.2198
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,3,-1.5357142857142856,-1.2142857142857142,-1.375,27,-1.392354665888682,0.1617268148148148,0.1298079999999999,0.108344,0.19619999999999999
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,38,-1.026217307276483,0.1348587894736842,0.11091599999999995,0.076588,0.19741999999999998
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,30,-0.7001097328379919,0.09932353333333331,0.072684,0.027239999999999976,0.17091800000000001
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,6,-0.5714285714285712,-0.25,-0.4107142857142856,39,-0.4003246956427074,0.05302738461538461,0.031224,0.012036000000000002,0.061464
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,7,-0.25,0.07142857142857162,-0.08928571428571419,30,-0.10128011476902152,0.027407733333333312,0.006368,0.001335,0.0282439999999999
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,42,0.21070394230970715,0.0027011904761904642,0.0,0.0,0.001879999999999975
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,39,0.5740466129326236,0.00017641025641025642,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,10,0.7142857142857144,1.035714285714286,0.8750000000000002,22,0.8915241903866281,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.1927555284204805,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,8,1.4896440368350374,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k2,13,1.6785714285714288,2.0,1.8392857142857144,6,1.7871513933187047,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,0,-2.5,-2.1785714285714284,-2.3392857142857144,2,-2.301073422940844,0.816338,0.816338,0.815207,0.817469
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,7,-2.000664162316978,0.7755085714285714,0.8072940000000001,0.728224,0.814665
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,17,-1.6939561263305583,0.6794017647058823,0.6473599999999999,0.6186,0.72504
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,3,-1.5357142857142856,-1.2142857142857142,-1.375,27,-1.392354665888682,0.6386778518518519,0.61364,0.605072,0.6685000000000001
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,38,-1.026217307276483,0.5855664210526315,0.596764,0.4942,0.6781449999999999
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,30,-0.7001097328379919,0.5155796,0.5787680000000001,0.341688,0.6379699999999999
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,6,-0.5714285714285712,-0.25,-0.4107142857142856,39,-0.4003246956427074,0.39768887179487183,0.3648,0.25783999999999996,0.554466
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,7,-0.25,0.07142857142857162,-0.08928571428571419,30,-0.10128011476902152,0.2213451333333333,0.18879599999999996,0.08861000000000001,0.338322
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,42,0.21070394230970715,0.01797823809523808,0.00459999999999995,0.0,0.027079999999999903
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,39,0.5740466129326236,0.0006379487179487179,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,10,0.7142857142857144,1.035714285714286,0.8750000000000002,22,0.8915241903866281,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.1927555284204805,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,12,1.3571428571428577,1.6785714285714288,1.5178571428571432,8,1.4896440368350374,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,finite_k3,13,1.6785714285714288,2.0,1.8392857142857144,6,1.7871513933187047,0.0,0.0,0.0,0.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,perfect,0,-2.5,-2.1785714285714284,-2.3392857142857144,2,-2.301073422940844,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,perfect,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,7,-2.000664162316978,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,perfect,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,17,-1.6939561263305583,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,perfect,3,-1.5357142857142856,-1.2142857142857142,-1.375,27,-1.392354665888682,1.0,1.0,1.0,1.0
operational-sufficiency-v2,equal_atlas_cells,unweighted,standard-unweighted-power-atlas-v4,perfect,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,38,-1.026217307276483,1.0,1.0,1.0,1.0
