summary_version,score_regime,target_log10_neff,rho,alpha,m,pi1,neff_half_width,accepted_trials,attempts_for_cell,acceptance_rate,n_cal_min,n_cal_mean,n_cal_max,log10_neff_min,log10_neff_q25,log10_neff_mean,log10_neff_median,log10_neff_q75,log10_neff_max,discovery_probability,power_mean,power_standard_error,power_ci95_low,power_ci95_high,fdr_mean,auroc_mean,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,perfect_separation_rate
operational-sufficiency-v2,finite_k3,2.1,0.0,0.1,500,0.05,0.08,100,200,0.5,107,125.81,145,2.0293837776852097,2.0293837776852097,2.096364205039309,2.100370545117563,2.161368002234975,2.161368002234975,0.02,0.018000000000000002,0.012666666666666665,0.0,0.042826666666666666,0.008545688545688546,0.9832934736842105,0.20117424847408816,0.1972262747080242,1.0,0.0
operational-sufficiency-v2,finite_k3,2.4,0.0,0.1,500,0.05,0.08,100,200,0.5,214,250.96,289,2.330413773349191,2.330413773349191,2.3963292991371277,2.399673721481038,2.460897842756548,2.460897842756548,0.23,0.17880000000000001,0.033080031512205135,0.11396313823607795,0.24363686176392207,0.04354681444352398,0.9823882105263156,-0.09705259847188968,-0.1003705451175629,0.0,0.0
operational-sufficiency-v2,finite_k3,2.7,0.0,0.1,500,0.05,0.08,100,200,0.5,426,500.25,576,2.629409599102719,2.629409599102719,2.695885132760775,2.699837725867246,2.760422483423212,2.760422483423212,0.85,0.5032000000000001,0.02469812899305484,0.45479166717361263,0.5516083328263875,0.08057805277897145,0.9823048421052633,-0.3957357268437745,-0.3996737214810381,0.0,0.0
operational-sufficiency-v2,finite_k3,3.0,0.0,0.1,500,0.05,0.08,100,200,0.5,850,998.5,1150,2.929418925714293,2.929418925714293,2.9960327220595513,3.0,3.060697840353612,3.060697840353612,0.92,0.5252,0.020933024510364363,0.48417127195968584,0.5662287280403141,0.06397261340534323,0.9826585263157896,-0.6954441571307851,-0.6994040818153374,0.0,0.0
operational-sufficiency-v2,finite_k3,2.1,0.5,0.1,500,0.05,0.08,100,218,0.45871559633027525,137,161.68,186,2.0209058954846624,2.0431621308583647,2.099069524110698,2.104789822713455,2.146121435516211,2.179488521122641,0.05,0.0036,0.0017145839086489696,0.00023941553904801953,0.00696058446095198,0.011666666666666665,0.9836850526315791,0.3619821357099009,0.3704126306173805,1.0,0.0
operational-sufficiency-v2,finite_k3,2.4,0.5,0.1,500,0.05,0.08,100,220,0.45454545454545453,274,326.08,371,2.3201595452815136,2.3476970006025786,2.40301539794007,2.402607778911489,2.4571825557724436,2.4792798054033014,0.28,0.09119999999999999,0.018024270954308898,0.05587242892955455,0.12652757107044543,0.05356041161281099,0.9834576842105264,0.059793790434307284,0.04802813315895,0.78,0.0
operational-sufficiency-v2,finite_k3,2.7,0.5,0.1,500,0.05,0.08,100,202,0.49504950495049505,547,645.6,740,2.6201969226713664,2.6335023045059707,2.698517512296965,2.7002113047063707,2.758531241014277,2.772290967713136,0.68,0.33,0.029505691969277027,0.27216884374021705,0.387831156259783,0.08640020185827547,0.9820808421052631,-0.2221974313496165,-0.2270033467244166,0.0,0.0
operational-sufficiency-v2,finite_k3,3.0,0.5,0.1,500,0.05,0.08,100,201,0.4975124378109453,1091,1284.0,1477,2.921565919190656,2.934558620186502,2.9967948068186967,2.999510027648051,3.0550093245253005,3.0703300733764385,0.88,0.5055999999999999,0.022681064945692185,0.46114511270644326,0.5500548872935567,0.07236528054811132,0.9826391578947367,-0.5217536162668232,-0.5315062690825183,0.0,0.0
operational-sufficiency-v2,finite_k3,2.1,1.0,0.1,500,0.05,0.08,100,286,0.34965034965034963,240,332.74,548,2.021589069228681,2.0704404451535527,2.1096645537882566,2.115253026802229,2.152199207110456,2.1795838884728447,0.22,0.036000000000000004,0.008575275711914663,0.019192459604647265,0.052807540395352744,0.07007159507159506,0.983424842105263,0.1755746254867307,0.1686705958805722,0.92,0.0
operational-sufficiency-v2,finite_k3,2.4,1.0,0.1,500,0.05,0.08,100,267,0.37453183520599254,478,671.45,922,2.320702929213319,2.3618260898606356,2.398942040455185,2.4003780686970844,2.4349798420754944,2.4776444564009457,0.46,0.15760000000000002,0.021042103055780827,0.11635747801066959,0.19884252198933045,0.05685110211426001,0.9831738947368421,-0.11960252307045384,-0.13181159753942284,0.23,0.0
