export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,weight_clipping_frontier,A,resolution,1,0,resolution,max_test_self_atom,0.5,1.0,c=1,0.0,0.0024865183015486,0.0024865183015486,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,1,resolution,max_test_self_atom,0.5,1.5,c=1.5,0.1760912590556812,0.0032200131893328,0.0032200131893328,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,2,resolution,max_test_self_atom,0.5,2.0,c=2,0.3010299956639812,0.0040941693977752,0.0040941693977752,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,3,resolution,max_test_self_atom,0.5,3.0,c=3,0.4771212547196624,0.0059942204865833,0.0059942204865833,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,4,resolution,max_test_self_atom,0.5,5.0,c=5,0.6989700043360189,0.0097589514979226,0.0097589514979226,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,5,resolution,max_test_self_atom,0.5,8.0,c=8,0.9030899869919436,0.01137598117284,0.01137598117284,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,6,resolution,max_test_self_atom,0.5,13.0,c=13,1.1139433523068367,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,7,resolution,max_test_self_atom,0.5,21.0,c=21,1.3222192947339193,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,8,resolution,max_test_self_atom,0.5,34.0,c=34,1.5314789170422551,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,9,resolution,max_test_self_atom,0.5,55.0,c=55,1.740362689494244,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,10,resolution,max_test_self_atom,0.5,89.0,c=89,1.9493900066449128,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,11,resolution,max_test_self_atom,0.5,inf,unclipped,2.299390006644913,0.0114631053685593,0.0114631053685593,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,12,resolution,max_test_self_atom,1.5,1.0,c=1,0.0,0.004388294566754,0.004388294566754,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,13,resolution,max_test_self_atom,1.5,1.5,c=1.5,0.1760912590556812,0.0054567224031346,0.0054567224031346,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,14,resolution,max_test_self_atom,1.5,2.0,c=2,0.3010299956639812,0.0064916219632833,0.0064916219632833,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,15,resolution,max_test_self_atom,1.5,3.0,c=3,0.4771212547196624,0.0085062135242551,0.0085062135242551,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,16,resolution,max_test_self_atom,1.5,5.0,c=5,0.6989700043360189,0.0124108879020903,0.0124108879020903,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,17,resolution,max_test_self_atom,1.5,8.0,c=8,0.9030899869919436,0.0181597275736689,0.0181597275736689,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,18,resolution,max_test_self_atom,1.5,13.0,c=13,1.1139433523068367,0.0275860492245059,0.0275860492245059,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,19,resolution,max_test_self_atom,1.5,21.0,c=21,1.3222192947339193,0.042335745246293,0.042335745246293,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,20,resolution,max_test_self_atom,1.5,34.0,c=34,1.5314789170422551,0.0654749699759461,0.0654749699759461,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,21,resolution,max_test_self_atom,1.5,55.0,c=55,1.740362689494244,0.1007560216480164,0.1007560216480164,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,22,resolution,max_test_self_atom,1.5,89.0,c=89,1.9493900066449128,0.1527531219088722,0.1527531219088722,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,23,resolution,max_test_self_atom,1.5,inf,unclipped,2.299390006644913,0.4456790135173912,0.4456790135173912,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,24,resolution,max_test_self_atom,3.0,1.0,c=1,0.0,0.0147774784225919,0.0147774784225919,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,25,resolution,max_test_self_atom,3.0,1.5,c=1.5,0.1760912590556812,0.0181861283793515,0.0181861283793515,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,26,resolution,max_test_self_atom,3.0,2.0,c=2,0.3010299956639812,0.0212245770857001,0.0212245770857001,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,27,resolution,max_test_self_atom,3.0,3.0,c=3,0.4771212547196624,0.0266478504826525,0.0266478504826525,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,28,resolution,max_test_self_atom,3.0,5.0,c=5,0.6989700043360189,0.0360544946959349,0.0360544946959349,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,29,resolution,max_test_self_atom,3.0,8.0,c=8,0.9030899869919436,0.0483390177122547,0.0483390177122547,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,30,resolution,max_test_self_atom,3.0,13.0,c=13,1.1139433523068367,0.0663266293392825,0.0663266293392825,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,31,resolution,max_test_self_atom,3.0,21.0,c=21,1.3222192947339193,0.0913506163191885,0.0913506163191885,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,32,resolution,max_test_self_atom,3.0,34.0,c=34,1.5314789170422551,0.1266411169120069,0.1266411169120069,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,33,resolution,max_test_self_atom,3.0,55.0,c=55,1.740362689494244,0.1756147573566719,0.1756147573566719,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,34,resolution,max_test_self_atom,3.0,89.0,c=89,1.9493900066449128,0.2414852725829433,0.2414852725829433,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,1,35,resolution,max_test_self_atom,3.0,inf,unclipped,2.299390006644913,0.9994216231183226,0.9994216231183226,500,atom,mean max shifted-null self-atom
tikz-v2,weight_clipping_frontier,A,resolution,2,0,resolution,calib_ess_fraction,0.5,1.0,c=1,0.0,0.9304577727378788,0.9304577727378788,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,1,resolution,calib_ess_fraction,0.5,1.5,c=1.5,0.1760912590556812,0.8651373248665012,0.8651373248665012,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,2,resolution,calib_ess_fraction,0.5,2.0,c=2,0.3010299956639812,0.8246677224584783,0.8246677224584783,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,3,resolution,calib_ess_fraction,0.5,3.0,c=3,0.4771212547196624,0.7915044850157792,0.7915044850157792,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,4,resolution,calib_ess_fraction,0.5,5.0,c=5,0.6989700043360189,0.7807783468061864,0.7807783468061864,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,5,resolution,calib_ess_fraction,0.5,8.0,c=8,0.9030899869919436,0.7797437649459573,0.7797437649459573,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,6,resolution,calib_ess_fraction,0.5,13.0,c=13,1.1139433523068367,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,7,resolution,calib_ess_fraction,0.5,21.0,c=21,1.3222192947339193,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,8,resolution,calib_ess_fraction,0.5,34.0,c=34,1.5314789170422551,0.7797334627696054,0.7797334627696054,500,ess,mean calibration ESS / n
