dataset,model,mean_prauc,std_prauc,mean_auroc,std_auroc,mean_brier,std_brier,n_runs,failed,error,is_best
LYMPHOGRAPHY,IForest,0.935000,0.106118,0.990000,0.017356,0.106895,0.036134,25,FALSE,,FALSE
LYMPHOGRAPHY,ECOD,0.941667,0.093541,0.992222,0.012472,0.041057,0.018087,25,FALSE,,FALSE
LYMPHOGRAPHY,HBOS,0.930000,0.103226,0.990000,0.015476,0.071851,0.032391,25,FALSE,,FALSE
LYMPHOGRAPHY,COPOD,0.958333,0.083333,0.994444,0.011111,0.048075,0.019091,25,FALSE,,TRUE
LYMPHOGRAPHY,LODA,0.324183,0.336286,0.612222,0.344846,0.312517,0.104513,25,FALSE,,FALSE
LYMPHOGRAPHY,INNE,0.946667,0.139204,0.993333,0.014229,0.188638,0.071419,25,FALSE,,FALSE
LYMPHOGRAPHY,MCD,0.906667,0.213854,0.991111,0.020367,0.019561,0.044051,25,FALSE,,FALSE
IONOSPHERE,IForest,0.112527,0.026389,0.610575,0.079788,0.255026,0.046084,25,FALSE,,FALSE
IONOSPHERE,ECOD,0.103892,0.018784,0.586207,0.069955,0.228444,0.048346,25,FALSE,,FALSE
IONOSPHERE,HBOS,0.075378,0.009512,0.412874,0.071518,0.335264,0.038658,25,FALSE,,FALSE
IONOSPHERE,COPOD,0.102294,0.012868,0.583448,0.059262,0.211152,0.047234,25,FALSE,,FALSE
IONOSPHERE,LODA,0.113485,0.032213,0.593103,0.116858,0.216802,0.043598,25,FALSE,,FALSE
IONOSPHERE,INNE,0.882595,0.079353,0.980690,0.015496,0.356814,0.055328,25,FALSE,,TRUE
IONOSPHERE,MCD,0.756042,0.144822,0.954483,0.030924,0.050098,0.018382,25,FALSE,,FALSE
WBC,IForest,0.978889,0.054023,0.997531,0.006048,0.070174,0.026552,25,FALSE,,TRUE
WBC,ECOD,0.935556,0.099914,0.993086,0.010522,0.034492,0.014968,25,FALSE,,FALSE
WBC,HBOS,0.824222,0.197131,0.982222,0.019778,0.065431,0.026201,25,FALSE,,FALSE
WBC,COPOD,0.930000,0.105298,0.992593,0.011042,0.035111,0.015394,25,FALSE,,FALSE
WBC,LODA,0.616643,0.254338,0.951605,0.040409,0.088076,0.037430,25,FALSE,,FALSE
WBC,INNE,0.675786,0.214227,0.957037,0.028873,0.321530,0.048068,25,FALSE,,FALSE
WBC,MCD,0.885778,0.165973,0.987654,0.016002,0.027826,0.016335,25,FALSE,,FALSE
CARDIO,IForest,0.460338,0.183813,0.950437,0.032100,0.112768,0.014886,25,FALSE,,TRUE
CARDIO,ECOD,0.458622,0.201283,0.953451,0.032197,0.113429,0.012416,25,FALSE,,FALSE
CARDIO,HBOS,0.262129,0.152451,0.854363,0.068060,0.145061,0.022238,25,FALSE,,FALSE
CARDIO,COPOD,0.268831,0.148574,0.933693,0.036072,0.115621,0.013542,25,FALSE,,FALSE
CARDIO,LODA,0.301084,0.211569,0.906567,0.064860,0.077195,0.030050,25,FALSE,,FALSE
