dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
BREAST,IForest,1,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,1,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,2,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,kde,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,3,0.100000,41,19,1,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,empirical,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
BREAST,IForest,4,0.100000,41,19,1,kde,1.000000,,0.000000,,2,,0.105263,
BREAST,IForest,4,0.100000,41,19,1,kde_weighted_bh,1.000000,,0.000000,,2,,0.105263,
BREAST,IForest,4,0.100000,41,19,1,kde_wcs_dtm,1.000000,,0.000000,,2,,0.105263,
BREAST,IForest,4,0.100000,41,19,1,kde_wcs_homo,1.000000,,0.000000,,2,,0.105263,
