dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
IONOSPHERE,INNE,1,0.100000,102,47,3,empirical,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,kde,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,1,0.100000,102,47,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,empirical,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,kde,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,2,0.100000,102,47,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,empirical,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,kde,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,3,0.100000,102,47,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,empirical,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,kde,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,4,0.100000,102,47,3,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,5,0.100000,102,47,3,empirical,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,5,0.100000,102,47,3,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,5,0.100000,102,47,3,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
IONOSPHERE,INNE,5,0.100000,102,47,3,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
