dataset,model,seed,alpha,n_calibration,n_test_samples,n_test_anomalies,variant,fdr,fdr_std,power,power_std,n_discoveries,discoveries_std,discovery_rate,discovery_rate_std
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,kde,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,kde_weighted_bh,0.600000,,1.000000,,5,,0.166667,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,kde_wcs_dtm,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,kde_wcs_homo,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,1,0.100000,64,30,2,kde_wcs_hete,0.500000,,0.500000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,kde,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,kde_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,kde_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,kde_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,2,0.100000,64,30,2,kde_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,kde_weighted_bh,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,kde_wcs_dtm,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,kde_wcs_homo,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,3,0.100000,64,30,2,kde_wcs_hete,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,kde_weighted_bh,0.333333,,1.000000,,3,,0.100000,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,kde_wcs_dtm,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,kde_wcs_homo,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,4,0.100000,64,30,2,kde_wcs_hete,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,empirical_wcs_hete,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,kde,0.000000,,0.500000,,1,,0.033333,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,kde_weighted_bh,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,kde_wcs_dtm,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,kde_wcs_homo,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,5,0.100000,64,30,2,kde_wcs_hete,0.000000,,1.000000,,2,,0.066667,
LYMPHOGRAPHY,COPOD,6,0.100000,64,30,2,empirical,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,6,0.100000,64,30,2,empirical_weighted_bh,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,6,0.100000,64,30,2,empirical_wcs_dtm,0.000000,,0.000000,,0,,0.000000,
LYMPHOGRAPHY,COPOD,6,0.100000,64,30,2,empirical_wcs_homo,0.000000,,0.000000,,0,,0.000000,
