seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
1,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
2,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
2,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
3,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
3,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.222
4,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
4,breastw,copod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
5,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
5,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
6,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
6,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
7,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
7,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
8,breastw,ecod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
8,breastw,ecod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.111
9,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
9,breastw,copod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
10,breastw,ecod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
10,breastw,ecod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
11,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
11,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
12,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
12,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.111
13,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
13,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
14,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
14,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
15,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
15,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
16,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
16,breastw,copod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.222
17,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
17,breastw,copod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
18,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
18,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
19,breastw,copod,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
19,breastw,copod,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.0
20,breastw,iforest,empirical_weighted,222,171,222,171,162,9,0.053,0.0,0.0
20,breastw,iforest,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.0,0.222
mean,breastw,all_models,empirical_randomized_weighted,222,171,222,171,162,9,0.053,0.000±0.000,0.044±0.084
mean,breastw,all_models,empirical_weighted,222,171,222,171,162,9,0.053,0.000±0.000,0.000±0.000
