seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,cardio,inne,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
1,cardio,inne,empirical_randomized_weighted,827,458,827,458,435,23,0.05,1.0,0.0
2,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
2,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
3,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
3,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
4,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
4,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
5,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
5,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
6,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
6,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
7,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
7,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
8,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
8,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.333,0.087
9,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
9,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
10,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
10,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
11,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
11,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
12,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
12,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.043
13,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
13,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
14,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
14,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
15,cardio,inne,empirical_weighted,827,458,827,458,435,23,0.05,0.364,0.304
15,cardio,inne,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.364,0.304
16,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
16,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.043
17,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
17,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
18,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
18,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.043
19,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
19,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.043
20,cardio,ecod,empirical_weighted,827,458,827,458,435,23,0.05,0.0,0.0
20,cardio,ecod,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.0,0.0
mean,cardio,all_models,empirical_randomized_weighted,827,458,827,458,435,23,0.05,0.085±0.241,0.028±0.069
mean,cardio,all_models,empirical_weighted,827,458,827,458,435,23,0.05,0.018±0.081,0.015±0.068
