seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
1,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.25
2,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
2,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.25
3,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
3,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
4,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
5,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
6,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
6,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
7,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
8,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
9,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
10,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
10,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
11,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.25
12,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
12,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
13,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
14,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
15,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
15,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
16,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
16,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
17,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
18,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.333,0.5
19,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
19,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.25
20,ionosphere,inne,empirical_weighted,112,88,112,88,84,4,0.045,0.0,0.0
20,ionosphere,inne,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.0,0.0
mean,ionosphere,all_models,empirical_randomized_weighted,112,88,112,88,84,4,0.045,0.017±0.074,0.075±0.143
mean,ionosphere,all_models,empirical_weighted,112,88,112,88,84,4,0.045,0.000±0.000,0.000±0.000
