seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.077,0.3
1,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.103,0.325
2,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.175
2,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.175
3,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.281,0.288
3,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.281,0.288
4,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
4,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.048,0.25
5,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.188,0.325
5,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.212,0.325
6,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.059,0.2
6,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.056,0.212
7,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.298,0.412
7,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.32,0.425
8,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
8,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.115,0.288
9,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.256,0.362
9,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.256,0.362
10,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.15
10,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
11,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.1,0.225
11,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.08,0.288
12,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.112
12,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.112
13,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
13,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.2
14,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.167,0.375
14,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.167,0.375
15,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.16,0.262
15,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.16,0.262
16,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.138
16,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.188
17,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.042,0.288
17,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.04,0.3
18,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.174,0.238
18,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.174,0.238
19,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.125
19,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.0,0.125
20,satellite,hbos,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.12,0.275
20,satellite,hbos,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.12,0.275
mean,satellite,all_models,empirical_randomized_weighted,2199,1609,2199,1609,1529,80,0.05,0.107±0.103,0.261±0.081
mean,satellite,all_models,empirical_weighted,2199,1609,2199,1609,1529,80,0.05,0.104±0.099,0.249±0.085
