seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
1,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
2,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
2,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
3,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
3,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.056
4,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
4,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
5,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
5,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
6,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
6,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
7,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
7,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
8,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
8,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.111
9,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
9,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
10,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
10,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
11,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
11,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.056
12,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
12,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
13,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
13,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
14,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
14,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
15,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
15,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
16,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
16,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
17,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
17,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
18,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
18,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
19,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
19,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
20,vowels,inne,empirical_weighted,703,364,703,364,346,18,0.049,0.0,0.0
20,vowels,inne,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.0,0.0
mean,vowels,all_models,empirical_randomized_weighted,703,364,703,364,346,18,0.049,0.000±0.000,0.011±0.029
mean,vowels,all_models,empirical_weighted,703,364,703,364,346,18,0.049,0.000±0.000,0.000±0.000
