seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
1,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.333
2,wbc,ecod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
2,wbc,ecod,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
3,wbc,hbos,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
3,wbc,hbos,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.333
4,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
4,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
5,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
5,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
6,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
6,wbc,copod,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
7,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
7,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
8,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
8,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
9,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
9,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
10,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
10,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
11,wbc,hbos,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
11,wbc,hbos,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
12,wbc,copod,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
13,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
13,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
14,wbc,ecod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
14,wbc,ecod,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
15,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
15,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,1.0,0.0
16,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
16,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
17,wbc,copod,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
17,wbc,copod,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
18,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
18,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.0
19,wbc,hbos,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
19,wbc,hbos,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.0,0.667
20,wbc,iforest,empirical_weighted,106,56,106,56,53,3,0.054,0.0,0.0
20,wbc,iforest,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.5,0.333
mean,wbc,all_models,empirical_randomized_weighted,106,56,106,56,53,3,0.054,0.075±0.245,0.083±0.183
mean,wbc,all_models,empirical_weighted,106,56,106,56,53,3,0.054,0.000±0.000,0.000±0.000
