seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
1,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
2,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
2,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.5,0.2
3,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
3,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
4,wdbc,iforest,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
4,wdbc,iforest,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.2
5,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
5,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.2
6,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
6,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
7,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
7,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.2
8,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
8,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
9,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
9,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.2
10,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
10,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
11,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
11,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.5,0.2
12,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
12,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.5,0.2
13,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
13,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
14,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
14,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
15,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
15,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
16,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
16,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
17,wdbc,copod,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
17,wdbc,copod,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
18,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
18,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.333,0.4
19,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
19,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.2
20,wdbc,inne,empirical_weighted,178,92,178,92,87,5,0.054,0.0,0.0
20,wdbc,inne,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.0,0.0
mean,wdbc,all_models,empirical_randomized_weighted,178,92,178,92,87,5,0.054,0.092±0.191,0.100±0.121
mean,wdbc,all_models,empirical_weighted,178,92,178,92,87,5,0.054,0.000±0.000,0.000±0.000
