seed,dataset,model,approach,train_size,test_size,n_train,n_test,n_test_normal,n_test_anomaly,actual_anomaly_rate,fdr,power
1,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
1,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
2,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
2,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.023
3,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
3,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.015
4,mammography,copod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
4,mammography,copod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
5,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
5,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
6,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
6,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
7,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
7,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.111,0.123
8,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
8,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
9,mammography,copod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.053,0.138
9,mammography,copod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.053,0.138
10,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.071,0.1
10,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.071,0.1
11,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
11,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
12,mammography,copod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
12,mammography,copod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.008
13,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
13,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
14,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
14,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.008
15,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
15,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.008
16,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.062
16,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.062
17,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
17,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
18,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.054
18,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.062
19,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
19,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
20,mammography,ecod,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.0
20,mammography,ecod,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.0,0.031
mean,mammography,all_models,empirical_randomized_weighted,5461,2796,5461,2796,2666,130,0.046,0.017±0.037,0.043±0.046
mean,mammography,all_models,empirical_weighted,5461,2796,5461,2796,2666,130,0.046,0.017±0.037,0.038±0.049
